
#################################################################
Log started at 2025-06-12_15-51-01 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 213b, Got: 872b
Checksum failed. Expected: ce55, Got: 418a
Checksum failed. Expected: 6019, Got: fbe8
Checksum failed. Expected: 7b76, Got: b646
Checksum failed. Expected: 4fb1, Got: 70a4
Checksum failed. Expected: ab5a, Got: 2b03
Checksum failed. Expected: 0824, Got: e561
Checksum failed. Expected: 7a37, Got: 9fbf
Checksum failed. Expected: 3fb5, Got: 5a1d
Checksum failed. Expected: 603d, Got: 147b
Checksum failed. Expected: 8410, Got: ceda
Checksum failed. Expected: 38ac, Got: 8938
Checksum failed. Expected: f27c, Got: 4396
Checksum failed. Expected: cd51, Got: fdf4
Checksum failed. Expected: f666, Got: b852
Checksum failed. Expected: d42e, Got: 72b1
Checksum failed. Expected: 7afd, Got: 2d0f
Checksum failed. Expected: f68c, Got: e76d
Checksum failed. Expected: 0643, Got: a1cb
Checksum failed. Expected: dba1, Got: 5c29
Checksum failed. Expected: 75c7, Got: 1688
Checksum failed. Expected: ad93, Got: d0e6
Checksum failed. Expected: f65e, Got: 8b44
Checksum failed. Expected: 39c2, Got: 45a2
Checksum failed. Expected: dc59, Got: 0000
Checksum failed. Expected: 38e3, Got: ba5f
Checksum failed. Expected: cdd9, Got: 74bd
Checksum failed. Expected: 9e15, Got: 2f1b
Checksum failed. Expected: 8cd4, Got: e979
Checksum failed. Expected: 5059, Got: a3d7
Checksum failed. Expected: 8c6f, Got: 5e36
Checksum failed. Expected: 7b1c, Got: 1894
Checksum failed. Expected: 8ddd, Got: d2f2
Checksum failed. Expected: 7462, Got: 8d50
Checksum failed. Expected: f0e4, Got: 47af
Checksum failed. Expected: 039d, Got: 020d
Checksum failed. Expected: e7c6, Got: bc6b
Checksum failed. Expected: fab3, Got: 76c9
Checksum failed. Expected: f967, Got: 3127
Checksum failed. Expected: 5a66, Got: eb86
Checksum failed. Expected: f394, Got: a5e4
Checksum failed. Expected: ed0e, Got: 6042
Checksum failed. Expected: e43e, Got: 1aa0
Checksum failed. Expected: 19e9, Got: d4fe
Checksum failed. Expected: 322a, Got: 8f5d
Checksum failed. Expected: f88e, Got: 49bb
Checksum failed. Expected: f613, Got: 0419
Checksum failed. Expected: aff8, Got: be77
Checksum failed. Expected: 7af5, Got: 78d5
Checksum failed. Expected: ba37, Got: 3334
Checksum failed. Expected: 2d1f, Got: ed92
Checksum failed. Expected: 17ce, Got: a7f0
Checksum failed. Expected: d602, Got: 624e
Checksum failed. Expected: ce36, Got: 1cac
Checksum failed. Expected: a90b, Got: d70b
Checksum failed. Expected: dead, Got: 9169
Checksum failed. Expected: bfbd, Got: 4bc7
Checksum failed. Expected: d171, Got: 0625
Checksum failed. Expected: 181a, Got: c084
Checksum failed. Expected: 88fe, Got: 7ae2
Checksum failed. Expected: ff38, Got: 3540
Checksum failed. Expected: 000d, Got: ef9e
Checksum failed. Expected: 4070, Got: a9fc
Checksum failed. Expected: 05f8, Got: 645b
Checksum failed. Expected: 5b3d, Got: 1eb9
Checksum failed. Expected: 382e, Got: d917
Checksum failed. Expected: f866, Got: 9375
Checksum failed. Expected: f6eb, Got: 4dd3
Checksum failed. Expected: 8045, Got: 0832
Checksum failed. Expected: f019, Got: c290
Checksum failed. Expected: 8d86, Got: 7cee
Checksum failed. Expected: e1d6, Got: 374c
Checksum failed. Expected: aa9b, Got: f1aa
Checksum failed. Expected: 8cce, Got: ac09
Checksum failed. Expected: b48f, Got: 6667
Checksum failed. Expected: 0b1f, Got: 20c5
Checksum failed. Expected: 397e, Got: db23
Checksum failed. Expected: 834d, Got: 9581
Checksum failed. Expected: 786b, Got: 4fe0
Checksum failed. Expected: 2056, Got: 0a3e
Checksum failed. Expected: 6a1d, Got: c49c
Checksum failed. Expected: 899c, Got: 7efa
Checksum failed. Expected: d6a0, Got: 3959
Checksum failed. Expected: 1b1a, Got: f3b7
Checksum failed. Expected: 148f, Got: ae15
Checksum failed. Expected: cf6d, Got: 6873
Checksum failed. Expected: 5ad5, Got: 22d1
Checksum failed. Expected: 60ed, Got: dd30
Checksum failed. Expected: e4b4, Got: 978e
Checksum failed. Expected: 963e, Got: 51ec
Checksum failed. Expected: 38dc, Got: 0c4a
Checksum failed. Expected: 410b, Got: c6a8
Checksum failed. Expected: 1478, Got: 8107
Checksum failed. Expected: f9a5, Got: 3b65
Checksum failed. Expected: 92d2, Got: f5c3
Checksum failed. Expected: 49a1, Got: b021
Checksum failed. Expected: de81, Got: 6a7f
Checksum failed. Expected: c4d7, Got: 24de
Checksum failed. Expected: 6ed5, Got: df3c
Checksum failed. Expected: 5fd2, Got: 999a
Checksum failed. Expected: dfa0, Got: 53f8
Checksum failed. Expected: 6b0a, Got: 0e56
Checksum failed. Expected: 8419, Got: c8b5
Checksum failed. Expected: 01bf, Got: 8313
Checksum failed. Expected: 5505, Got: 3d71
Checksum failed. Expected: bb5e, Got: f7cf
Checksum failed. Expected: 2e8b, Got: b22e
Checksum failed. Expected: ea7a, Got: 6c8c
Checksum failed. Expected: bcad, Got: 26ea
Checksum failed. Expected: 735d, Got: e148
Checksum failed. Expected: 2704, Got: 9ba6
Checksum failed. Expected: 6854, Got: 5605
Checksum failed. Expected: 0689, Got: 1063
Checksum failed. Expected: d8e0, Got: cac1
Checksum failed. Expected: 9519, Got: 851f
Checksum failed. Expected: 25a7, Got: 3f7d
Checksum failed. Expected: 6e6a, Got: f9dc
Checksum failed. Expected: 4a42, Got: b43a
Checksum failed. Expected: b3ae, Got: 6e98
Checksum failed. Expected: 586c, Got: 28f6
Checksum failed. Expected: f4cf, Got: e354
Checksum failed. Expected: 0e0a, Got: 9db3
Checksum failed. Expected: f33f, Got: 5811
Checksum failed. Expected: 05df, Got: 126f
Checksum failed. Expected: 88e4, Got: cccd
Checksum failed. Expected: 0f1d, Got: 872b
Checksum failed. Expected: 6de5, Got: 418a
Checksum failed. Expected: bbf1, Got: fbe8
Checksum failed. Expected: 96ce, Got: b646
Checksum failed. Expected: 3d93, Got: 70a4
Checksum failed. Expected: ecc6, Got: 2b03
Checksum failed. Expected: 82ae, Got: e561
Checksum failed. Expected: 76dd, Got: 9fbf
Checksum failed. Expected: bd77, Got: 5a1d
Checksum failed. Expected: 25e1, Got: 147b
Checksum failed. Expected: b6aa, Got: ceda
Checksum failed. Expected: 7a26, Got: 8938
Checksum failed. Expected: 6f30, Got: 4396
Checksum failed. Expected: dae5, Got: fdf4
Checksum failed. Expected: 37d2, Got: b852
Checksum failed. Expected: a8a4, Got: 72b1
Checksum failed. Expected: 8467, Got: 2d0f
Checksum failed. Expected: 8dac, Got: e76d
Checksum failed. Expected: c6a1, Got: a1cb
Checksum failed. Expected: 7d5b, Got: 5c29
Checksum failed. Expected: 7e23, Got: 1688
Checksum failed. Expected: b1a9, Got: d0e6
Checksum failed. Expected: 4480, Got: 8b44
Checksum failed. Expected: d30c, Got: 45a2
Checksum failed. Expected: 2fc1, Got: 0000
Checksum failed. Expected: 8d67, Got: ba5f
Checksum failed. Expected: 5743, Got: 74bd
Checksum failed. Expected: 68ff, Got: 2f1b
Checksum failed. Expected: 8442, Got: e979
Checksum failed. Expected: ba03, Got: a3d7
Checksum failed. Expected: 641d, Got: 5e36
Checksum failed. Expected: 0ce8, Got: 1894
Checksum failed. Expected: 6bdf, Got: d2f2
Checksum failed. Expected: 7a94, Got: 8d50
Checksum failed. Expected: ec8a, Got: 47af
Checksum failed. Expected: 66e5, Got: 020d
Checksum failed. Expected: 6df8, Got: bc6b
Checksum failed. Expected: f32f, Got: 76c9
Checksum failed. Expected: f2e3, Got: 3127
Checksum failed. Expected: 571a, Got: eb86
Checksum failed. Expected: 7156, Got: a5e4
Checksum failed. Expected: c292, Got: 6042
Checksum failed. Expected: 0d5a, Got: 1aa0
