
#################################################################
Log started at 2025-06-12_15-49-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 63ce, Got: 0000
Checksum failed. Expected: a792, Got: 0000
Checksum failed. Expected: 6619, Got: 0000
Checksum failed. Expected: a6b3, Got: 0000
Checksum failed. Expected: 00f0, Got: 0000
Checksum failed. Expected: dd93, Got: 0000
Checksum failed. Expected: 701e, Got: 0000
Checksum failed. Expected: e661, Got: 0000
Checksum failed. Expected: f888, Got: 0000
Checksum failed. Expected: 1a0b, Got: 0000
Checksum failed. Expected: 1a15, Got: 0000
Checksum failed. Expected: cc8c, Got: 0000
Checksum failed. Expected: 44ff, Got: 0000
Checksum failed. Expected: 6445, Got: 0000
Checksum failed. Expected: cbac, Got: 0000
Checksum failed. Expected: 40e2, Got: 0000
Checksum failed. Expected: 85d5, Got: 0000
Checksum failed. Expected: d35d, Got: 0000
Checksum failed. Expected: e7a8, Got: 0000
Checksum failed. Expected: 59cc, Got: 0000
Checksum failed. Expected: 5d33, Got: 0000
Checksum failed. Expected: 3354, Got: 0000
Checksum failed. Expected: 56c5, Got: 0000
Checksum failed. Expected: 92fc, Got: 0000
Checksum failed. Expected: 4c1d, Got: 0000
Checksum failed. Expected: 3c1c, Got: 0000
Checksum failed. Expected: bb1c, Got: 0000
Checksum failed. Expected: 2f4e, Got: 0000
Checksum failed. Expected: 6033, Got: 0000
Checksum failed. Expected: 1e3a, Got: 0000
Checksum failed. Expected: a397, Got: 0000
Checksum failed. Expected: 218b, Got: 0000
Checksum failed. Expected: 3b58, Got: 0000
Checksum failed. Expected: f69f, Got: 0000
Checksum failed. Expected: d894, Got: 0000
Checksum failed. Expected: a840, Got: 0000
Checksum failed. Expected: 1c6d, Got: 0000
Checksum failed. Expected: 7381, Got: 0000
Checksum failed. Expected: 4342, Got: 0000
Checksum failed. Expected: c474, Got: 0000
Checksum failed. Expected: 9a86, Got: 0000
Checksum failed. Expected: cada, Got: 0000
Checksum failed. Expected: f606, Got: 0000
Checksum failed. Expected: c9dc, Got: 0000
Checksum failed. Expected: 1103, Got: 0000
Checksum failed. Expected: fcb0, Got: 0000
Checksum failed. Expected: 1ced, Got: 0000
Checksum failed. Expected: ed95, Got: 0000
Checksum failed. Expected: 44a5, Got: 0000
Checksum failed. Expected: 7202, Got: 0000
Checksum failed. Expected: dd8e, Got: 0000
Checksum failed. Expected: 80eb, Got: 0000
Checksum failed. Expected: 29e7, Got: 0000
Checksum failed. Expected: bd76, Got: 0000
Checksum failed. Expected: 789c, Got: 0000
Checksum failed. Expected: d0d4, Got: 0000
Checksum failed. Expected: aa3c, Got: 0000
Checksum failed. Expected: 1068, Got: 0000
Checksum failed. Expected: 441a, Got: 0000
Checksum failed. Expected: a0b1, Got: 0000
Checksum failed. Expected: 251d, Got: 0000
Checksum failed. Expected: 83ac, Got: 0000
Checksum failed. Expected: fa00, Got: 0000
