
#################################################################
Log started at 2025-06-12_15-54-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: dba6, Got: 5d2a
Checksum failed. Expected: e5d5, Got: d8e4
Checksum failed. Expected: eac6, Got: 5ce1
Checksum failed. Expected: 1feb, Got: 6109
Checksum failed. Expected: 1352, Got: e9a2
Checksum failed. Expected: c8fd, Got: e44c
Checksum failed. Expected: 28b9, Got: 6869
Checksum failed. Expected: c1b2, Got: 6ed5
Checksum failed. Expected: 6e68, Got: 71a2
Checksum failed. Expected: 30cc, Got: f351
Checksum failed. Expected: ca9b, Got: 6ffa
Checksum failed. Expected: 30af, Got: e96f
Checksum failed. Expected: 7357, Got: 7213
Checksum failed. Expected: 4cb4, Got: f094
Checksum failed. Expected: eab0, Got: 6825
Checksum failed. Expected: 45a8, Got: 69c7
Checksum failed. Expected: 985c, Got: ec5d
Checksum failed. Expected: 4ed4, Got: e815
Checksum failed. Expected: 4d2d, Got: 6ac5
Checksum failed. Expected: e880, Got: f20c
Checksum failed. Expected: 2b5c, Got: f399
Checksum failed. Expected: 6f91, Got: e8a4
Checksum failed. Expected: 1a16, Got: 6a18
Checksum failed. Expected: 3e77, Got: ec7a
Checksum failed. Expected: d2e8, Got: 6d91
Checksum failed. Expected: a0f2, Got: ee37
Checksum failed. Expected: 9f13, Got: e435
Checksum failed. Expected: 8cf3, Got: 658d
Checksum failed. Expected: 2ad6, Got: ea42
Checksum failed. Expected: 0a42, Got: e971
Checksum failed. Expected: 1857, Got: 6622
Checksum failed. Expected: 1dc4, Got: ee38
Checksum failed. Expected: 1e0e, Got: 7444
Checksum failed. Expected: a012, Got: fa90
Checksum failed. Expected: 7958, Got: ece8
Checksum failed. Expected: f1af, Got: e4a9
Checksum failed. Expected: 0f36, Got: f146
Checksum failed. Expected: 1088, Got: 5fc5
Checksum failed. Expected: ddfb, Got: 5af8
Checksum failed. Expected: 02cd, Got: 56aa
Checksum failed. Expected: 5780, Got: 5be9
Checksum failed. Expected: 1fa5, Got: 68f1
Checksum failed. Expected: f364, Got: ea32
Checksum failed. Expected: ec84, Got: 681c
Checksum failed. Expected: ae2d, Got: d92e
Checksum failed. Expected: ddfb, Got: 5397
Checksum failed. Expected: 1baa, Got: 613d
Checksum failed. Expected: ac69, Got: 6571
Checksum failed. Expected: da1d, Got: 634e
Checksum failed. Expected: a142, Got: 6033
Checksum failed. Expected: 605f, Got: e9fb
Checksum failed. Expected: 4807, Got: 66e9
Checksum failed. Expected: 6f55, Got: 6f32
Checksum failed. Expected: d58e, Got: 743c
Checksum failed. Expected: 023c, Got: eebb
Checksum failed. Expected: 28f4, Got: 6870
Checksum failed. Expected: 67f0, Got: 6fb0
Checksum failed. Expected: def1, Got: 7542
Checksum failed. Expected: 1934, Got: ecd3
Checksum failed. Expected: f9c8, Got: 64f6
Checksum failed. Expected: 1035, Got: 6072
Checksum failed. Expected: 6e27, Got: 627d
Checksum failed. Expected: 59a1, Got: 62f9
Checksum failed. Expected: 8c80, Got: e985
Checksum failed. Expected: 88e1, Got: 681a
Checksum failed. Expected: da7c, Got: eec6
Checksum failed. Expected: f229, Got: f39f
Checksum failed. Expected: 3236, Got: 6fc6
Checksum failed. Expected: 8226, Got: eda1
Checksum failed. Expected: 2269, Got: 64a8
Checksum failed. Expected: b0ce, Got: e4f6
