
#################################################################
Log started at 2025-06-12_16-32-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: dd56, Got: c3c5
Checksum failed. Expected: 2542, Got: 501e
Checksum failed. Expected: 7290, Got: 4e82
Checksum failed. Expected: 43b8, Got: 48b8
Checksum failed. Expected: 9405, Got: c857
Checksum failed. Expected: 6dee, Got: 4cd9
Checksum failed. Expected: c75a, Got: 4629
Checksum failed. Expected: 4afc, Got: be90
Checksum failed. Expected: 94f9, Got: bc20
Checksum failed. Expected: 3580, Got: c35e
Checksum failed. Expected: 2ef0, Got: c90d
Checksum failed. Expected: 53af, Got: d304
Checksum failed. Expected: 34f2, Got: c3ac
Checksum failed. Expected: 26b3, Got: 43a1
Checksum failed. Expected: cfff, Got: 3f58
Checksum failed. Expected: fd6c, Got: 45ea
Checksum failed. Expected: a475, Got: cd74
Checksum failed. Expected: e939, Got: cc0d
Checksum failed. Expected: d1cb, Got: 4721
Checksum failed. Expected: 5576, Got: 4ed1
Checksum failed. Expected: 7dbd, Got: c75a
Checksum failed. Expected: 8585, Got: b842
Checksum failed. Expected: e9e8, Got: 3ef7
Checksum failed. Expected: 908a, Got: 4a76
Checksum failed. Expected: 20cb, Got: c367
Checksum failed. Expected: ba12, Got: c0bb
Checksum failed. Expected: 8096, Got: 4356
Checksum failed. Expected: fb5c, Got: 3cb5
Checksum failed. Expected: 1f8c, Got: 437c
Checksum failed. Expected: b2df, Got: c875
Checksum failed. Expected: 5526, Got: c3f6
Checksum failed. Expected: 14c9, Got: ccb9
Checksum failed. Expected: 8c98, Got: c67c
Checksum failed. Expected: 2bad, Got: c879
Checksum failed. Expected: d3ac, Got: 45c2
Checksum failed. Expected: c662, Got: 481c
Checksum failed. Expected: 6009, Got: cadf
Checksum failed. Expected: a6a0, Got: bdae
Checksum failed. Expected: 113f, Got: 3eab
Checksum failed. Expected: 47b0, Got: 45d2
Checksum failed. Expected: 0f63, Got: ca91
Checksum failed. Expected: f5e0, Got: 49ef
Checksum failed. Expected: 433f, Got: 42ec
Checksum failed. Expected: 2a7a, Got: 3fce
Checksum failed. Expected: 244b, Got: 45bc
Checksum failed. Expected: d49d, Got: cb8f
Checksum failed. Expected: 1862, Got: 5141
Checksum failed. Expected: c4a9, Got: d096
Checksum failed. Expected: a34a, Got: 4f84
Checksum failed. Expected: c960, Got: 4f16
Checksum failed. Expected: 132c, Got: d25f
Checksum failed. Expected: facd, Got: c92a
Checksum failed. Expected: 6565, Got: 505e
Checksum failed. Expected: c441, Got: cb72
Checksum failed. Expected: 2846, Got: 5775
Checksum failed. Expected: 33f2, Got: 5b33
Checksum failed. Expected: 2d54, Got: 58ce
Checksum failed. Expected: 5591, Got: da9d
Checksum failed. Expected: 4962, Got: dd3f
Checksum failed. Expected: bf86, Got: 5dee
Checksum failed. Expected: 04c5, Got: 5d94
Checksum failed. Expected: f663, Got: 5f26
Checksum failed. Expected: 00dc, Got: 5dfb
Checksum failed. Expected: 6fc4, Got: d50d
Checksum failed. Expected: c064, Got: d394
Checksum failed. Expected: 0d01, Got: 517b
Checksum failed. Expected: 4b7d, Got: 4c53
Checksum failed. Expected: 5e4c, Got: 454a
Checksum failed. Expected: 30b8, Got: 4933
Checksum failed. Expected: 584c, Got: 423e
