
#################################################################
Log started at 2025-06-13_14-54-28 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 672a, Got: bd92
Checksum failed. Expected: 38d6, Got: bd91
Checksum failed. Expected: d850, Got: bd92
Checksum failed. Expected: dfaa, Got: bd92
Checksum failed. Expected: 98e9, Got: bd91
Checksum failed. Expected: 3e9f, Got: bd91
Checksum failed. Expected: b82d, Got: bd92
Checksum failed. Expected: 5ebb, Got: bd91
Checksum failed. Expected: 970b, Got: bd92
Checksum failed. Expected: 2aae, Got: bd93
Checksum failed. Expected: 40b8, Got: bd93
Checksum failed. Expected: a5d3, Got: bd92
Checksum failed. Expected: e5f6, Got: bd92
Checksum failed. Expected: d8d8, Got: bd93
Checksum failed. Expected: 16ce, Got: bd94
Checksum failed. Expected: f9fb, Got: bd94
Checksum failed. Expected: 337e, Got: bd93
Checksum failed. Expected: d392, Got: bd93
Checksum failed. Expected: 8cea, Got: bd92
Checksum failed. Expected: d923, Got: bd92
Checksum failed. Expected: 53ab, Got: bd91
Checksum failed. Expected: 69f1, Got: bd91
Checksum failed. Expected: d7ec, Got: bd92
Checksum failed. Expected: 940a, Got: bd92
Checksum failed. Expected: 161b, Got: bd91
Checksum failed. Expected: fe84, Got: bd8f
Checksum failed. Expected: 9534, Got: bd8f
Checksum failed. Expected: a2fd, Got: bd8f
Checksum failed. Expected: 5fa7, Got: bd8f
Checksum failed. Expected: 40d7, Got: bd8e
Checksum failed. Expected: 5b87, Got: bd8d
Checksum failed. Expected: 74d5, Got: bd8c
Checksum failed. Expected: 379f, Got: bd8b
Checksum failed. Expected: 72d8, Got: bd8c
Checksum failed. Expected: 7fc7, Got: bd8c
Checksum failed. Expected: e39b, Got: bd8b
Checksum failed. Expected: 708a, Got: bd8c
Checksum failed. Expected: 2f71, Got: bd8a
Checksum failed. Expected: 6976, Got: bd88
Checksum failed. Expected: ce3b, Got: bd88
Checksum failed. Expected: c02d, Got: bd89
Checksum failed. Expected: f1a8, Got: bd89
Checksum failed. Expected: e734, Got: bd87
Checksum failed. Expected: 9508, Got: bd86
Checksum failed. Expected: 3089, Got: bd86
Checksum failed. Expected: f15a, Got: bd86
Checksum failed. Expected: 2513, Got: bd87
Checksum failed. Expected: 6be5, Got: bd89
Checksum failed. Expected: a997, Got: bd8a
Checksum failed. Expected: d807, Got: bd8b
Checksum failed. Expected: 45ba, Got: bd8b
Checksum failed. Expected: cdbe, Got: bd8b
Checksum failed. Expected: eb5b, Got: bd8c
Checksum failed. Expected: cf95, Got: bd8c
Checksum failed. Expected: e165, Got: bd8b
Checksum failed. Expected: 1376, Got: bd8b
Checksum failed. Expected: 4b6f, Got: bd8b
Checksum failed. Expected: 9a8d, Got: bd8c
Checksum failed. Expected: 78ac, Got: bd8d
Checksum failed. Expected: ab17, Got: bd8e
Checksum failed. Expected: ab7a, Got: bd8d
Checksum failed. Expected: 7234, Got: bd8d
Checksum failed. Expected: c678, Got: bd8e
Checksum failed. Expected: d35f, Got: bd8e
Checksum failed. Expected: e782, Got: bd8f
Checksum failed. Expected: 06f5, Got: bd90
Checksum failed. Expected: 6e7a, Got: bd92
Checksum failed. Expected: 7fed, Got: bd92
Checksum failed. Expected: 3c58, Got: bd92
Checksum failed. Expected: 8189, Got: bd93
Checksum failed. Expected: 0fae, Got: bd94
Checksum failed. Expected: 4988, Got: bd94
Checksum failed. Expected: 8886, Got: bd93
Checksum failed. Expected: 66d7, Got: bd94
Checksum failed. Expected: 0583, Got: bd94
Checksum failed. Expected: 9b72, Got: bd95
Checksum failed. Expected: a70a, Got: bd96
Checksum failed. Expected: 63e5, Got: bd98
Checksum failed. Expected: 82bd, Got: bd99
Checksum failed. Expected: 4b5c, Got: bd99
Checksum failed. Expected: 6a07, Got: bd99
Checksum failed. Expected: f584, Got: bd99
Checksum failed. Expected: 823b, Got: bd9b
Checksum failed. Expected: 9a3d, Got: bd9b
Checksum failed. Expected: 44f3, Got: bd9a
Checksum failed. Expected: 64fa, Got: bd9b
Checksum failed. Expected: ac5a, Got: bd9b
Checksum failed. Expected: 7d32, Got: bd9b
Checksum failed. Expected: ebb2, Got: bd9b
Checksum failed. Expected: ccd5, Got: bd9a
Checksum failed. Expected: 76f4, Got: bd9a
Checksum failed. Expected: c68d, Got: bd9b
Checksum failed. Expected: 8d41, Got: bd9c
Checksum failed. Expected: b1b4, Got: bd9a
Checksum failed. Expected: 21c7, Got: bd99
Checksum failed. Expected: 74d6, Got: bd99
Checksum failed. Expected: db2f, Got: bd98
Checksum failed. Expected: 876f, Got: bd97
Checksum failed. Expected: 1c96, Got: bd96
Checksum failed. Expected: 0db8, Got: bd97
Checksum failed. Expected: 4658, Got: bd97
Checksum failed. Expected: 8de5, Got: bd95
Checksum failed. Expected: a5cc, Got: bd93
Checksum failed. Expected: cd87, Got: bd92
Checksum failed. Expected: d643, Got: bd92
Checksum failed. Expected: 5a57, Got: bd93
Checksum failed. Expected: 06ce, Got: bd92
Checksum failed. Expected: 616b, Got: bd90
Checksum failed. Expected: 27f5, Got: bd8f
Checksum failed. Expected: 6c85, Got: bd8d
Checksum failed. Expected: 2134, Got: bd8d
Checksum failed. Expected: 0d8c, Got: bd8c
Checksum failed. Expected: 30d3, Got: bd8b
Checksum failed. Expected: 8837, Got: bd8a
Checksum failed. Expected: b91d, Got: bd89
Checksum failed. Expected: 8805, Got: bd88
Checksum failed. Expected: 1622, Got: bd87
Checksum failed. Expected: 13f7, Got: bd85
Checksum failed. Expected: b632, Got: bd86
Checksum failed. Expected: fae1, Got: bd86
Checksum failed. Expected: 5063, Got: bd86
Checksum failed. Expected: 8698, Got: bd85
Checksum failed. Expected: 4f7b, Got: bd84
Checksum failed. Expected: 9a5b, Got: bd84
Checksum failed. Expected: 15ec, Got: bd84
Checksum failed. Expected: c00e, Got: bd85
Checksum failed. Expected: 838f, Got: bd85
Checksum failed. Expected: 2583, Got: bd85
Checksum failed. Expected: 6794, Got: bd85
Checksum failed. Expected: 6bf0, Got: bd86
Checksum failed. Expected: 6f7a, Got: bd87
Checksum failed. Expected: 8d99, Got: bd88
Checksum failed. Expected: 4196, Got: bd89
Checksum failed. Expected: 8e16, Got: bd89
Checksum failed. Expected: c224, Got: bd89
Checksum failed. Expected: d7a9, Got: bd88
Checksum failed. Expected: cb8f, Got: bd89
Checksum failed. Expected: 63d2, Got: bd8b
Checksum failed. Expected: 1d57, Got: bd8c
Checksum failed. Expected: b227, Got: bd8b
Checksum failed. Expected: 7562, Got: bd8c
Checksum failed. Expected: 8105, Got: bd8d
Checksum failed. Expected: e262, Got: bd8e
Checksum failed. Expected: f5f7, Got: bd8f
Checksum failed. Expected: e85a, Got: bd91
Checksum failed. Expected: 526f, Got: bd90
Checksum failed. Expected: b9f4, Got: bd8f
Checksum failed. Expected: 81ca, Got: bd90
Checksum failed. Expected: 871e, Got: bd91
Checksum failed. Expected: 14e6, Got: bd91
Checksum failed. Expected: 9c46, Got: bd91
Checksum failed. Expected: 1507, Got: bd91
Checksum failed. Expected: 2367, Got: bd91
Checksum failed. Expected: ec5d, Got: bd91
Checksum failed. Expected: 14f3, Got: bd91
Checksum failed. Expected: d969, Got: bd93
Checksum failed. Expected: 594a, Got: bd94
Checksum failed. Expected: 85fe, Got: bd94
Checksum failed. Expected: d792, Got: bd94
Checksum failed. Expected: fc2b, Got: bd94
Checksum failed. Expected: ff29, Got: bd95
Checksum failed. Expected: 0767, Got: bd95
Checksum failed. Expected: bc63, Got: bd95
Checksum failed. Expected: 12d9, Got: bd95
Checksum failed. Expected: 7fd6, Got: bd95
Checksum failed. Expected: ba2f, Got: bd95
Checksum failed. Expected: c0d4, Got: bd96
Checksum failed. Expected: af07, Got: bd95
Checksum failed. Expected: 3738, Got: bd96
Checksum failed. Expected: 1c35, Got: bd96
Checksum failed. Expected: 9635, Got: bd96
Checksum failed. Expected: b7a7, Got: bd97
Checksum failed. Expected: 7e6b, Got: bd98
Checksum failed. Expected: a2f9, Got: bd99
Checksum failed. Expected: 6b61, Got: bd99
Checksum failed. Expected: 7554, Got: bd97
Checksum failed. Expected: a568, Got: bd97
Checksum failed. Expected: 67ed, Got: bd98
Checksum failed. Expected: 890f, Got: bd98
Checksum failed. Expected: c8fc, Got: bd97
Checksum failed. Expected: a42d, Got: bd97
Checksum failed. Expected: 17d5, Got: bd98
Checksum failed. Expected: 75ab, Got: bd99
Checksum failed. Expected: 124b, Got: bd97
Checksum failed. Expected: f188, Got: bd96
Checksum failed. Expected: 5976, Got: bd96
Checksum failed. Expected: 455d, Got: bd96
Checksum failed. Expected: c42f, Got: bd95
Checksum failed. Expected: cdcd, Got: bd95
Checksum failed. Expected: e84b, Got: bd95
Checksum failed. Expected: fb06, Got: bd94
Checksum failed. Expected: b69b, Got: bd94
Checksum failed. Expected: 1f21, Got: bd94
Checksum failed. Expected: 2d0e, Got: bd94
Checksum failed. Expected: 54d2, Got: bd93
Checksum failed. Expected: 80ac, Got: bd91
Checksum failed. Expected: 3f96, Got: bd92
Checksum failed. Expected: b086, Got: bd91
Checksum failed. Expected: a1d2, Got: bd91
Checksum failed. Expected: 8ca6, Got: bd8f
Checksum failed. Expected: fbe7, Got: bd8e
Checksum failed. Expected: 2160, Got: bd8e
Checksum failed. Expected: 1dbc, Got: bd8e
Checksum failed. Expected: 654d, Got: bd8d
Checksum failed. Expected: 9df5, Got: bd8d
Checksum failed. Expected: 6296, Got: bd8c
Checksum failed. Expected: ee86, Got: bd8b
Checksum failed. Expected: e263, Got: bd8b
Checksum failed. Expected: e022, Got: bd8a
Checksum failed. Expected: 9ef3, Got: bd89
Checksum failed. Expected: 8713, Got: bd8a
Checksum failed. Expected: c3e2, Got: bd89
Checksum failed. Expected: 9c69, Got: bd89
Checksum failed. Expected: 094d, Got: bd88
Checksum failed. Expected: f639, Got: bd88
Checksum failed. Expected: 5406, Got: bd89
Checksum failed. Expected: f9af, Got: bd88
Checksum failed. Expected: 1593, Got: bd88
Checksum failed. Expected: d063, Got: bd88
Checksum failed. Expected: a058, Got: bd88
Checksum failed. Expected: f426, Got: bd89
Checksum failed. Expected: 63ed, Got: bd89
Checksum failed. Expected: 3372, Got: bd8a
Checksum failed. Expected: 4994, Got: bd8a
Checksum failed. Expected: 0ac6, Got: bd89
Checksum failed. Expected: 6d31, Got: bd89
Checksum failed. Expected: 4e2d, Got: bd8a
Checksum failed. Expected: ff5e, Got: bd89
Checksum failed. Expected: 49a4, Got: bd89
Checksum failed. Expected: cac3, Got: bd89
Checksum failed. Expected: d34c, Got: bd8a
Checksum failed. Expected: e1f4, Got: bd8a
Checksum failed. Expected: 7f66, Got: bd8a
Checksum failed. Expected: fbaf, Got: bd8a
Checksum failed. Expected: 5f88, Got: bd8b
Checksum failed. Expected: 2234, Got: bd8b
Checksum failed. Expected: 2f05, Got: bd8b
Checksum failed. Expected: 4315, Got: bd8c
Checksum failed. Expected: 8160, Got: bd8c
Checksum failed. Expected: 222a, Got: bd8c
Checksum failed. Expected: 3282, Got: bd8e
Checksum failed. Expected: 64ca, Got: bd8e
Checksum failed. Expected: 4485, Got: bd8e
Checksum failed. Expected: 2e6c, Got: bd8f
Checksum failed. Expected: 9979, Got: bd90
Checksum failed. Expected: 4d06, Got: bd91
Checksum failed. Expected: f58a, Got: bd92
Checksum failed. Expected: 32f4, Got: bd94
Checksum failed. Expected: 63cb, Got: bd94
Checksum failed. Expected: 91fb, Got: bd94
Checksum failed. Expected: 0666, Got: bd95
Checksum failed. Expected: 0475, Got: bd96
Checksum failed. Expected: 8655, Got: bd97
Checksum failed. Expected: 021a, Got: bd98
Checksum failed. Expected: 8077, Got: bd98
Checksum failed. Expected: 0c13, Got: bd9a
Checksum failed. Expected: 7e82, Got: bd99
Checksum failed. Expected: a03c, Got: bd99
Checksum failed. Expected: 633b, Got: bd98
Checksum failed. Expected: 9db1, Got: bd98
Checksum failed. Expected: ce22, Got: bd9a
Checksum failed. Expected: 46e9, Got: bd9a
Checksum failed. Expected: 27d5, Got: bd99
Checksum failed. Expected: a13f, Got: bd99
Checksum failed. Expected: 47a6, Got: bd99
Checksum failed. Expected: 41c8, Got: bd98
Checksum failed. Expected: a5f4, Got: bd97
Checksum failed. Expected: 20e5, Got: bd98
Checksum failed. Expected: 86d7, Got: bd97
