
#################################################################
Log started at 2025-06-12_16-18-56 
#################################################################
IMU initialized succesfully
Checksum failed. Expected: 7dba, Got: 0000
Checksum failed. Expected: 733f, Got: 0000
Checksum failed. Expected: e383, Got: 0000
Checksum failed. Expected: c59a, Got: 0000
Checksum failed. Expected: 1add, Got: 0000
Checksum failed. Expected: 9800, Got: 0000
Checksum failed. Expected: 4f27, Got: 0000
Checksum failed. Expected: fc89, Got: 0000
Checksum failed. Expected: 28d8, Got: 0000
Checksum failed. Expected: cfe8, Got: 0000
Checksum failed. Expected: 5e3d, Got: 0000
Checksum failed. Expected: e92a, Got: 0000
Checksum failed. Expected: ce97, Got: 0000
Checksum failed. Expected: a4d2, Got: 0000
Checksum failed. Expected: e9f9, Got: 0000
Checksum failed. Expected: 55d4, Got: 0000
Checksum failed. Expected: 2c4c, Got: 0000
Checksum failed. Expected: 2407, Got: 0000
Checksum failed. Expected: fd71, Got: 0000
Checksum failed. Expected: 3c20, Got: 0000
Checksum failed. Expected: 87b5, Got: 0000
Checksum failed. Expected: b868, Got: 0000
Checksum failed. Expected: 840f, Got: 0000
Checksum failed. Expected: f741, Got: 0000
Checksum failed. Expected: 53e0, Got: 0000
Checksum failed. Expected: 7d34, Got: 0000
Checksum failed. Expected: 1ca7, Got: 0000
Checksum failed. Expected: 43a1, Got: 0000
Checksum failed. Expected: 013e, Got: 0000
Checksum failed. Expected: 4331, Got: 0000
Checksum failed. Expected: 985e, Got: 0000
Checksum failed. Expected: 6b7d, Got: 0000
Checksum failed. Expected: cec7, Got: 0000
Checksum failed. Expected: 8faa, Got: 0000
Checksum failed. Expected: 8ed7, Got: 0000
Checksum failed. Expected: 09c0, Got: 0000
Checksum failed. Expected: 531e, Got: 0000
Checksum failed. Expected: 8c67, Got: 0000
Checksum failed. Expected: 7826, Got: 0000
Checksum failed. Expected: 62fa, Got: 0000
Checksum failed. Expected: bea9, Got: 0000
Checksum failed. Expected: 74ba, Got: 0000
Checksum failed. Expected: b7bb, Got: 0000
Checksum failed. Expected: 5740, Got: 0000
Checksum failed. Expected: e9cf, Got: 0000
Checksum failed. Expected: c35a, Got: 0000
Checksum failed. Expected: 52ba, Got: 0000

Exiting...
