
#################################################################
Log started at 2025-06-16_09-24-54.581928 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 9ac6, Got: 0000
Checksum failed. Expected: 4795, Got: 0000
Checksum failed. Expected: 584b, Got: 0000
Checksum failed. Expected: d36b, Got: 0000
Checksum failed. Expected: bd61, Got: 0000
Checksum failed. Expected: 4349, Got: 0000
Checksum failed. Expected: feff, Got: 0000
Checksum failed. Expected: 5d4a, Got: 0000
Checksum failed. Expected: 1f93, Got: 0000
Checksum failed. Expected: cf5a, Got: 0000
Checksum failed. Expected: 205f, Got: 0000
Checksum failed. Expected: 7e86, Got: 801c
Checksum failed. Expected: a164, Got: 801c
Checksum failed. Expected: 532c, Got: 801c
Checksum failed. Expected: 1b4c, Got: 801c
Checksum failed. Expected: 2c90, Got: 801c
Checksum failed. Expected: b6b8, Got: 801c
Checksum failed. Expected: 41e4, Got: 801c
Checksum failed. Expected: ea88, Got: 801c
Checksum failed. Expected: 34b0, Got: 801c
Checksum failed. Expected: 2984, Got: 801c
Checksum failed. Expected: 9840, Got: 801c
Checksum failed. Expected: f6b8, Got: 801c
Checksum failed. Expected: af9c, Got: 801c
Checksum failed. Expected: 9d54, Got: 801c
Checksum failed. Expected: 3bcc, Got: 801c
Checksum failed. Expected: 4c10, Got: 801c
Checksum failed. Expected: 6164, Got: 801c
Checksum failed. Expected: 9e58, Got: 801c
Checksum failed. Expected: 2164, Got: 801c
Checksum failed. Expected: bed8, Got: 801c
Checksum failed. Expected: ad94, Got: 801c
Checksum failed. Expected: 9638, Got: 801c
Checksum failed. Expected: b3ac, Got: 801c
Checksum failed. Expected: 3ed8, Got: 801c
Checksum failed. Expected: 1228, Got: 801c
Checksum failed. Expected: 532c, Got: 801c
Checksum failed. Expected: 35b4, Got: 801c
Checksum failed. Expected: 1430, Got: 801c
Checksum failed. Expected: 9430, Got: 801c
Checksum failed. Expected: b7bc, Got: 801c
Checksum failed. Expected: 35b4, Got: 801c
Checksum failed. Expected: c4f0, Got: 801c
Checksum failed. Expected: 1124, Got: 801c
Checksum failed. Expected: 8d14, Got: 801c
Checksum failed. Expected: 4904, Got: 801c
Checksum failed. Expected: 41e4, Got: 801c
