
#################################################################
Log started at 2025-06-13_14-53-08 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: ed52, Got: 0575
Checksum failed. Expected: 2136, Got: b575
Checksum failed. Expected: 656e, Got: a975
Checksum failed. Expected: 1fa8, Got: 2975
Checksum failed. Expected: 6ff6, Got: 2775
Checksum failed. Expected: c995, Got: 6c75
Checksum failed. Expected: 2f58, Got: c975
Checksum failed. Expected: e790, Got: 4975
Checksum failed. Expected: af89, Got: 7a75
Checksum failed. Expected: bf65, Got: 4675
Checksum failed. Expected: a30e, Got: 0b75
Checksum failed. Expected: e18f, Got: 4e75
Checksum failed. Expected: cb52, Got: 2775
Checksum failed. Expected: 4743, Got: 9c75
Checksum failed. Expected: 5109, Got: 5875
Checksum failed. Expected: 279d, Got: 1675
Checksum failed. Expected: 3960, Got: c775
Checksum failed. Expected: 6d78, Got: ab75
Checksum failed. Expected: 2964, Got: db75
Checksum failed. Expected: e3d2, Got: 8f75
Checksum failed. Expected: 1547, Got: d275
Checksum failed. Expected: 7b9d, Got: c275
Checksum failed. Expected: cfe0, Got: b175
Checksum failed. Expected: fddb, Got: 7e75
Checksum failed. Expected: 0168, Got: 0775
Checksum failed. Expected: 0be8, Got: 7d75
Checksum failed. Expected: 5303, Got: 5075
Checksum failed. Expected: a104, Got: 0375
Checksum failed. Expected: 9f23, Got: 2475
Checksum failed. Expected: 7f68, Got: 8975
Checksum failed. Expected: 875f, Got: 7875
Checksum failed. Expected: 5da1, Got: e475
Checksum failed. Expected: 697f, Got: b675
Checksum failed. Expected: f5e5, Got: 9075
Checksum failed. Expected: 9d35, Got: 3875
Checksum failed. Expected: b9bb, Got: a275
Checksum failed. Expected: 4911, Got: 6875
Checksum failed. Expected: 5d6c, Got: af75
Checksum failed. Expected: e736, Got: ef75
Checksum failed. Expected: fb5d, Got: 0275
Checksum failed. Expected: d158, Got: 2775
Checksum failed. Expected: 91f3, Got: 0275
Checksum failed. Expected: 7557, Got: 8275
Checksum failed. Expected: c760, Got: 3975
Checksum failed. Expected: a544, Got: 3f75
Checksum failed. Expected: 3dbf, Got: 2275
Checksum failed. Expected: 9fb4, Got: b575
Checksum failed. Expected: b1bf, Got: ae75
Checksum failed. Expected: 573e, Got: 8775
Checksum failed. Expected: 1db1, Got: 3475
Checksum failed. Expected: db51, Got: 1675
Checksum failed. Expected: d32a, Got: f775
Checksum failed. Expected: b788, Got: 7175
Checksum failed. Expected: 77d3, Got: fc75
Checksum failed. Expected: cffb, Got: cc75
Checksum failed. Expected: 2baf, Got: 2475
Checksum failed. Expected: 93c5, Got: d275
Checksum failed. Expected: a16f, Got: 6e75
Checksum failed. Expected: 99a0, Got: a775
Checksum failed. Expected: 0378, Got: 1575
Checksum failed. Expected: 07ca, Got: 6375
Checksum failed. Expected: 217b, Got: fa75
Checksum failed. Expected: 3b08, Got: 6d75
Checksum failed. Expected: f51b, Got: c675
Checksum failed. Expected: 173b, Got: c475
Checksum failed. Expected: 7f65, Got: 8675
Checksum failed. Expected: cb74, Got: 4975
Checksum failed. Expected: bd9f, Got: 8275
Checksum failed. Expected: 1f60, Got: e175
Checksum failed. Expected: 21a9, Got: 2875
Checksum failed. Expected: ff46, Got: e775
Checksum failed. Expected: 4387, Got: e475
Checksum failed. Expected: 0db7, Got: 4a75
Checksum failed. Expected: 6bd8, Got: 0d75
Checksum failed. Expected: 6baa, Got: df75
Checksum failed. Expected: fd76, Got: 1975
Checksum failed. Expected: 7d0e, Got: 3175
Checksum failed. Expected: ad21, Got: 1475
Checksum failed. Expected: 5b6c, Got: b175
Checksum failed. Expected: 75e9, Got: 1475
Checksum failed. Expected: f901, Got: a875
Checksum failed. Expected: 0541, Got: dc75
Checksum failed. Expected: 934e, Got: 5b75
Checksum failed. Expected: 3f20, Got: 8175
Checksum failed. Expected: 9318, Got: 2575
Checksum failed. Expected: a31a, Got: 1775
Checksum failed. Expected: 35bd, Got: 2875
Checksum failed. Expected: 2bb1, Got: 2675
Checksum failed. Expected: bb00, Got: e575
Checksum failed. Expected: 017b, Got: 1a75
Checksum failed. Expected: 8f1b, Got: 2c75
Checksum failed. Expected: 256f, Got: ea75
Checksum failed. Expected: 7d61, Got: 8475
Checksum failed. Expected: cdbf, Got: 9275
Checksum failed. Expected: 21ae, Got: 2d75
Checksum failed. Expected: 5583, Got: ce75
Checksum failed. Expected: 0fb7, Got: 4875
Checksum failed. Expected: ab94, Got: 8975
Checksum failed. Expected: 0569, Got: 0475
Checksum failed. Expected: 71be, Got: ed75
Checksum failed. Expected: b15f, Got: 4e75
Checksum failed. Expected: 3161, Got: d075
Checksum failed. Expected: 0dbd, Got: 5075
Checksum failed. Expected: 2178, Got: f775
Checksum failed. Expected: 8fc9, Got: da75
Checksum failed. Expected: 1faf, Got: 3075
Checksum failed. Expected: af40, Got: 3175
Checksum failed. Expected: fd4b, Got: ee75
Checksum failed. Expected: 8baa, Got: bf75
Checksum failed. Expected: ed99, Got: 4c75
Checksum failed. Expected: f1fa, Got: a975
Checksum failed. Expected: 2f1d, Got: 8e75
Checksum failed. Expected: 1f0c, Got: 8d75
Checksum failed. Expected: 1338, Got: c575
Checksum failed. Expected: 9d9e, Got: a175
Checksum failed. Expected: 776f, Got: 9875
Checksum failed. Expected: 7116, Got: 4575
Checksum failed. Expected: 8dc5, Got: d875
Checksum failed. Expected: a7ee, Got: e775
Checksum failed. Expected: a5a1, Got: 9c75
Checksum failed. Expected: d374, Got: 4175
Checksum failed. Expected: f5f7, Got: a275
Checksum failed. Expected: 3b82, Got: e775
Checksum failed. Expected: 4b00, Got: 5575
Checksum failed. Expected: c7c7, Got: a075
Checksum failed. Expected: 2557, Got: d275
Checksum failed. Expected: 2763, Got: dc75
Checksum failed. Expected: d32d, Got: fa75
Checksum failed. Expected: dfa0, Got: 6175
Checksum failed. Expected: 6b50, Got: 8575
Checksum failed. Expected: d337, Got: 0475
Checksum failed. Expected: 3d26, Got: 8975
Checksum failed. Expected: 1f3b, Got: bc75
Checksum failed. Expected: afed, Got: de75
Checksum failed. Expected: 01e0, Got: 7f75
Checksum failed. Expected: 2523, Got: 9e75
Checksum failed. Expected: 6de4, Got: 1775
Checksum failed. Expected: 01f5, Got: 9475
Checksum failed. Expected: a993, Got: 8a75
Checksum failed. Expected: 53a4, Got: f175
Checksum failed. Expected: ff07, Got: a875
Checksum failed. Expected: 214e, Got: cd75
Checksum failed. Expected: 3917, Got: 7e75
Checksum failed. Expected: 9f5b, Got: 5c75
Checksum failed. Expected: 7156, Got: 8575
Checksum failed. Expected: 9b85, Got: 8a75
Checksum failed. Expected: c198, Got: 7775
Checksum failed. Expected: 0df5, Got: 8875
Checksum failed. Expected: b761, Got: 4a75
Checksum failed. Expected: 09a5, Got: 3c75
Checksum failed. Expected: f906, Got: ad75
Checksum failed. Expected: 0d16, Got: a975
Checksum failed. Expected: 3745, Got: ae75
Checksum failed. Expected: 1bb6, Got: 3b75
Checksum failed. Expected: 33c7, Got: 3475
Checksum failed. Expected: 3d35, Got: 9875
Checksum failed. Expected: 1be9, Got: 6e75
Checksum failed. Expected: 8553, Got: 6e75
Checksum failed. Expected: 8569, Got: 8475
Checksum failed. Expected: 23ea, Got: 6775
Checksum failed. Expected: 4ba2, Got: f775
Checksum failed. Expected: 21db, Got: 5a75
Checksum failed. Expected: b93d, Got: 2475
Checksum failed. Expected: 73bb, Got: e875
Checksum failed. Expected: a50c, Got: 0775
Checksum failed. Expected: 2f4d, Got: be75
Checksum failed. Expected: 1b38, Got: bd75
Checksum failed. Expected: 8f32, Got: 4375
Checksum failed. Expected: 235b, Got: d875
Checksum failed. Expected: f101, Got: b075
