
#################################################################
Log started at 2025-06-13_16-08-40 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 39a0, Got: bd83
Checksum failed. Expected: f81b, Got: bd84
Checksum failed. Expected: 90b2, Got: bd81
Checksum failed. Expected: 1955, Got: bd83
Checksum failed. Expected: 32bd, Got: bd86
Checksum failed. Expected: 623a, Got: bd86
Checksum failed. Expected: aad4, Got: bd86
Checksum failed. Expected: aae1, Got: bd85
Checksum failed. Expected: 15af, Got: bd86
Checksum failed. Expected: 3697, Got: bd87
Checksum failed. Expected: 98aa, Got: bd87
Checksum failed. Expected: e4a1, Got: bd86
Checksum failed. Expected: 2a8d, Got: bd85
Checksum failed. Expected: 7a1d, Got: bd85
Checksum failed. Expected: 67d5, Got: bd86
Checksum failed. Expected: 8cb4, Got: bd84
Checksum failed. Expected: afe4, Got: bd84
Checksum failed. Expected: 7a48, Got: bd83
Checksum failed. Expected: d12b, Got: bd81
Checksum failed. Expected: 2ea0, Got: bd81
Checksum failed. Expected: 2798, Got: bd82
Checksum failed. Expected: 6200, Got: bd83
Checksum failed. Expected: bf33, Got: bd81
Checksum failed. Expected: 905f, Got: bd81
Checksum failed. Expected: 3ee4, Got: bd80
Checksum failed. Expected: 2b5f, Got: bd82
Checksum failed. Expected: 0194, Got: bd84
Checksum failed. Expected: 43cd, Got: bd82
Checksum failed. Expected: 2aab, Got: bd81
Checksum failed. Expected: 3052, Got: bd81
Checksum failed. Expected: 643b, Got: bd80
Checksum failed. Expected: b736, Got: bd7c
Checksum failed. Expected: 8233, Got: bd7b
Checksum failed. Expected: 2d7f, Got: bd7d
Checksum failed. Expected: c0a6, Got: bd81
Checksum failed. Expected: b21a, Got: bd82
Checksum failed. Expected: 9238, Got: bd80
Checksum failed. Expected: 72cd, Got: bd80
Checksum failed. Expected: 8332, Got: bd80
Checksum failed. Expected: 5f27, Got: bd7f
Checksum failed. Expected: b7a6, Got: bd80
Checksum failed. Expected: bfe6, Got: bd81
Checksum failed. Expected: ef99, Got: bd81
Checksum failed. Expected: 6866, Got: bd82
Checksum failed. Expected: 8e2e, Got: bd83
Checksum failed. Expected: 82f9, Got: bd81
Checksum failed. Expected: 82b9, Got: bd81
Checksum failed. Expected: 68e2, Got: bd82
Checksum failed. Expected: cf68, Got: bd81
Checksum failed. Expected: 982a, Got: bd82
Checksum failed. Expected: 24b7, Got: bd85
Checksum failed. Expected: 61b2, Got: bd84
Checksum failed. Expected: 4119, Got: bd84
Checksum failed. Expected: 809d, Got: bd82
Checksum failed. Expected: 63f5, Got: bd82
Checksum failed. Expected: b99e, Got: bd82
Checksum failed. Expected: 024d, Got: bd83
Checksum failed. Expected: 4e79, Got: bd84
Checksum failed. Expected: 1c7e, Got: bd83
Checksum failed. Expected: 0e94, Got: bd84
Checksum failed. Expected: 2ee5, Got: bd83
Checksum failed. Expected: ff33, Got: bd84
Checksum failed. Expected: ca20, Got: bd82
Checksum failed. Expected: 5eb0, Got: bd81
Checksum failed. Expected: 11b3, Got: bd82
Checksum failed. Expected: c754, Got: bd81
Checksum failed. Expected: e088, Got: bd7f
Checksum failed. Expected: 5300, Got: bd80
Checksum failed. Expected: 5d48, Got: bd80
Checksum failed. Expected: 337e, Got: bd80
Checksum failed. Expected: a670, Got: bd80
Checksum failed. Expected: ea78, Got: bd80
Checksum failed. Expected: 4d8c, Got: bd80
Checksum failed. Expected: 064f, Got: bd80
Checksum failed. Expected: 9e20, Got: bd80
Checksum failed. Expected: 90c5, Got: bd7d
Checksum failed. Expected: a76c, Got: bd7c
Checksum failed. Expected: d31b, Got: bd7c
Checksum failed. Expected: e90a, Got: bd7e
Checksum failed. Expected: 7ec5, Got: bd80
Checksum failed. Expected: 87ab, Got: bd80
Checksum failed. Expected: dabc, Got: bd80
Checksum failed. Expected: 4aff, Got: bd81
Checksum failed. Expected: b26e, Got: bd81
Checksum failed. Expected: 3327, Got: bd82
Checksum failed. Expected: 1b0f, Got: bd81
Checksum failed. Expected: 3256, Got: bd83
Checksum failed. Expected: 9d93, Got: bd84
Checksum failed. Expected: a2a5, Got: bd84
Checksum failed. Expected: 58e7, Got: bd83
Checksum failed. Expected: 5ed9, Got: bd84
Checksum failed. Expected: 444d, Got: bd84
Checksum failed. Expected: 2e4f, Got: bd84
Checksum failed. Expected: ef45, Got: bd85
Checksum failed. Expected: 5ca9, Got: bd84
Checksum failed. Expected: 9358, Got: bd84
Checksum failed. Expected: 86cf, Got: bd87
Checksum failed. Expected: bedc, Got: bd86
Checksum failed. Expected: a6a4, Got: bd86
Checksum failed. Expected: f8c8, Got: bd85
Checksum failed. Expected: 0e17, Got: bd84
Checksum failed. Expected: 485c, Got: bd82
Checksum failed. Expected: 913e, Got: bd83
Checksum failed. Expected: a768, Got: bd84
Checksum failed. Expected: f0e7, Got: bd84
Checksum failed. Expected: 3e73, Got: bd82
Checksum failed. Expected: fbf8, Got: bd81
Checksum failed. Expected: f7e7, Got: bd82
Checksum failed. Expected: a9e4, Got: bd82
Checksum failed. Expected: ba56, Got: bd82
Checksum failed. Expected: abca, Got: bd83
Checksum failed. Expected: 57c0, Got: bd81
Checksum failed. Expected: 2cfe, Got: bd81
Checksum failed. Expected: 2b6e, Got: bd82
Checksum failed. Expected: b778, Got: bd82
Checksum failed. Expected: 31e0, Got: bd81
Checksum failed. Expected: b2fb, Got: bd81
Checksum failed. Expected: 0ba8, Got: bd80
Checksum failed. Expected: cbf2, Got: bd81
Checksum failed. Expected: ee28, Got: bd81
Checksum failed. Expected: 73c4, Got: bd81
Checksum failed. Expected: 281a, Got: bd81
Checksum failed. Expected: 5bd5, Got: bd82
Checksum failed. Expected: 0049, Got: bd81
Checksum failed. Expected: 598b, Got: bd82
Checksum failed. Expected: 2fa5, Got: bd82
Checksum failed. Expected: abfa, Got: bd83
Checksum failed. Expected: 86bb, Got: bd83
Checksum failed. Expected: b6eb, Got: bd82
Checksum failed. Expected: dfb9, Got: bd80
Checksum failed. Expected: 57eb, Got: bd81
Checksum failed. Expected: be2b, Got: bd82
Checksum failed. Expected: f21f, Got: bd81
Checksum failed. Expected: c323, Got: bd81
Checksum failed. Expected: b561, Got: bd80
Checksum failed. Expected: 6b8e, Got: bd81
Checksum failed. Expected: eacc, Got: bd82
Checksum failed. Expected: e0a0, Got: bd81
Checksum failed. Expected: 6575, Got: bd81
Checksum failed. Expected: 6a07, Got: bd82
Checksum failed. Expected: 3666, Got: bd81
Checksum failed. Expected: 1635, Got: bd82
Checksum failed. Expected: 8537, Got: bd82
Checksum failed. Expected: 7a06, Got: bd82
Checksum failed. Expected: 9a20, Got: bd83
Checksum failed. Expected: 3ce3, Got: bd84
Checksum failed. Expected: a90d, Got: bd83
Checksum failed. Expected: 05ca, Got: bd82
Checksum failed. Expected: 44d6, Got: bd83
Checksum failed. Expected: 350c, Got: bd82
Checksum failed. Expected: 5868, Got: bd82
Checksum failed. Expected: 7fac, Got: bd82
Checksum failed. Expected: 365e, Got: bd81
Checksum failed. Expected: 8c1e, Got: bd82
Checksum failed. Expected: 0391, Got: bd83
Checksum failed. Expected: c22f, Got: bd84
Checksum failed. Expected: b047, Got: bd84
Checksum failed. Expected: 20f5, Got: bd84
Checksum failed. Expected: 108f, Got: bd83
Checksum failed. Expected: 4bb7, Got: bd84
Checksum failed. Expected: c78f, Got: bd83
Checksum failed. Expected: d5e9, Got: bd83
Checksum failed. Expected: 55cf, Got: bd84
Checksum failed. Expected: 3373, Got: bd84
Checksum failed. Expected: bdb4, Got: bd83
Checksum failed. Expected: bb94, Got: bd83
Checksum failed. Expected: 3ccd, Got: bd83
Checksum failed. Expected: 66aa, Got: bd84
Checksum failed. Expected: 2dc4, Got: bd83
Checksum failed. Expected: 65dd, Got: bd83
Checksum failed. Expected: e4ec, Got: bd83
Checksum failed. Expected: 182a, Got: bd82
Checksum failed. Expected: 8789, Got: bd83
Checksum failed. Expected: fdec, Got: bd82
Checksum failed. Expected: c4b8, Got: bd82
Checksum failed. Expected: a1fd, Got: bd81
Checksum failed. Expected: 233d, Got: bd80
