
#################################################################
Log started at 2025-06-13_14-35-19 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=-0.154969, Y=-0.682169, Z=9.776324 m/s^2 Time of Week: 455739.609000, Week Number: 2370
Acceleration: X=-0.144212, Y=-0.679964, Z=9.782647 m/s^2 Time of Week: 455739.619000, Week Number: 2370
Acceleration: X=-0.137588, Y=-0.682520, Z=9.766623 m/s^2 Time of Week: 455739.629000, Week Number: 2370
Acceleration: X=-0.145726, Y=-0.687488, Z=9.770648 m/s^2 Time of Week: 455739.639000, Week Number: 2370
Acceleration: X=-0.158949, Y=-0.695278, Z=9.767888 m/s^2 Time of Week: 455739.649000, Week Number: 2370
Acceleration: X=-0.168775, Y=-0.692214, Z=9.774599 m/s^2 Time of Week: 455739.659000, Week Number: 2370
Acceleration: X=-0.170673, Y=-0.673796, Z=9.774568 m/s^2 Time of Week: 455739.669000, Week Number: 2370
Acceleration: X=-0.154083, Y=-0.667597, Z=9.790034 m/s^2 Time of Week: 455739.679000, Week Number: 2370
Acceleration: X=-0.149155, Y=-0.673146, Z=9.794992 m/s^2 Time of Week: 455739.689000, Week Number: 2370
Acceleration: X=-0.151706, Y=-0.683886, Z=9.781877 m/s^2 Time of Week: 455739.699000, Week Number: 2370
Acceleration: X=-0.155750, Y=-0.694124, Z=9.768683 m/s^2 Time of Week: 455739.709000, Week Number: 2370
Acceleration: X=-0.155736, Y=-0.694086, Z=9.761475 m/s^2 Time of Week: 455739.719000, Week Number: 2370
Acceleration: X=-0.152337, Y=-0.690298, Z=9.769114 m/s^2 Time of Week: 455739.729000, Week Number: 2370
Acceleration: X=-0.157505, Y=-0.681043, Z=9.777279 m/s^2 Time of Week: 455739.739000, Week Number: 2370
Acceleration: X=-0.155887, Y=-0.676589, Z=9.775517 m/s^2 Time of Week: 455739.749000, Week Number: 2370
Acceleration: X=-0.158352, Y=-0.667949, Z=9.787758 m/s^2 Time of Week: 455739.759000, Week Number: 2370
Acceleration: X=-0.163233, Y=-0.671715, Z=9.786464 m/s^2 Time of Week: 455739.769000, Week Number: 2370
Acceleration: X=-0.160452, Y=-0.679270, Z=9.781665 m/s^2 Time of Week: 455739.779000, Week Number: 2370
Acceleration: X=-0.160292, Y=-0.691404, Z=9.775598 m/s^2 Time of Week: 455739.789000, Week Number: 2370
Acceleration: X=-0.157959, Y=-0.692937, Z=9.771569 m/s^2 Time of Week: 455739.799000, Week Number: 2370
Acceleration: X=-0.155551, Y=-0.683753, Z=9.765426 m/s^2 Time of Week: 455739.809000, Week Number: 2370
Acceleration: X=-0.153564, Y=-0.681139, Z=9.777370 m/s^2 Time of Week: 455739.819000, Week Number: 2370
Acceleration: X=-0.155561, Y=-0.676353, Z=9.786863 m/s^2 Time of Week: 455739.829000, Week Number: 2370
Acceleration: X=-0.153325, Y=-0.678381, Z=9.782469 m/s^2 Time of Week: 455739.839000, Week Number: 2370
Acceleration: X=-0.153502, Y=-0.679455, Z=9.778055 m/s^2 Time of Week: 455739.849000, Week Number: 2370
Acceleration: X=-0.161401, Y=-0.687720, Z=9.773695 m/s^2 Time of Week: 455739.859000, Week Number: 2370
Acceleration: X=-0.161642, Y=-0.691903, Z=9.770639 m/s^2 Time of Week: 455739.869000, Week Number: 2370
Acceleration: X=-0.158577, Y=-0.681964, Z=9.775796 m/s^2 Time of Week: 455739.879000, Week Number: 2370
Acceleration: X=-0.155794, Y=-0.677333, Z=9.786682 m/s^2 Time of Week: 455739.889000, Week Number: 2370
Acceleration: X=-0.152699, Y=-0.672047, Z=9.780145 m/s^2 Time of Week: 455739.899000, Week Number: 2370
Acceleration: X=-0.149566, Y=-0.678916, Z=9.779471 m/s^2 Time of Week: 455739.909000, Week Number: 2370
Acceleration: X=-0.162115, Y=-0.683200, Z=9.776880 m/s^2 Time of Week: 455739.919000, Week Number: 2370
Acceleration: X=-0.163211, Y=-0.686080, Z=9.776746 m/s^2 Time of Week: 455739.929000, Week Number: 2370
Acceleration: X=-0.168727, Y=-0.687392, Z=9.775074 m/s^2 Time of Week: 455739.939000, Week Number: 2370
Acceleration: X=-0.163284, Y=-0.681392, Z=9.776227 m/s^2 Time of Week: 455739.949000, Week Number: 2370
Acceleration: X=-0.155477, Y=-0.677057, Z=9.786721 m/s^2 Time of Week: 455739.959000, Week Number: 2370
Acceleration: X=-0.146681, Y=-0.674359, Z=9.784380 m/s^2 Time of Week: 455739.969000, Week Number: 2370
Acceleration: X=-0.150044, Y=-0.678584, Z=9.782075 m/s^2 Time of Week: 455739.979000, Week Number: 2370
Acceleration: X=-0.154774, Y=-0.690189, Z=9.771828 m/s^2 Time of Week: 455739.989000, Week Number: 2370
Acceleration: X=-0.157375, Y=-0.698410, Z=9.763599 m/s^2 Time of Week: 455739.999000, Week Number: 2370
Acceleration: X=-0.158652, Y=-0.690457, Z=9.769751 m/s^2 Time of Week: 455740.009000, Week Number: 2370
Acceleration: X=-0.160279, Y=-0.683530, Z=9.778429 m/s^2 Time of Week: 455740.019000, Week Number: 2370
Acceleration: X=-0.154023, Y=-0.671075, Z=9.779219 m/s^2 Time of Week: 455740.029000, Week Number: 2370
Acceleration: X=-0.154613, Y=-0.672499, Z=9.777375 m/s^2 Time of Week: 455740.039000, Week Number: 2370
Acceleration: X=-0.159021, Y=-0.678283, Z=9.780076 m/s^2 Time of Week: 455740.049000, Week Number: 2370
Acceleration: X=-0.160159, Y=-0.686379, Z=9.775008 m/s^2 Time of Week: 455740.059000, Week Number: 2370
Acceleration: X=-0.165556, Y=-0.692890, Z=9.766564 m/s^2 Time of Week: 455740.069000, Week Number: 2370
Acceleration: X=-0.163594, Y=-0.691446, Z=9.769308 m/s^2 Time of Week: 455740.079000, Week Number: 2370
Acceleration: X=-0.155175, Y=-0.683694, Z=9.779247 m/s^2 Time of Week: 455740.089000, Week Number: 2370
Acceleration: X=-0.154140, Y=-0.681069, Z=9.784888 m/s^2 Time of Week: 455740.099000, Week Number: 2370
Acceleration: X=-0.149883, Y=-0.672845, Z=9.784812 m/s^2 Time of Week: 455740.109000, Week Number: 2370
Acceleration: X=-0.156067, Y=-0.675680, Z=9.780430 m/s^2 Time of Week: 455740.119000, Week Number: 2370
Acceleration: X=-0.155279, Y=-0.686573, Z=9.773015 m/s^2 Time of Week: 455740.129000, Week Number: 2370
Acceleration: X=-0.162441, Y=-0.691940, Z=9.769232 m/s^2 Time of Week: 455740.139000, Week Number: 2370
Acceleration: X=-0.158767, Y=-0.688937, Z=9.773418 m/s^2 Time of Week: 455740.149000, Week Number: 2370
Acceleration: X=-0.158174, Y=-0.687320, Z=9.780386 m/s^2 Time of Week: 455740.159000, Week Number: 2370
Acceleration: X=-0.155535, Y=-0.681424, Z=9.777491 m/s^2 Time of Week: 455740.169000, Week Number: 2370
Acceleration: X=-0.152128, Y=-0.675592, Z=9.782503 m/s^2 Time of Week: 455740.179000, Week Number: 2370
Acceleration: X=-0.153469, Y=-0.679152, Z=9.786519 m/s^2 Time of Week: 455740.189000, Week Number: 2370
Acceleration: X=-0.162690, Y=-0.687843, Z=9.776042 m/s^2 Time of Week: 455740.199000, Week Number: 2370
Acceleration: X=-0.162404, Y=-0.691807, Z=9.770737 m/s^2 Time of Week: 455740.209000, Week Number: 2370
Acceleration: X=-0.159063, Y=-0.685068, Z=9.771445 m/s^2 Time of Week: 455740.219000, Week Number: 2370
Acceleration: X=-0.162415, Y=-0.687474, Z=9.778209 m/s^2 Time of Week: 455740.229000, Week Number: 2370
Acceleration: X=-0.151350, Y=-0.679731, Z=9.778119 m/s^2 Time of Week: 455740.239000, Week Number: 2370
Acceleration: X=-0.149512, Y=-0.674391, Z=9.777207 m/s^2 Time of Week: 455740.249000, Week Number: 2370
Acceleration: X=-0.154875, Y=-0.681283, Z=9.782229 m/s^2 Time of Week: 455740.259000, Week Number: 2370
Acceleration: X=-0.158790, Y=-0.687124, Z=9.765511 m/s^2 Time of Week: 455740.269000, Week Number: 2370
Acceleration: X=-0.161259, Y=-0.691673, Z=9.766340 m/s^2 Time of Week: 455740.279000, Week Number: 2370
Acceleration: X=-0.161630, Y=-0.692793, Z=9.770465 m/s^2 Time of Week: 455740.289000, Week Number: 2370
Acceleration: X=-0.158616, Y=-0.681406, Z=9.778083 m/s^2 Time of Week: 455740.299000, Week Number: 2370
Acceleration: X=-0.152325, Y=-0.677610, Z=9.785559 m/s^2 Time of Week: 455740.309000, Week Number: 2370
Acceleration: X=-0.156040, Y=-0.677798, Z=9.788267 m/s^2 Time of Week: 455740.319000, Week Number: 2370
Acceleration: X=-0.157223, Y=-0.682642, Z=9.781822 m/s^2 Time of Week: 455740.329000, Week Number: 2370
Acceleration: X=-0.160068, Y=-0.691315, Z=9.770225 m/s^2 Time of Week: 455740.339000, Week Number: 2370
Acceleration: X=-0.157726, Y=-0.687097, Z=9.773293 m/s^2 Time of Week: 455740.349000, Week Number: 2370
Acceleration: X=-0.160514, Y=-0.684442, Z=9.773546 m/s^2 Time of Week: 455740.359000, Week Number: 2370
Acceleration: X=-0.159134, Y=-0.683891, Z=9.777770 m/s^2 Time of Week: 455740.369000, Week Number: 2370
Acceleration: X=-0.147461, Y=-0.680430, Z=9.776488 m/s^2 Time of Week: 455740.379000, Week Number: 2370
Acceleration: X=-0.152248, Y=-0.676972, Z=9.774337 m/s^2 Time of Week: 455740.389000, Week Number: 2370
Acceleration: X=-0.154305, Y=-0.681726, Z=9.778548 m/s^2 Time of Week: 455740.399000, Week Number: 2370
Acceleration: X=-0.159472, Y=-0.685784, Z=9.770989 m/s^2 Time of Week: 455740.409000, Week Number: 2370
Acceleration: X=-0.161803, Y=-0.689025, Z=9.776080 m/s^2 Time of Week: 455740.419000, Week Number: 2370
Acceleration: X=-0.162294, Y=-0.683255, Z=9.780369 m/s^2 Time of Week: 455740.429000, Week Number: 2370
Acceleration: X=-0.160956, Y=-0.682110, Z=9.783195 m/s^2 Time of Week: 455740.439000, Week Number: 2370
Acceleration: X=-0.159007, Y=-0.674816, Z=9.785624 m/s^2 Time of Week: 455740.449000, Week Number: 2370
Acceleration: X=-0.151660, Y=-0.678892, Z=9.785528 m/s^2 Time of Week: 455740.459000, Week Number: 2370
Acceleration: X=-0.151240, Y=-0.677831, Z=9.779134 m/s^2 Time of Week: 455740.469000, Week Number: 2370
Acceleration: X=-0.155307, Y=-0.690672, Z=9.769149 m/s^2 Time of Week: 455740.479000, Week Number: 2370
Acceleration: X=-0.158884, Y=-0.693557, Z=9.765117 m/s^2 Time of Week: 455740.489000, Week Number: 2370
Acceleration: X=-0.159565, Y=-0.691885, Z=9.770675 m/s^2 Time of Week: 455740.499000, Week Number: 2370
Acceleration: X=-0.151804, Y=-0.685724, Z=9.774501 m/s^2 Time of Week: 455740.509000, Week Number: 2370
Acceleration: X=-0.151674, Y=-0.678571, Z=9.780213 m/s^2 Time of Week: 455740.519000, Week Number: 2370
Acceleration: X=-0.150054, Y=-0.679595, Z=9.780040 m/s^2 Time of Week: 455740.529000, Week Number: 2370
Acceleration: X=-0.156852, Y=-0.678317, Z=9.777360 m/s^2 Time of Week: 455740.539000, Week Number: 2370
Acceleration: X=-0.152443, Y=-0.691103, Z=9.771646 m/s^2 Time of Week: 455740.549000, Week Number: 2370
Acceleration: X=-0.162494, Y=-0.686778, Z=9.775898 m/s^2 Time of Week: 455740.559000, Week Number: 2370
Acceleration: X=-0.157863, Y=-0.683783, Z=9.785635 m/s^2 Time of Week: 455740.569000, Week Number: 2370
Acceleration: X=-0.158293, Y=-0.679605, Z=9.780572 m/s^2 Time of Week: 455740.579000, Week Number: 2370
Acceleration: X=-0.147981, Y=-0.675380, Z=9.781467 m/s^2 Time of Week: 455740.589000, Week Number: 2370
Acceleration: X=-0.155507, Y=-0.682300, Z=9.778089 m/s^2 Time of Week: 455740.599000, Week Number: 2370
Acceleration: X=-0.149224, Y=-0.685995, Z=9.773413 m/s^2 Time of Week: 455740.609000, Week Number: 2370
Acceleration: X=-0.157483, Y=-0.689749, Z=9.766639 m/s^2 Time of Week: 455740.619000, Week Number: 2370
Acceleration: X=-0.157678, Y=-0.691713, Z=9.768962 m/s^2 Time of Week: 455740.629000, Week Number: 2370
Acceleration: X=-0.158582, Y=-0.687690, Z=9.770459 m/s^2 Time of Week: 455740.639000, Week Number: 2370
Acceleration: X=-0.158056, Y=-0.681897, Z=9.780459 m/s^2 Time of Week: 455740.649000, Week Number: 2370
Acceleration: X=-0.158479, Y=-0.678103, Z=9.782312 m/s^2 Time of Week: 455740.659000, Week Number: 2370
Acceleration: X=-0.160101, Y=-0.675876, Z=9.778577 m/s^2 Time of Week: 455740.669000, Week Number: 2370
Acceleration: X=-0.160201, Y=-0.679494, Z=9.784072 m/s^2 Time of Week: 455740.679000, Week Number: 2370
Acceleration: X=-0.162156, Y=-0.682523, Z=9.774308 m/s^2 Time of Week: 455740.689000, Week Number: 2370
Acceleration: X=-0.162809, Y=-0.683488, Z=9.770241 m/s^2 Time of Week: 455740.699000, Week Number: 2370
Acceleration: X=-0.161227, Y=-0.679511, Z=9.770629 m/s^2 Time of Week: 455740.709000, Week Number: 2370
Acceleration: X=-0.159625, Y=-0.680229, Z=9.780066 m/s^2 Time of Week: 455740.719000, Week Number: 2370
Acceleration: X=-0.149753, Y=-0.681386, Z=9.787813 m/s^2 Time of Week: 455740.729000, Week Number: 2370
Acceleration: X=-0.148454, Y=-0.677245, Z=9.776226 m/s^2 Time of Week: 455740.739000, Week Number: 2370
Acceleration: X=-0.149679, Y=-0.677593, Z=9.769155 m/s^2 Time of Week: 455740.749000, Week Number: 2370
Acceleration: X=-0.155459, Y=-0.687301, Z=9.772242 m/s^2 Time of Week: 455740.759000, Week Number: 2370
Acceleration: X=-0.155248, Y=-0.696321, Z=9.776314 m/s^2 Time of Week: 455740.769000, Week Number: 2370
Acceleration: X=-0.160537, Y=-0.685573, Z=9.771418 m/s^2 Time of Week: 455740.779000, Week Number: 2370
Acceleration: X=-0.159060, Y=-0.673379, Z=9.774737 m/s^2 Time of Week: 455740.789000, Week Number: 2370
Acceleration: X=-0.152105, Y=-0.675651, Z=9.784554 m/s^2 Time of Week: 455740.799000, Week Number: 2370
Acceleration: X=-0.150442, Y=-0.674985, Z=9.784220 m/s^2 Time of Week: 455740.809000, Week Number: 2370
Acceleration: X=-0.153877, Y=-0.681123, Z=9.780166 m/s^2 Time of Week: 455740.819000, Week Number: 2370
Acceleration: X=-0.159778, Y=-0.682179, Z=9.774867 m/s^2 Time of Week: 455740.829000, Week Number: 2370
Acceleration: X=-0.156746, Y=-0.688710, Z=9.773575 m/s^2 Time of Week: 455740.839000, Week Number: 2370
Acceleration: X=-0.158307, Y=-0.685436, Z=9.779722 m/s^2 Time of Week: 455740.849000, Week Number: 2370
Acceleration: X=-0.153570, Y=-0.684322, Z=9.783781 m/s^2 Time of Week: 455740.859000, Week Number: 2370
Acceleration: X=-0.146470, Y=-0.677176, Z=9.778989 m/s^2 Time of Week: 455740.869000, Week Number: 2370
Acceleration: X=-0.151490, Y=-0.680317, Z=9.772323 m/s^2 Time of Week: 455740.879000, Week Number: 2370
Acceleration: X=-0.151875, Y=-0.688451, Z=9.775366 m/s^2 Time of Week: 455740.889000, Week Number: 2370
Acceleration: X=-0.154604, Y=-0.694041, Z=9.768751 m/s^2 Time of Week: 455740.899000, Week Number: 2370
Acceleration: X=-0.160805, Y=-0.691685, Z=9.765731 m/s^2 Time of Week: 455740.909000, Week Number: 2370
Acceleration: X=-0.156236, Y=-0.681316, Z=9.774493 m/s^2 Time of Week: 455740.919000, Week Number: 2370
Acceleration: X=-0.151846, Y=-0.672276, Z=9.779450 m/s^2 Time of Week: 455740.929000, Week Number: 2370
