
#################################################################
Log started at 2025-06-12_15-50-46 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 0b0c, Got: 801c
Checksum failed. Expected: f0a0, Got: 801c
Checksum failed. Expected: af9c, Got: 801c
Checksum failed. Expected: 79c4, Got: 801c
Checksum failed. Expected: db4c, Got: 801c
Checksum failed. Expected: 6574, Got: 801c
Checksum failed. Expected: 573c, Got: 801c
Checksum failed. Expected: ad94, Got: 801c
Checksum failed. Expected: 72a8, Got: 801c
Checksum failed. Expected: 0a08, Got: 801c
Checksum failed. Expected: 6984, Got: 801c
Checksum failed. Expected: 1944, Got: 801c
Checksum failed. Expected: 132c, Got: 801c
Checksum failed. Expected: e470, Got: 801c
Checksum failed. Expected: 973c, Got: 801c
Checksum failed. Expected: 0904, Got: 801c
Checksum failed. Expected: 8800, Got: 801c
Checksum failed. Expected: 6a88, Got: 801c
Checksum failed. Expected: f1a4, Got: 801c
Checksum failed. Expected: 3cd0, Got: 801c
Checksum failed. Expected: cc10, Got: 801c
Checksum failed. Expected: bbcc, Got: 801c
Checksum failed. Expected: 7bcc, Got: 801c
Checksum failed. Expected: 5e58, Got: 801c
Checksum failed. Expected: 8a08, Got: 801c
Checksum failed. Expected: cd14, Got: 801c
Checksum failed. Expected: c0e0, Got: 801c
Checksum failed. Expected: 4a08, Got: 801c
Checksum failed. Expected: a060, Got: 801c
Checksum failed. Expected: d228, Got: 801c
Checksum failed. Expected: f8c0, Got: 801c
Checksum failed. Expected: e984, Got: 801c
Checksum failed. Expected: 636c, Got: 801c
Checksum failed. Expected: dd54, Got: 801c
Checksum failed. Expected: 5228, Got: 801c
Checksum failed. Expected: 9840, Got: 801c
Checksum failed. Expected: df5c, Got: 801c
Checksum failed. Expected: 45f4, Got: 801c
Checksum failed. Expected: 79c4, Got: 801c
Checksum failed. Expected: f3ac, Got: 801c
Checksum failed. Expected: c6f8, Got: 801c
Checksum failed. Expected: 77bc, Got: 801c
Checksum failed. Expected: bbcc, Got: 801c
Checksum failed. Expected: 1228, Got: 801c
Checksum failed. Expected: 8a08, Got: 801c
Checksum failed. Expected: ef9c, Got: 801c
Checksum failed. Expected: 6164, Got: 801c
Checksum failed. Expected: bcd0, Got: 801c
Checksum failed. Expected: 1228, Got: 801c
Checksum failed. Expected: 45f4, Got: 801c
Checksum failed. Expected: 9f5c, Got: 801c
Checksum failed. Expected: 2a88, Got: 801c
Checksum failed. Expected: ac90, Got: 801c
Checksum failed. Expected: b7bc, Got: 801c
Checksum failed. Expected: 78c0, Got: 801c
Checksum failed. Expected: 42e8, Got: 801c
Checksum failed. Expected: ea88, Got: 801c
Checksum failed. Expected: d020, Got: 801c
Checksum failed. Expected: 04f0, Got: 801c
Checksum failed. Expected: 2880, Got: 801c
Checksum failed. Expected: b6b8, Got: 801c
Checksum failed. Expected: b1a4, Got: 801c
Checksum failed. Expected: 06f8, Got: 801c
Checksum failed. Expected: f9c4, Got: 801c
Checksum failed. Expected: 6574, Got: 801c
Checksum failed. Expected: 1124, Got: 801c
Checksum failed. Expected: 5534, Got: 801c
Checksum failed. Expected: a880, Got: 801c
Checksum failed. Expected: 76b8, Got: 801c
Checksum failed. Expected: 2f9c, Got: 801c
