
#################################################################
Log started at 2025-06-12_16-18-35 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: d241, Got: 624e
Checksum failed. Expected: 5f0a, Got: d0e6
Checksum failed. Expected: d6ca, Got: 3f7d
Checksum failed. Expected: fbf9, Got: ae15
Checksum failed. Expected: c205, Got: 1cac
Checksum failed. Expected: 6d9c, Got: 8b44
Checksum failed. Expected: 786d, Got: f9db
Checksum failed. Expected: 33ec, Got: 6873
Checksum failed. Expected: 0260, Got: d70b
Checksum failed. Expected: 3764, Got: 45a2
Checksum failed. Expected: eeaf, Got: b43a
Checksum failed. Expected: 2d3f, Got: 22d1
Checksum failed. Expected: 7ef6, Got: 9169
Checksum failed. Expected: fbd3, Got: 0000
Checksum failed. Expected: d7ee, Got: 6e98
Checksum failed. Expected: a253, Got: dd2f
Checksum failed. Expected: a176, Got: 4bc7
Checksum failed. Expected: ffd0, Got: ba5f
Checksum failed. Expected: c07c, Got: 28f6
Checksum failed. Expected: bb7f, Got: 978e
Checksum failed. Expected: 6921, Got: 0625
Checksum failed. Expected: a6ac, Got: 74bd
Checksum failed. Expected: 0c7f, Got: e354
Checksum failed. Expected: bbcc, Got: 7ae2
Checksum failed. Expected: 6061, Got: e979
Checksum failed. Expected: d1c0, Got: 5811
Checksum failed. Expected: 5fa6, Got: c6a8
Checksum failed. Expected: 9809, Got: 3540
Checksum failed. Expected: f433, Got: a3d7
Checksum failed. Expected: b722, Got: 126f
Checksum failed. Expected: 2110, Got: 8106
Checksum failed. Expected: c21c, Got: ef9e
Checksum failed. Expected: 610c, Got: 5e36
Checksum failed. Expected: 7756, Got: cccd
Checksum failed. Expected: 9983, Got: 3b65
Checksum failed. Expected: b521, Got: a9fc
Checksum failed. Expected: c546, Got: 1894
Checksum failed. Expected: d634, Got: 872b
Checksum failed. Expected: 9f7c, Got: f5c3
Checksum failed. Expected: 516a, Got: 645a
Checksum failed. Expected: 88a1, Got: d2f2
Checksum failed. Expected: b981, Got: 418a
Checksum failed. Expected: 86d9, Got: b021
Checksum failed. Expected: c8a6, Got: 1eb9
Checksum failed. Expected: 23d6, Got: 8d50
Checksum failed. Expected: eb04, Got: fbe8
Checksum failed. Expected: a67c, Got: 6a7f
Checksum failed. Expected: 14a9, Got: d917
Checksum failed. Expected: 0c63, Got: 47ae
Checksum failed. Expected: b916, Got: b646
Checksum failed. Expected: 56ca, Got: 24de
Checksum failed. Expected: b3e9, Got: 9375
Checksum failed. Expected: 75b6, Got: 020d
Checksum failed. Expected: 0b0c, Got: 70a4
Checksum failed. Expected: dee8, Got: df3c
Checksum failed. Expected: 4d24, Got: 4dd3
Checksum failed. Expected: df5d, Got: bc6b
Checksum failed. Expected: f6c9, Got: 2b02
Checksum failed. Expected: b12c, Got: 999a
Checksum failed. Expected: fc84, Got: 0831
Checksum failed. Expected: a4dd, Got: 76c9
Checksum failed. Expected: 911e, Got: e561
Checksum failed. Expected: 483e, Got: 53f8
Checksum failed. Expected: e40f, Got: c290
Checksum failed. Expected: a285, Got: 3127
Checksum failed. Expected: 4dfe, Got: 9fbf
Checksum failed. Expected: dd10, Got: 0e56
Checksum failed. Expected: 0683, Got: 7cee
Checksum failed. Expected: a89e, Got: eb85
Checksum failed. Expected: 3f1d, Got: 5a1d
Checksum failed. Expected: 91af, Got: c8b5
Checksum failed. Expected: 4f51, Got: 374c
Checksum failed. Expected: 3a54, Got: a5e4
Checksum failed. Expected: 0e2a, Got: 147b
Checksum failed. Expected: db89, Got: 8313
Checksum failed. Expected: 8944, Got: f1aa
Checksum failed. Expected: 8ecf, Got: 6042
Checksum failed. Expected: a85d, Got: ced9
Checksum failed. Expected: 08d6, Got: 3d71
Checksum failed. Expected: a578, Got: ac09
Checksum failed. Expected: 60d0, Got: 1aa0
Checksum failed. Expected: 9829, Got: 8938
Checksum failed. Expected: 48f4, Got: f7cf
Checksum failed. Expected: 440d, Got: 6667
Checksum failed. Expected: 387b, Got: d4fe
Checksum failed. Expected: ea88, Got: 4396
Checksum failed. Expected: ae56, Got: b22d
Checksum failed. Expected: 5afb, Got: 20c5
Checksum failed. Expected: a107, Got: 8f5d
Checksum failed. Expected: 6b4a, Got: fdf4
Checksum failed. Expected: 4deb, Got: 6c8c
Checksum failed. Expected: e233, Got: db23
Checksum failed. Expected: 6577, Got: 49bb
Checksum failed. Expected: 2f97, Got: b852
Checksum failed. Expected: 7e26, Got: 26ea
Checksum failed. Expected: 04a4, Got: 9581
Checksum failed. Expected: e205, Got: 0419
Checksum failed. Expected: 4477, Got: 72b0
Checksum failed. Expected: 3d73, Got: e148
Checksum failed. Expected: c3e5, Got: 4fe0
Checksum failed. Expected: 9cf9, Got: be77
Checksum failed. Expected: 6b7c, Got: 2d0f
Checksum failed. Expected: 0e88, Got: 9ba6
Checksum failed. Expected: dc11, Got: 0a3e
Checksum failed. Expected: 0cd3, Got: 78d5
Checksum failed. Expected: 4ca5, Got: e76d
Checksum failed. Expected: a385, Got: 5604
Checksum failed. Expected: 85f4, Got: c49c
Checksum failed. Expected: c7ce, Got: 3334
