
#################################################################
Log started at 2025-06-12_13-37-24 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 85e4, Got: e34a
Checksum failed. Expected: 4d76, Got: 30c2
Checksum failed. Expected: 81c5, Got: 51fa
Checksum failed. Expected: 5d84, Got: 3886
Checksum failed. Expected: c138, Got: 0584
Checksum failed. Expected: ff29, Got: 35c4
Checksum failed. Expected: b7d7, Got: 7257
Checksum failed. Expected: 799a, Got: 2120
Checksum failed. Expected: 3664, Got: 11c8
Checksum failed. Expected: 1296, Got: 3a4c
Checksum failed. Expected: 796f, Got: 6045
Checksum failed. Expected: 8d93, Got: 149f
Checksum failed. Expected: 4f29, Got: 19cc
Checksum failed. Expected: a0ff, Got: 537a
Checksum failed. Expected: 9774, Got: 4da4
Checksum failed. Expected: 8d31, Got: 0a20
Checksum failed. Expected: e6cb, Got: c582
Checksum failed. Expected: 8c6c, Got: 032c
Checksum failed. Expected: 6dee, Got: c271
Checksum failed. Expected: b6ea, Got: c23e
Checksum failed. Expected: da45, Got: 197c
Checksum failed. Expected: a79f, Got: aed5
Checksum failed. Expected: 8cc3, Got: 2e91
Checksum failed. Expected: 0638, Got: e335
Checksum failed. Expected: b57f, Got: 44ed
Checksum failed. Expected: 7332, Got: c932
Checksum failed. Expected: 28a6, Got: 2bd7
Checksum failed. Expected: 2f15, Got: 7171
Checksum failed. Expected: 9a1b, Got: 34a8
Checksum failed. Expected: 5f87, Got: 3295
Checksum failed. Expected: 27bc, Got: 6380
Checksum failed. Expected: 086e, Got: 6376
Checksum failed. Expected: fa45, Got: 2533
Checksum failed. Expected: d6bd, Got: 2998
Checksum failed. Expected: 44e2, Got: 200d
Checksum failed. Expected: 3813, Got: 626c
Checksum failed. Expected: 9e15, Got: 21ab
Checksum failed. Expected: 78bc, Got: fbe0
Checksum failed. Expected: f9c0, Got: 506e
Checksum failed. Expected: ff22, Got: 541e
Checksum failed. Expected: 5bda, Got: 1ecb
Checksum failed. Expected: 3acd, Got: 14a1
Checksum failed. Expected: 510a, Got: 1b69
Checksum failed. Expected: bc61, Got: 37bb
Checksum failed. Expected: a339, Got: 459b
Checksum failed. Expected: c945, Got: 1458
Checksum failed. Expected: 1db8, Got: f89b
Checksum failed. Expected: 595b, Got: 248c
Checksum failed. Expected: 515c, Got: 5a17
Checksum failed. Expected: 9e0c, Got: 432d
Checksum failed. Expected: b753, Got: fdc2
Checksum failed. Expected: 7ba7, Got: 0aa0
Checksum failed. Expected: 3b20, Got: 291f
Checksum failed. Expected: c6f7, Got: 533c
Checksum failed. Expected: 4c40, Got: 2d73
Checksum failed. Expected: 9a11, Got: 3320
Checksum failed. Expected: 143f, Got: 01b6
Checksum failed. Expected: b37e, Got: 2b83
Checksum failed. Expected: 86d5, Got: 1934
Checksum failed. Expected: 66d7, Got: 1778
Checksum failed. Expected: 1924, Got: 0985
Checksum failed. Expected: d5eb, Got: 0346
Checksum failed. Expected: b921, Got: 7468
Checksum failed. Expected: 82c4, Got: 1bc3
Checksum failed. Expected: 5fae, Got: fc42
Checksum failed. Expected: 52a1, Got: 6633
Checksum failed. Expected: bfbe, Got: 47ae
Checksum failed. Expected: 4c73, Got: 3c7c
Checksum failed. Expected: 94d3, Got: 3d77
Checksum failed. Expected: 7611, Got: 0f64
Checksum failed. Expected: 021a, Got: e792
Checksum failed. Expected: a0a2, Got: 137b
Checksum failed. Expected: 1f96, Got: 1fc3
Checksum failed. Expected: 2396, Got: 46a9
Checksum failed. Expected: 0754, Got: 22cb
Checksum failed. Expected: 2d2d, Got: 466b
Checksum failed. Expected: 700b, Got: 2bcf
Checksum failed. Expected: 0c6f, Got: 42a1
Checksum failed. Expected: e316, Got: 7ae1
Checksum failed. Expected: 97a0, Got: 0abf
Checksum failed. Expected: a53a, Got: 4615
Checksum failed. Expected: ae5b, Got: 1d42
Checksum failed. Expected: 1d80, Got: 1d0b
Checksum failed. Expected: 4f95, Got: 4132
Checksum failed. Expected: c2a2, Got: 18d6
Checksum failed. Expected: 0bfa, Got: 2f0c
Checksum failed. Expected: f9dd, Got: 580a
Checksum failed. Expected: 8790, Got: 4bd0
Checksum failed. Expected: f584, Got: 4090
Checksum failed. Expected: 1b4d, Got: 4bf8
Checksum failed. Expected: 7198, Got: 18ce
Checksum failed. Expected: 547e, Got: 1d31
Checksum failed. Expected: 5b40, Got: f995
Checksum failed. Expected: d7eb, Got: 135d
Checksum failed. Expected: 22e9, Got: fce3
Checksum failed. Expected: b8a7, Got: 94b4
Checksum failed. Expected: db71, Got: 34ad
Checksum failed. Expected: 373c, Got: 3a37
Checksum failed. Expected: f5a3, Got: 27dc
