
#################################################################
Log started at 2025-06-12_16-20-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 87fa, Got: ba5f
Checksum failed. Expected: 4ac2, Got: 28f6
Checksum failed. Expected: 69bd, Got: 978e
Checksum failed. Expected: 4d53, Got: 0625
Checksum failed. Expected: 1032, Got: 74bd
Checksum failed. Expected: cbab, Got: e354
Checksum failed. Expected: 8730, Got: 51ec
Checksum failed. Expected: 2f8a, Got: c083
Checksum failed. Expected: 9fe7, Got: 2f1b
Checksum failed. Expected: 2335, Got: 9db3
Checksum failed. Expected: 279f, Got: 0c4a
Checksum failed. Expected: 4664, Got: 7ae2
Checksum failed. Expected: d365, Got: e979
Checksum failed. Expected: 8ed0, Got: 5811
Checksum failed. Expected: 8f00, Got: c6a8
Checksum failed. Expected: 224f, Got: 3540
Checksum failed. Expected: d0f5, Got: a3d7
Checksum failed. Expected: 0958, Got: 126f
Checksum failed. Expected: c298, Got: 8106
Checksum failed. Expected: 0580, Got: ef9e
Checksum failed. Expected: 05be, Got: 5e36
Checksum failed. Expected: 694c, Got: cccd
Checksum failed. Expected: c9dd, Got: 3b65
Checksum failed. Expected: 8eb9, Got: a9fc
Checksum failed. Expected: a75c, Got: 1894
Checksum failed. Expected: 988a, Got: 872b
Checksum failed. Expected: c874, Got: f5c3
Checksum failed. Expected: ffa8, Got: 645a
Checksum failed. Expected: 8da1, Got: d2f2
Checksum failed. Expected: d07d, Got: 418a
Checksum failed. Expected: 716d, Got: b021
Checksum failed. Expected: 05b6, Got: 1eb9
Checksum failed. Expected: c788, Got: 8d50
Checksum failed. Expected: 20a4, Got: fbe8
Checksum failed. Expected: 7cea, Got: 6a7f
Checksum failed. Expected: 7287, Got: d917
Checksum failed. Expected: fc3d, Got: 47ae
Checksum failed. Expected: fb6c, Got: b646
Checksum failed. Expected: cbea, Got: 24de
Checksum failed. Expected: 5ac5, Got: 9375
Checksum failed. Expected: 68ba, Got: 020d
Checksum failed. Expected: 1fde, Got: 70a4
Checksum failed. Expected: 388e, Got: df3c
Checksum failed. Expected: 81b6, Got: 4dd3
Checksum failed. Expected: b5cb, Got: bc6b
Checksum failed. Expected: c8ff, Got: 2b02
Checksum failed. Expected: 4c60, Got: 999a
Checksum failed. Expected: 4a82, Got: 0832
Checksum failed. Expected: 411a, Got: 76c9
Checksum failed. Expected: 5cf2, Got: e561
Checksum failed. Expected: 4088, Got: 53f8
Checksum failed. Expected: 6c39, Got: c290
Checksum failed. Expected: b873, Got: 3127
Checksum failed. Expected: c872, Got: 9fbf
Checksum failed. Expected: eeb8, Got: 0e56
Checksum failed. Expected: 1c71, Got: 7cee
Checksum failed. Expected: 78b8, Got: eb85
Checksum failed. Expected: 9f17, Got: 5a1d
Checksum failed. Expected: 03a5, Got: c8b5
Checksum failed. Expected: 02d5, Got: 374c
Checksum failed. Expected: c27e, Got: a5e4
Checksum failed. Expected: e16e, Got: 147b
Checksum failed. Expected: cb63, Got: 8313
Checksum failed. Expected: 2478, Got: f1aa
Checksum failed. Expected: 24bd, Got: 6042
Checksum failed. Expected: cf39, Got: ced9
Checksum failed. Expected: 0dd6, Got: 3d71
Checksum failed. Expected: 76a0, Got: ac09
Checksum failed. Expected: 7d20, Got: 1aa0
Checksum failed. Expected: 4559, Got: 8938
Checksum failed. Expected: eec2, Got: f7cf
