
#################################################################
Log started at 2025-06-13_15-59-00 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: a8c1, Got: 1f59
Checksum failed. Expected: 0245, Got: 1f59
Checksum failed. Expected: 2bdf, Got: 1f59
Checksum failed. Expected: 1b3f, Got: 1f59
Checksum failed. Expected: f8e1, Got: 1f59
Checksum failed. Expected: 60f1, Got: 1f59
Checksum failed. Expected: 2bdf, Got: 1f59
Checksum failed. Expected: 9e5d, Got: 1f59
Checksum failed. Expected: c4d9, Got: 1f59
Checksum failed. Expected: ff27, Got: 1f59
Checksum failed. Expected: 332f, Got: 1f59
Checksum failed. Expected: 5583, Got: 1f59
Checksum failed. Expected: 8b9f, Got: 1f59
Checksum failed. Expected: a8c1, Got: 1f59
Checksum failed. Expected: 4a15, Got: 1f59
Checksum failed. Expected: 58a1, Got: 1f59
Checksum failed. Expected: 7d13, Got: 1f59
Checksum failed. Expected: f9eb, Got: 1f59
Checksum failed. Expected: 5bbf, Got: 1f59
Checksum failed. Expected: 60f1, Got: 1f59
Checksum failed. Expected: 3a75, Got: 1f59
Checksum failed. Expected: 0881, Got: 1f59
Checksum failed. Expected: ace9, Got: 1f59
Checksum failed. Expected: 2ad5, Got: 1f59
Checksum failed. Expected: 662d, Got: 1f59
Checksum failed. Expected: 45e3, Got: 1f59
Checksum failed. Expected: e30f, Got: 1f59
Checksum failed. Expected: 5edd, Got: 1f59
Checksum failed. Expected: 3439, Got: 1f59
Checksum failed. Expected: 217b, Got: 1f59
Checksum failed. Expected: 9e5d, Got: 1f59
Checksum failed. Expected: 60f1, Got: 1f59
Checksum failed. Expected: 6841, Got: 1f59
Checksum failed. Expected: 2efd, Got: 1f59
Checksum failed. Expected: 0ca9, Got: 1f59
Checksum failed. Expected: 5583, Got: 1f59
Checksum failed. Expected: d36f, Got: 1f59
Checksum failed. Expected: faf5, Got: 1f59
Checksum failed. Expected: e1fb, Got: 1f59
Checksum failed. Expected: 5fe7, Got: 1f59
Checksum failed. Expected: 0245, Got: 1f59
Checksum failed. Expected: aefd, Got: 1f59
Checksum failed. Expected: d051, Got: 1f59
Checksum failed. Expected: 42c5, Got: 1f59
Checksum failed. Expected: b32f, Got: 1f59
Checksum failed. Expected: d265, Got: 1f59
Checksum failed. Expected: 6419, Got: 1f5a
Checksum failed. Expected: 5358, Got: 1f5a
Checksum failed. Expected: dcb2, Got: 1f5a
Checksum failed. Expected: a26e, Got: 1f5a
Checksum failed. Expected: a378, Got: 1f5a
Checksum failed. Expected: aff0, Got: 1f5a
Checksum failed. Expected: aee6, Got: 1f5a
Checksum failed. Expected: 9700, Got: 1f5a
Checksum failed. Expected: a7a0, Got: 1f5a
Checksum failed. Expected: 6b48, Got: 1f5a
Checksum failed. Expected: 7e06, Got: 1f5a
Checksum failed. Expected: d88a, Got: 1f5a
Checksum failed. Expected: 5cb2, Got: 1f5a
Checksum failed. Expected: 12ce, Got: 1f5a
Checksum failed. Expected: b422, Got: 1f5a
Checksum failed. Expected: ec52, Got: 1f5a
Checksum failed. Expected: 7dfc, Got: 1f5a
Checksum failed. Expected: e934, Got: 1f5a
Checksum failed. Expected: 022e, Got: 1f5a
Checksum failed. Expected: dfd0, Got: 1f5a
Checksum failed. Expected: 77c0, Got: 1f5a
Checksum failed. Expected: 2696, Got: 1f5a
Checksum failed. Expected: b422, Got: 1f5a
Checksum failed. Expected: a164, Got: 1f5a
Checksum failed. Expected: 4d1c, Got: 1f5a
Checksum failed. Expected: 8656, Got: 1f5a
Checksum failed. Expected: fdfc, Got: 1f5a
Checksum failed. Expected: f6b6, Got: 1f5a
Checksum failed. Expected: ee66, Got: 1f5a
Checksum failed. Expected: b318, Got: 1f5a
Checksum failed. Expected: 352c, Got: 1f5a
Checksum failed. Expected: 3740, Got: 1f5a
Checksum failed. Expected: a378, Got: 1f5a
Checksum failed. Expected: 4c12, Got: 1f5a
Checksum failed. Expected: 15ec, Got: 1f5a
Checksum failed. Expected: b84a, Got: 1f5a
Checksum failed. Expected: 5462, Got: 1f5a
Checksum failed. Expected: c6d6, Got: 1f5a
Checksum failed. Expected: be86, Got: 1f5a
Checksum failed. Expected: 5780, Got: 1f5a
Checksum failed. Expected: 6a3e, Got: 1f5a
Checksum failed. Expected: ba5e, Got: 1f5a
Checksum failed. Expected: fbe8, Got: 1f5a
Checksum failed. Expected: 180a, Got: 1f5a
Checksum failed. Expected: e934, Got: 1f5a
Checksum failed. Expected: e2ee, Got: 1f5a
Checksum failed. Expected: 15ec, Got: 1f5a
Checksum failed. Expected: fcf2, Got: 1f5a
Checksum failed. Expected: 6616, Got: 1f5a
Checksum failed. Expected: a05a, Got: 1f5a
Checksum failed. Expected: ba5e, Got: 1f5a
Checksum failed. Expected: 0124, Got: 1f5a
Checksum failed. Expected: 409a, Got: 1f5a
Checksum failed. Expected: 3e86, Got: 1f5a
Checksum failed. Expected: 6402, Got: 1f5a
Checksum failed. Expected: ce26, Got: 1f5a
Checksum failed. Expected: cf30, Got: 1f5a
Checksum failed. Expected: d56c, Got: 1f5a
Checksum failed. Expected: 49f4, Got: 1f5a
Checksum failed. Expected: e3f8, Got: 1f5a
Checksum failed. Expected: 3636, Got: 1f5a
Checksum failed. Expected: 2bc8, Got: 1f5a
Checksum failed. Expected: 10ba, Got: 1f5a
Checksum failed. Expected: 77c0, Got: 1f5a
Checksum failed. Expected: fdfc, Got: 1f5a
Checksum failed. Expected: 022e, Got: 1f5a
Checksum failed. Expected: 4d1c, Got: 1f5a
Checksum failed. Expected: 2378, Got: 1f5a
Checksum failed. Expected: a26e, Got: 1f5a
Checksum failed. Expected: 707a, Got: 1f5a
