
#################################################################
Log started at 2025-06-13_14-53-58 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 17d5, Got: 5e75
Checksum failed. Expected: 1b40, Got: c575
Checksum failed. Expected: cf5b, Got: 2c75
Checksum failed. Expected: 9b19, Got: 1e75
Checksum failed. Expected: b129, Got: 1875
Checksum failed. Expected: e3fe, Got: bb75
Checksum failed. Expected: f711, Got: ba75
Checksum failed. Expected: 97e1, Got: ea75
Checksum failed. Expected: fb32, Got: d775
Checksum failed. Expected: 4363, Got: c075
Checksum failed. Expected: 9954, Got: 5b75
Checksum failed. Expected: 4bc8, Got: 1d75
Checksum failed. Expected: c3d3, Got: b075
Checksum failed. Expected: 89eb, Got: 0275
Checksum failed. Expected: c92c, Got: 0375
Checksum failed. Expected: fd1e, Got: c175
Checksum failed. Expected: 7105, Got: 3475
Checksum failed. Expected: 19ed, Got: 7475
Checksum failed. Expected: e395, Got: 5275
Checksum failed. Expected: 1dab, Got: 2e75
Checksum failed. Expected: 9f4e, Got: 4f75
Checksum failed. Expected: 9711, Got: 1a75
Checksum failed. Expected: 2de3, Got: 5675
Checksum failed. Expected: 8d95, Got: a875
Checksum failed. Expected: df0b, Got: cc75
Checksum failed. Expected: 0d54, Got: e775
Checksum failed. Expected: f937, Got: de75
Checksum failed. Expected: 4b36, Got: 8b75
Checksum failed. Expected: f339, Got: e675
Checksum failed. Expected: 0bb1, Got: 4675
Checksum failed. Expected: 553f, Got: 8a75
Checksum failed. Expected: f7e4, Got: 8d75
Checksum failed. Expected: 57dc, Got: 2575
Checksum failed. Expected: 231c, Got: 9975
Checksum failed. Expected: 5bc1, Got: 0675
Checksum failed. Expected: 93d3, Got: e075
Checksum failed. Expected: d1f6, Got: c575
Checksum failed. Expected: 9bb1, Got: b675
Checksum failed. Expected: 8ba3, Got: b875
Checksum failed. Expected: 17e0, Got: 6975
Checksum failed. Expected: 43ae, Got: 0b75
Checksum failed. Expected: 9b44, Got: 4975
Checksum failed. Expected: 8bf1, Got: 0675
Checksum failed. Expected: 31d1, Got: 4075
Checksum failed. Expected: 6d0f, Got: 4275
Checksum failed. Expected: 8d39, Got: 4c75
Checksum failed. Expected: ff34, Got: d575
Checksum failed. Expected: e16e, Got: 2d75
Checksum failed. Expected: 4119, Got: 7875
Checksum failed. Expected: d1dc, Got: ab75
Checksum failed. Expected: 6111, Got: 5075
Checksum failed. Expected: c9d1, Got: a875
Checksum failed. Expected: 71bb, Got: ea75
Checksum failed. Expected: 31b2, Got: 2175
Checksum failed. Expected: b7ba, Got: a375
Checksum failed. Expected: 538d, Got: da75
Checksum failed. Expected: 1b04, Got: 8975
Checksum failed. Expected: 57ce, Got: 1775
Checksum failed. Expected: 69f4, Got: 2b75
Checksum failed. Expected: ad22, Got: 1575
Checksum failed. Expected: bb84, Got: 6975
Checksum failed. Expected: e30b, Got: c875
Checksum failed. Expected: 0fa5, Got: 3675
Checksum failed. Expected: 51b0, Got: ff75
Checksum failed. Expected: e75c, Got: 1575
Checksum failed. Expected: 3966, Got: cd75
Checksum failed. Expected: c961, Got: 3875
Checksum failed. Expected: 6dd2, Got: 0575
Checksum failed. Expected: 91f4, Got: 0375
Checksum failed. Expected: 51de, Got: 2d75
Checksum failed. Expected: 8d2e, Got: 4175
Checksum failed. Expected: 193f, Got: c675
Checksum failed. Expected: f508, Got: b375
Checksum failed. Expected: 99bb, Got: c275
Checksum failed. Expected: bb32, Got: 1775
Checksum failed. Expected: b9f3, Got: da75
Checksum failed. Expected: 2527, Got: a275
Checksum failed. Expected: fb73, Got: 1875
Checksum failed. Expected: 9341, Got: 4e75
Checksum failed. Expected: 4341, Got: 9e75
Checksum failed. Expected: 7bb7, Got: dc75
Checksum failed. Expected: f940, Got: e775
Checksum failed. Expected: 1f00, Got: 8175
Checksum failed. Expected: adbf, Got: b275
Checksum failed. Expected: 4134, Got: 9375
Checksum failed. Expected: 41df, Got: 3e75
Checksum failed. Expected: b78e, Got: 7775
Checksum failed. Expected: 0df7, Got: 8a75
Checksum failed. Expected: fddc, Got: 7f75
Checksum failed. Expected: ab23, Got: 1875
Checksum failed. Expected: dfeb, Got: ac75
Checksum failed. Expected: 193a, Got: c175
