
#################################################################
Log started at 2025-06-13_16-01-34 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 9781, Got: 0942
Checksum failed. Expected: 7733, Got: 0942
Checksum failed. Expected: d179, Got: 0942
Checksum failed. Expected: 8367, Got: 0942
Checksum failed. Expected: 9775, Got: 0942
Checksum failed. Expected: 5853, Got: 0942
Checksum failed. Expected: ce8f, Got: 0942
Checksum failed. Expected: 3b32, Got: 0942
Checksum failed. Expected: 27a0, Got: 0942
Checksum failed. Expected: 6ca9, Got: 0942
Checksum failed. Expected: 1947, Got: 0942
Checksum failed. Expected: 16e5, Got: 0942
Checksum failed. Expected: 66a4, Got: 0942
Checksum failed. Expected: b76f, Got: 0942
Checksum failed. Expected: 51eb, Got: 0942
Checksum failed. Expected: a0b0, Got: 0942
Checksum failed. Expected: eb19, Got: 0942
Checksum failed. Expected: 0ad7, Got: 0942
Checksum failed. Expected: 2876, Got: 0942
Checksum failed. Expected: 8e91, Got: 0942
Checksum failed. Expected: ff6f, Got: 0942
Checksum failed. Expected: ae3b, Got: 0942
Checksum failed. Expected: c030, Got: 0942
Checksum failed. Expected: 563a, Got: 0942
Checksum failed. Expected: 8705, Got: 0942
Checksum failed. Expected: b9f3, Got: 0942
Checksum failed. Expected: 3141, Got: 0942
Checksum failed. Expected: 854f, Got: 0942
Checksum failed. Expected: 8939, Got: 0942
Checksum failed. Expected: b8b4, Got: 0942
Checksum failed. Expected: cbb3, Got: 0942
Checksum failed. Expected: eda1, Got: 0942
Checksum failed. Expected: 070f, Got: 0942
Checksum failed. Expected: 84ad, Got: 0942
Checksum failed. Expected: e24c, Got: 0942
Checksum failed. Expected: 90da, Got: 0942
Checksum failed. Expected: c5f1, Got: 0942
Checksum failed. Expected: 9193, Got: 0942
Checksum failed. Expected: 5e31, Got: 0942
Checksum failed. Expected: 4340, Got: 0942
Checksum failed. Expected: 2a6b, Got: 0942
Checksum failed. Expected: 0b49, Got: 0942
Checksum failed. Expected: bafa, Got: 0942
Checksum failed. Expected: 1131, Got: 0942
Checksum failed. Expected: 7113, Got: 0942
Checksum failed. Expected: 1a62, Got: 0942
Checksum failed. Expected: e6dd, Got: 0942
Checksum failed. Expected: d04b, Got: 0942
Checksum failed. Expected: bf09, Got: 0942
Checksum failed. Expected: dfca, Got: 0942
Checksum failed. Expected: 3c44, Got: 0942
Checksum failed. Expected: 3e2d, Got: 0942
Checksum failed. Expected: c24f, Got: 0942
Checksum failed. Expected: 00fd, Got: 0942
Checksum failed. Expected: 962b, Got: 0942
Checksum failed. Expected: 4e79, Got: 0942
Checksum failed. Expected: 604b, Got: 0942
Checksum failed. Expected: 6a91, Got: 0942
Checksum failed. Expected: 91dd, Got: 0942
Checksum failed. Expected: 6a4f, Got: 0942
Checksum failed. Expected: ca1d, Got: 0942
Checksum failed. Expected: 214c, Got: 0942
Checksum failed. Expected: c767, Got: 0942
Checksum failed. Expected: 34f8, Got: 0942
Checksum failed. Expected: 9b21, Got: 0942
Checksum failed. Expected: dbfd, Got: 0942
Checksum failed. Expected: 468f, Got: 0942
Checksum failed. Expected: d64e, Got: 0942
Checksum failed. Expected: 5939, Got: 0942
Checksum failed. Expected: 88f7, Got: 0942
Checksum failed. Expected: ebdc, Got: 0942
Checksum failed. Expected: c62f, Got: 0942
Checksum failed. Expected: 4c4e, Got: 0942
Checksum failed. Expected: 2f47, Got: 0942
Checksum failed. Expected: 9369, Got: 0942
Checksum failed. Expected: eaa7, Got: 0942
Checksum failed. Expected: 42f5, Got: 0942
Checksum failed. Expected: ca27, Got: 0942
Checksum failed. Expected: edfd, Got: 0942
Checksum failed. Expected: bcbb, Got: 0942
Checksum failed. Expected: a1e7, Got: 0942
Checksum failed. Expected: 32d9, Got: 0942
Checksum failed. Expected: 4197, Got: 0942
Checksum failed. Expected: 7046, Got: 0942
Checksum failed. Expected: 7214, Got: 0942
Checksum failed. Expected: 493d, Got: 0942
Checksum failed. Expected: 68fb, Got: 0942
Checksum failed. Expected: 1497, Got: 0942
Checksum failed. Expected: ff1a, Got: 0942
Checksum failed. Expected: 6db5, Got: 0942
Checksum failed. Expected: 7c73, Got: 0942
Checksum failed. Expected: 5e54, Got: 0942
Checksum failed. Expected: f9bd, Got: 0942
Checksum failed. Expected: 510b, Got: 0942
Checksum failed. Expected: e72a, Got: 0942
Checksum failed. Expected: 07f3, Got: 0942
Checksum failed. Expected: 0175, Got: 0942
Checksum failed. Expected: bbe3, Got: 0942
Checksum failed. Expected: c214, Got: 0942
Checksum failed. Expected: 26fe, Got: 0942
Checksum failed. Expected: 85a9, Got: 0942
Checksum failed. Expected: cce7, Got: 0942
Checksum failed. Expected: a333, Got: 0942
Checksum failed. Expected: c645, Got: 0942
Checksum failed. Expected: f503, Got: 0942
Checksum failed. Expected: f175, Got: 0942
Checksum failed. Expected: 4eeb, Got: 0942
Checksum failed. Expected: 5859, Got: 0942
Checksum failed. Expected: 94e7, Got: 0942
Checksum failed. Expected: 2a23, Got: 0942
Checksum failed. Expected: 9166, Got: 0942
Checksum failed. Expected: 0781, Got: 0942
Checksum failed. Expected: 1d96, Got: 0942
Checksum failed. Expected: 6069, Got: 0942
Checksum failed. Expected: 4367, Got: 0942
Checksum failed. Expected: bed6, Got: 0942
Checksum failed. Expected: f0b1, Got: 0942
Checksum failed. Expected: 2f7d, Got: 0942
Checksum failed. Expected: a28f, Got: 0942
Checksum failed. Expected: 8580, Got: 0942
Checksum failed. Expected: 7ec9, Got: 0942
Checksum failed. Expected: 15f8, Got: 0942
Checksum failed. Expected: 8a03, Got: 0942
Checksum failed. Expected: 0581, Got: 0942
Checksum failed. Expected: 5ccd, Got: 0942
Checksum failed. Expected: 51ff, Got: 0942
Checksum failed. Expected: 80a1, Got: 0942
Checksum failed. Expected: 7047, Got: 0942
Checksum failed. Expected: 0455, Got: 0942
Checksum failed. Expected: 0ca3, Got: 0942
Checksum failed. Expected: 90b1, Got: 0942
Checksum failed. Expected: 091d, Got: 0942
Checksum failed. Expected: 78e0, Got: 0942
Checksum failed. Expected: 866e, Got: 0942
Checksum failed. Expected: 23f7, Got: 0942
Checksum failed. Expected: 8925, Got: 0942
Checksum failed. Expected: ea03, Got: 0942
Checksum failed. Expected: af12, Got: 0942
Checksum failed. Expected: 3ad0, Got: 0942
Checksum failed. Expected: 7b3f, Got: 0942
Checksum failed. Expected: 738d, Got: 0942
Checksum failed. Expected: 07a9, Got: 0942
Checksum failed. Expected: 222e, Got: 0942
Checksum failed. Expected: c838, Got: 0942
Checksum failed. Expected: e4b3, Got: 0942
Checksum failed. Expected: 1bf1, Got: 0942
Checksum failed. Expected: 8ccf, Got: 0942
Checksum failed. Expected: a1ed, Got: 0942
Checksum failed. Expected: d4d2, Got: 0942
Checksum failed. Expected: 0f24, Got: 0942
Checksum failed. Expected: f223, Got: 0942
Checksum failed. Expected: 7741, Got: 0942
Checksum failed. Expected: b4df, Got: 0942
Checksum failed. Expected: 27dd, Got: 0942
Checksum failed. Expected: 979c, Got: 0942
Checksum failed. Expected: cfca, Got: 0942
Checksum failed. Expected: ca41, Got: 0942
Checksum failed. Expected: 53b3, Got: 0942
Checksum failed. Expected: f161, Got: 0942
Checksum failed. Expected: e450, Got: 0942
Checksum failed. Expected: 595b, Got: 0942
Checksum failed. Expected: ed69, Got: 0942
Checksum failed. Expected: 338a, Got: 0942
Checksum failed. Expected: 68a1, Got: 0942
Checksum failed. Expected: 8bb3, Got: 0942
Checksum failed. Expected: 1622, Got: 0942
Checksum failed. Expected: 16dd, Got: 0942
Checksum failed. Expected: 47bb, Got: 0942
Checksum failed. Expected: 5de9, Got: 0942
Checksum failed. Expected: 574a, Got: 0942
