
#################################################################
Log started at 2025-06-13_17-04-07 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=1.895141, Y=7.970310, Z=-4.973905 m/s^2 Time of Week: 464665.529000, Week Number: 2370
Acceleration: X=1.895251, Y=7.995210, Z=-4.958040 m/s^2 Time of Week: 464665.530000, Week Number: 2370
Acceleration: X=1.896712, Y=8.024070, Z=-4.945221 m/s^2 Time of Week: 464665.531000, Week Number: 2370
Acceleration: X=1.899467, Y=8.056975, Z=-4.930373 m/s^2 Time of Week: 464665.532000, Week Number: 2370
Acceleration: X=1.902078, Y=8.092244, Z=-4.912775 m/s^2 Time of Week: 464665.533000, Week Number: 2370
Acceleration: X=1.914207, Y=8.124412, Z=-4.900371 m/s^2 Time of Week: 464665.534000, Week Number: 2370
Acceleration: X=1.924024, Y=8.142602, Z=-4.897380 m/s^2 Time of Week: 464665.535000, Week Number: 2370
Acceleration: X=1.938261, Y=8.157413, Z=-4.897569 m/s^2 Time of Week: 464665.536000, Week Number: 2370
Acceleration: X=1.955798, Y=8.170903, Z=-4.899001 m/s^2 Time of Week: 464665.537000, Week Number: 2370
Acceleration: X=1.970520, Y=8.183218, Z=-4.899351 m/s^2 Time of Week: 464665.538000, Week Number: 2370
Acceleration: X=1.985975, Y=8.201676, Z=-4.906283 m/s^2 Time of Week: 464665.539000, Week Number: 2370
Acceleration: X=1.990631, Y=8.211582, Z=-4.912048 m/s^2 Time of Week: 464665.540000, Week Number: 2370
Acceleration: X=1.994100, Y=8.217613, Z=-4.922044 m/s^2 Time of Week: 464665.541000, Week Number: 2370
Acceleration: X=1.994073, Y=8.228640, Z=-4.932666 m/s^2 Time of Week: 464665.542000, Week Number: 2370
Acceleration: X=2.000528, Y=8.241768, Z=-4.952030 m/s^2 Time of Week: 464665.543000, Week Number: 2370
Acceleration: X=2.004854, Y=8.256252, Z=-4.981273 m/s^2 Time of Week: 464665.544000, Week Number: 2370
Acceleration: X=2.004107, Y=8.266977, Z=-4.999267 m/s^2 Time of Week: 464665.545000, Week Number: 2370
Acceleration: X=2.006221, Y=8.275020, Z=-5.010894 m/s^2 Time of Week: 464665.546000, Week Number: 2370
Acceleration: X=2.005358, Y=8.281964, Z=-5.021898 m/s^2 Time of Week: 464665.547000, Week Number: 2370
Acceleration: X=2.008322, Y=8.291333, Z=-5.037768 m/s^2 Time of Week: 464665.548000, Week Number: 2370
Acceleration: X=2.008590, Y=8.294522, Z=-5.042959 m/s^2 Time of Week: 464665.549000, Week Number: 2370
Acceleration: X=2.000937, Y=8.288071, Z=-5.049168 m/s^2 Time of Week: 464665.550000, Week Number: 2370
Acceleration: X=1.999991, Y=8.283757, Z=-5.061530 m/s^2 Time of Week: 464665.551000, Week Number: 2370
Acceleration: X=2.007463, Y=8.282672, Z=-5.077691 m/s^2 Time of Week: 464665.552000, Week Number: 2370
Acceleration: X=2.016004, Y=8.268246, Z=-5.084294 m/s^2 Time of Week: 464665.553000, Week Number: 2370
Acceleration: X=2.018917, Y=8.260627, Z=-5.084973 m/s^2 Time of Week: 464665.554000, Week Number: 2370
Acceleration: X=2.025038, Y=8.260139, Z=-5.089263 m/s^2 Time of Week: 464665.555000, Week Number: 2370
Acceleration: X=2.031020, Y=8.254527, Z=-5.097997 m/s^2 Time of Week: 464665.556000, Week Number: 2370
Acceleration: X=2.040611, Y=8.244910, Z=-5.112338 m/s^2 Time of Week: 464665.557000, Week Number: 2370
Acceleration: X=2.041957, Y=8.237105, Z=-5.124880 m/s^2 Time of Week: 464665.558000, Week Number: 2370
Acceleration: X=2.043580, Y=8.229772, Z=-5.127909 m/s^2 Time of Week: 464665.559000, Week Number: 2370
Acceleration: X=2.052092, Y=8.220671, Z=-5.126348 m/s^2 Time of Week: 464665.560000, Week Number: 2370
Acceleration: X=2.061815, Y=8.213841, Z=-5.125965 m/s^2 Time of Week: 464665.561000, Week Number: 2370
Acceleration: X=2.061864, Y=8.211269, Z=-5.126330 m/s^2 Time of Week: 464665.562000, Week Number: 2370
Acceleration: X=2.061423, Y=8.212046, Z=-5.123708 m/s^2 Time of Week: 464665.563000, Week Number: 2370
Acceleration: X=2.061287, Y=8.219484, Z=-5.125388 m/s^2 Time of Week: 464665.564000, Week Number: 2370
Acceleration: X=2.058065, Y=8.225864, Z=-5.117640 m/s^2 Time of Week: 464665.565000, Week Number: 2370
Acceleration: X=2.053185, Y=8.231544, Z=-5.110332 m/s^2 Time of Week: 464665.566000, Week Number: 2370
Acceleration: X=2.048390, Y=8.242965, Z=-5.099051 m/s^2 Time of Week: 464665.567000, Week Number: 2370
Acceleration: X=2.041325, Y=8.262591, Z=-5.086881 m/s^2 Time of Week: 464665.568000, Week Number: 2370
Acceleration: X=2.039224, Y=8.280541, Z=-5.074439 m/s^2 Time of Week: 464665.569000, Week Number: 2370
Acceleration: X=2.031062, Y=8.294523, Z=-5.063714 m/s^2 Time of Week: 464665.570000, Week Number: 2370
Acceleration: X=2.025069, Y=8.306561, Z=-5.056586 m/s^2 Time of Week: 464665.571000, Week Number: 2370
Acceleration: X=2.026875, Y=8.323145, Z=-5.044000 m/s^2 Time of Week: 464665.572000, Week Number: 2370
Acceleration: X=2.021913, Y=8.333534, Z=-5.031449 m/s^2 Time of Week: 464665.573000, Week Number: 2370
Acceleration: X=2.012596, Y=8.342040, Z=-5.018433 m/s^2 Time of Week: 464665.574000, Week Number: 2370
Acceleration: X=2.008092, Y=8.346404, Z=-5.018925 m/s^2 Time of Week: 464665.575000, Week Number: 2370
Acceleration: X=2.001139, Y=8.339294, Z=-5.015383 m/s^2 Time of Week: 464665.576000, Week Number: 2370
Acceleration: X=1.987233, Y=8.330345, Z=-5.011316 m/s^2 Time of Week: 464665.577000, Week Number: 2370
Acceleration: X=1.969309, Y=8.316843, Z=-5.009854 m/s^2 Time of Week: 464665.578000, Week Number: 2370
Acceleration: X=1.944968, Y=8.298185, Z=-5.016275 m/s^2 Time of Week: 464665.579000, Week Number: 2370
Acceleration: X=1.925902, Y=8.285055, Z=-5.027790 m/s^2 Time of Week: 464665.580000, Week Number: 2370
Acceleration: X=1.914858, Y=8.270045, Z=-5.042828 m/s^2 Time of Week: 464665.581000, Week Number: 2370
Acceleration: X=1.909899, Y=8.260113, Z=-5.052352 m/s^2 Time of Week: 464665.582000, Week Number: 2370
Acceleration: X=1.906910, Y=8.256370, Z=-5.075527 m/s^2 Time of Week: 464665.583000, Week Number: 2370
Acceleration: X=1.914824, Y=8.254004, Z=-5.106096 m/s^2 Time of Week: 464665.584000, Week Number: 2370
Acceleration: X=1.923985, Y=8.250150, Z=-5.130744 m/s^2 Time of Week: 464665.585000, Week Number: 2370
Acceleration: X=1.936613, Y=8.245471, Z=-5.144392 m/s^2 Time of Week: 464665.586000, Week Number: 2370
Acceleration: X=1.941440, Y=8.233409, Z=-5.163080 m/s^2 Time of Week: 464665.587000, Week Number: 2370
Acceleration: X=1.942528, Y=8.218190, Z=-5.186646 m/s^2 Time of Week: 464665.588000, Week Number: 2370
Acceleration: X=1.946381, Y=8.206254, Z=-5.200053 m/s^2 Time of Week: 464665.589000, Week Number: 2370
Acceleration: X=1.942768, Y=8.201580, Z=-5.203301 m/s^2 Time of Week: 464665.590000, Week Number: 2370
Acceleration: X=1.928281, Y=8.196413, Z=-5.205004 m/s^2 Time of Week: 464665.591000, Week Number: 2370
Acceleration: X=1.918451, Y=8.195660, Z=-5.204498 m/s^2 Time of Week: 464665.592000, Week Number: 2370
Acceleration: X=1.906136, Y=8.195572, Z=-5.195725 m/s^2 Time of Week: 464665.593000, Week Number: 2370
