
#################################################################
Log started at 2025-06-12_16-20-09 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 368b, Got: 1063
Checksum failed. Expected: ff9f, Got: 7efa
Checksum failed. Expected: daf7, Got: ed92
Checksum failed. Expected: e285, Got: 5c29
Checksum failed. Expected: 2780, Got: cac1
Checksum failed. Expected: ccb8, Got: 3958
Checksum failed. Expected: 7639, Got: a7f0
Checksum failed. Expected: 9b71, Got: 1688
Checksum failed. Expected: a1e7, Got: 851f
Checksum failed. Expected: cfa9, Got: f3b7
Checksum failed. Expected: 367d, Got: 624e
Checksum failed. Expected: d326, Got: d0e6
Checksum failed. Expected: 4bf4, Got: 3f7d
Checksum failed. Expected: ca0f, Got: ae15
Checksum failed. Expected: 296b, Got: 1cac
Checksum failed. Expected: 681a, Got: 8b44
Checksum failed. Expected: b7a3, Got: f9db
Checksum failed. Expected: 2f78, Got: 6873
Checksum failed. Expected: 952e, Got: d70b
Checksum failed. Expected: 2964, Got: 45a2
Checksum failed. Expected: 126b, Got: b43a
Checksum failed. Expected: 1397, Got: 22d1
Checksum failed. Expected: 764a, Got: 9169
Checksum failed. Expected: 1f8f, Got: 0000
Checksum failed. Expected: ad66, Got: 6e98
Checksum failed. Expected: 9129, Got: dd2f
Checksum failed. Expected: d3f6, Got: 4bc7
Checksum failed. Expected: 423e, Got: ba5f
Checksum failed. Expected: 5aac, Got: 28f6
Checksum failed. Expected: f029, Got: 978e
Checksum failed. Expected: e49f, Got: 0625
Checksum failed. Expected: abb6, Got: 74bd
Checksum failed. Expected: da87, Got: e354
Checksum failed. Expected: bc20, Got: 51ec
Checksum failed. Expected: ad78, Got: c083
Checksum failed. Expected: 727b, Got: 2f1b
Checksum failed. Expected: da41, Got: 9db3
Checksum failed. Expected: f6fb, Got: 0c4a
Checksum failed. Expected: 04d2, Got: 7ae2
Checksum failed. Expected: ba11, Got: e979
Checksum failed. Expected: 044e, Got: 5811
Checksum failed. Expected: 2214, Got: c6a8
Checksum failed. Expected: b671, Got: 3540
Checksum failed. Expected: 4dd5, Got: a3d7
Checksum failed. Expected: bf56, Got: 126f
Checksum failed. Expected: 0330, Got: 8106
Checksum failed. Expected: 9dda, Got: ef9e
Checksum failed. Expected: e3ec, Got: 5e36
Checksum failed. Expected: 7828, Got: cccd
Checksum failed. Expected: 754f, Got: 3b65
Checksum failed. Expected: 897d, Got: a9fc
Checksum failed. Expected: 4c6c, Got: 1894
Checksum failed. Expected: a54a, Got: 872b
Checksum failed. Expected: 70ae, Got: f5c3
Checksum failed. Expected: 5020, Got: 645a
Checksum failed. Expected: 0dab, Got: d2f2
Checksum failed. Expected: a857, Got: 418a
Checksum failed. Expected: a009, Got: b021
Checksum failed. Expected: 9168, Got: 1eb9
