
#################################################################
Log started at 2025-06-12_16-19-23 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 29e3, Got: 3127
Checksum failed. Expected: cad0, Got: 9fbf
Checksum failed. Expected: 44ae, Got: 0e56
Checksum failed. Expected: 2b85, Got: 7cee
Checksum failed. Expected: 5df2, Got: 147b
Checksum failed. Expected: 4989, Got: 8313
Checksum failed. Expected: 00c2, Got: f1aa
Checksum failed. Expected: 68b7, Got: 6042
Checksum failed. Expected: c5ef, Got: ced9
Checksum failed. Expected: 8aee, Got: 3d71
Checksum failed. Expected: 97b0, Got: ac09
Checksum failed. Expected: 4cb4, Got: 1aa0
Checksum failed. Expected: 4055, Got: 8938
Checksum failed. Expected: 821c, Got: f7cf
Checksum failed. Expected: 8489, Got: 6667
Checksum failed. Expected: d3f1, Got: d4fe
Checksum failed. Expected: d888, Got: 4396
Checksum failed. Expected: f85e, Got: b22d
Checksum failed. Expected: e9c9, Got: 20c5
Checksum failed. Expected: 5095, Got: 8f5d
Checksum failed. Expected: 4fbe, Got: fdf4
Checksum failed. Expected: 38c1, Got: 6c8c
Checksum failed. Expected: 2803, Got: db23
Checksum failed. Expected: 6681, Got: 49bb
Checksum failed. Expected: 45c7, Got: b852
Checksum failed. Expected: 7d14, Got: 26ea
Checksum failed. Expected: 8e2c, Got: 9581
Checksum failed. Expected: fd7b, Got: 0419
Checksum failed. Expected: 980b, Got: 72b0
Checksum failed. Expected: d187, Got: e148
Checksum failed. Expected: ea03, Got: 4fe0
Checksum failed. Expected: 29ab, Got: be77
Checksum failed. Expected: 6524, Got: 2d0f
Checksum failed. Expected: 38d0, Got: 9ba6
Checksum failed. Expected: fff7, Got: 0a3e
Checksum failed. Expected: 943f, Got: 78d5
Checksum failed. Expected: 3bb3, Got: e76d
Checksum failed. Expected: 4dcd, Got: 5604
Checksum failed. Expected: 783a, Got: c49c
Checksum failed. Expected: 6eec, Got: 3334
Checksum failed. Expected: 3c46, Got: a1cb
Checksum failed. Expected: 690d, Got: 1063
Checksum failed. Expected: e923, Got: 7efa
Checksum failed. Expected: 3171, Got: ed92
Checksum failed. Expected: 9a4d, Got: 5c29
Checksum failed. Expected: 20d6, Got: cac1
Checksum failed. Expected: 7068, Got: 3958
Checksum failed. Expected: 9c05, Got: a7f0
Checksum failed. Expected: e0ef, Got: 1688
Checksum failed. Expected: 219f, Got: 851f
Checksum failed. Expected: fcd7, Got: f3b7
Checksum failed. Expected: 7e25, Got: 624e
