
#################################################################
Log started at 2025-06-12_16-20-22 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: b738, Got: 76e8
Checksum failed. Expected: 738e, Got: f881
Checksum failed. Expected: 26ac, Got: 872d
Checksum failed. Expected: 12f2, Got: 068e
Checksum failed. Expected: 7f9b, Got: 1375
Checksum failed. Expected: 66b7, Got: 808e
Checksum failed. Expected: e7ce, Got: 03df
Checksum failed. Expected: a6a3, Got: 9b87
Checksum failed. Expected: f5ee, Got: 1c70
Checksum failed. Expected: 98e4, Got: 2964
Checksum failed. Expected: d9bf, Got: 24f7
Checksum failed. Expected: 64f3, Got: b0ea
Checksum failed. Expected: 2536, Got: b5e1
Checksum failed. Expected: 6b10, Got: b3e7
Checksum failed. Expected: 735e, Got: 3706
Checksum failed. Expected: 67da, Got: c4f0
Checksum failed. Expected: af1a, Got: 45a9
Checksum failed. Expected: 6980, Got: cf5a
Checksum failed. Expected: 5447, Got: 4a0c
Checksum failed. Expected: e1de, Got: 42e5
Checksum failed. Expected: 8ea0, Got: 4147
Checksum failed. Expected: c6b8, Got: 4698
Checksum failed. Expected: ad66, Got: b4f7
Checksum failed. Expected: e83e, Got: 3659
Checksum failed. Expected: 1ee0, Got: c822
Checksum failed. Expected: df66, Got: b9cd
Checksum failed. Expected: 432b, Got: 2e2d
Checksum failed. Expected: 6b30, Got: 9dab
Checksum failed. Expected: 7562, Got: 1b21
Checksum failed. Expected: c382, Got: 16ca
Checksum failed. Expected: 9896, Got: 1a2d
Checksum failed. Expected: 235e, Got: 9876
Checksum failed. Expected: 8893, Got: 158b
Checksum failed. Expected: 71b7, Got: 919c
Checksum failed. Expected: ced6, Got: 0c83
Checksum failed. Expected: 1d0b, Got: 0fa2
Checksum failed. Expected: 9bee, Got: 8ffe
Checksum failed. Expected: 6038, Got: 0d0d
Checksum failed. Expected: b364, Got: 027f
Checksum failed. Expected: 84a7, Got: 87c3
Checksum failed. Expected: 1912, Got: 1654
Checksum failed. Expected: 7568, Got: 19b0
Checksum failed. Expected: 4499, Got: 1c02
Checksum failed. Expected: c5f3, Got: 1227
Checksum failed. Expected: 7f81, Got: 8ca7
Checksum failed. Expected: 421b, Got: 029c
Checksum failed. Expected: bdf0, Got: 8c99
Checksum failed. Expected: af5d, Got: 1034
Checksum failed. Expected: f6a5, Got: 9d90
Checksum failed. Expected: 6f89, Got: a558
Checksum failed. Expected: 5100, Got: 1a96
Checksum failed. Expected: dc25, Got: 0d26
Checksum failed. Expected: 0f20, Got: a00e
Checksum failed. Expected: 6f86, Got: a00c
Checksum failed. Expected: ddac, Got: 8e86
Checksum failed. Expected: b871, Got: 09fe
Checksum failed. Expected: 17ab, Got: 08db
Checksum failed. Expected: 72c5, Got: 0924
Checksum failed. Expected: 2920, Got: 9156
Checksum failed. Expected: 7697, Got: 8ce1
Checksum failed. Expected: 2d5d, Got: 0787
Checksum failed. Expected: b238, Got: bf68
Checksum failed. Expected: a72c, Got: bd71
Checksum failed. Expected: 02a5, Got: 7e19
Checksum failed. Expected: e25c, Got: 3bb2
