
#################################################################
Log started at 2025-06-12_16-19-38 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: da6b, Got: 9e8f
Checksum failed. Expected: 3480, Got: a219
Checksum failed. Expected: 0afa, Got: fb64
Checksum failed. Expected: 4159, Got: 1591
Checksum failed. Expected: b747, Got: 3a40
Checksum failed. Expected: 5059, Got: e53a
Checksum failed. Expected: 256b, Got: 1cb3
Checksum failed. Expected: d847, Got: 07c6
Checksum failed. Expected: 1795, Got: 4b8e
Checksum failed. Expected: ffcb, Got: 6f83
Checksum failed. Expected: 22d6, Got: eec8
Checksum failed. Expected: 2ac9, Got: a46c
Checksum failed. Expected: a98b, Got: 5089
Checksum failed. Expected: 6468, Got: 8c43
Checksum failed. Expected: 643a, Got: 8466
Checksum failed. Expected: 9180, Got: e274
Checksum failed. Expected: 132c, Got: d958
Checksum failed. Expected: c552, Got: 56b3
Checksum failed. Expected: 2897, Got: f6e5
Checksum failed. Expected: 2366, Got: 6854
Checksum failed. Expected: 2cd8, Got: cb99
Checksum failed. Expected: 9fab, Got: c4e9
Checksum failed. Expected: d8e7, Got: a39f
Checksum failed. Expected: c51a, Got: c8a0
Checksum failed. Expected: c07c, Got: 492e
Checksum failed. Expected: ddbf, Got: a5dc
Checksum failed. Expected: baaa, Got: 393b
Checksum failed. Expected: 710d, Got: 239f
Checksum failed. Expected: a30a, Got: a4ac
Checksum failed. Expected: fdb2, Got: fc94
Checksum failed. Expected: 0def, Got: 0cb7
Checksum failed. Expected: c928, Got: b1ea
Checksum failed. Expected: 82e2, Got: ea32
Checksum failed. Expected: c286, Got: 22ed
Checksum failed. Expected: d33f, Got: f4c5
Checksum failed. Expected: a589, Got: f85c
Checksum failed. Expected: 3853, Got: e652
Checksum failed. Expected: 268f, Got: cda0
Checksum failed. Expected: 1a5d, Got: c7ea
Checksum failed. Expected: e777, Got: 53b2
Checksum failed. Expected: aa2b, Got: fea7
Checksum failed. Expected: 8b98, Got: 4202
Checksum failed. Expected: d5ce, Got: 8f9f
Checksum failed. Expected: f9b3, Got: d6aa
Checksum failed. Expected: 844e, Got: 3b2b
Checksum failed. Expected: fd98, Got: 2257
Checksum failed. Expected: d330, Got: 53ce
Checksum failed. Expected: bea1, Got: 540a
Checksum failed. Expected: f113, Got: 362c
Checksum failed. Expected: b421, Got: 5ca5
Checksum failed. Expected: 13a4, Got: 96ec
Checksum failed. Expected: 11f8, Got: b9fe
Checksum failed. Expected: 6ffe, Got: 2a5b
Checksum failed. Expected: 0e64, Got: 83cc
Checksum failed. Expected: ebc9, Got: f480
Checksum failed. Expected: d16f, Got: b1b8
Checksum failed. Expected: 8745, Got: 6892
Checksum failed. Expected: 34aa, Got: 3b78
Checksum failed. Expected: c859, Got: 3184
Checksum failed. Expected: 8398, Got: 377d
Checksum failed. Expected: d54f, Got: 496f
Checksum failed. Expected: c20d, Got: 11ac
Checksum failed. Expected: c089, Got: 64eb
Checksum failed. Expected: ef6f, Got: f926
Checksum failed. Expected: cc93, Got: 84e4
Checksum failed. Expected: 9796, Got: 7bd0
Checksum failed. Expected: 70ff, Got: 35d4
Checksum failed. Expected: 01d4, Got: afb0
Checksum failed. Expected: b37d, Got: 4caa
Checksum failed. Expected: 757a, Got: b3a2
Checksum failed. Expected: 90ea, Got: 719e
Checksum failed. Expected: 25f2, Got: eb96
Checksum failed. Expected: b563, Got: deae
Checksum failed. Expected: 8314, Got: e9ca
Checksum failed. Expected: b0ba, Got: a595
Checksum failed. Expected: 314a, Got: b9f3
Checksum failed. Expected: 1a04, Got: 7bd6
Checksum failed. Expected: 8da1, Got: 4534
Checksum failed. Expected: 7547, Got: 0208
Checksum failed. Expected: b949, Got: 31a8
Checksum failed. Expected: 3092, Got: 5b4c
Checksum failed. Expected: d786, Got: da80
Checksum failed. Expected: 0d31, Got: 5e04
Checksum failed. Expected: c723, Got: 5a80
Checksum failed. Expected: 2f41, Got: 07c6
Checksum failed. Expected: 91ba, Got: eb66
Checksum failed. Expected: a6aa, Got: a4e7
Checksum failed. Expected: b4b8, Got: 6786
Checksum failed. Expected: 1124, Got: 2920
Checksum failed. Expected: 8667, Got: aeb7
Checksum failed. Expected: b28c, Got: 7947
Checksum failed. Expected: 8e56, Got: 7c27
Checksum failed. Expected: 8453, Got: 38f6
Checksum failed. Expected: 2443, Got: 260d
Checksum failed. Expected: 5762, Got: 0971
Checksum failed. Expected: 9624, Got: 2e6d
Checksum failed. Expected: 2326, Got: 4f26
Checksum failed. Expected: 32b2, Got: a432
Checksum failed. Expected: cd62, Got: 3470
Checksum failed. Expected: c0c7, Got: b037
Checksum failed. Expected: db3a, Got: c77a
Checksum failed. Expected: 5c6d, Got: a5fe
Checksum failed. Expected: 1bc5, Got: 1f02
Checksum failed. Expected: 2c4c, Got: 7282
Checksum failed. Expected: ba57, Got: 7725
Checksum failed. Expected: 0393, Got: fc47
Checksum failed. Expected: 9691, Got: 224d
Checksum failed. Expected: a958, Got: 6d5e
Checksum failed. Expected: 5874, Got: 5ff5
Checksum failed. Expected: 553c, Got: 45f5
Checksum failed. Expected: 1262, Got: 3b85
Checksum failed. Expected: 3a1a, Got: 575d
Checksum failed. Expected: fefa, Got: 3f2f
Checksum failed. Expected: ad8b, Got: 1565
Checksum failed. Expected: 91c7, Got: a2b1
Checksum failed. Expected: c941, Got: f008
Checksum failed. Expected: 9e78, Got: af7e
Checksum failed. Expected: 5daa, Got: 3aaa
Checksum failed. Expected: 3c7b, Got: 8500
Checksum failed. Expected: df56, Got: 161b
Checksum failed. Expected: 7559, Got: 47b9
Checksum failed. Expected: 7aa5, Got: fc6a
Checksum failed. Expected: df67, Got: 290b
Checksum failed. Expected: 8559, Got: a35a
Checksum failed. Expected: 631b, Got: 48fc
Checksum failed. Expected: f03d, Got: 2e17
Checksum failed. Expected: 1c55, Got: 7d23
Checksum failed. Expected: 6c41, Got: 6b6c
Checksum failed. Expected: 217d, Got: d8e4
Checksum failed. Expected: 1016, Got: 2779
Checksum failed. Expected: b141, Got: 14d4
Checksum failed. Expected: 1eb3, Got: 4218
Checksum failed. Expected: ba71, Got: 4e38
Checksum failed. Expected: 43d4, Got: 6faa
Checksum failed. Expected: 5664, Got: bae6
Checksum failed. Expected: 09e6, Got: df49
Checksum failed. Expected: eda2, Got: 30d9
Checksum failed. Expected: 7ba3, Got: 8b0a
Checksum failed. Expected: c4fd, Got: bf9a
Checksum failed. Expected: 0fd7, Got: fe58
Checksum failed. Expected: 59fd, Got: 3531
Checksum failed. Expected: 61aa, Got: 3ed2
Checksum failed. Expected: 6e93, Got: 4098
Checksum failed. Expected: 2d85, Got: 6ccc
Checksum failed. Expected: f68d, Got: 26d8
Checksum failed. Expected: d667, Got: 6a23
Checksum failed. Expected: 5ed6, Got: 4b6e
Checksum failed. Expected: c988, Got: 5312
Checksum failed. Expected: ec54, Got: 6c20
Checksum failed. Expected: 85e4, Got: 0530
Checksum failed. Expected: 9f25, Got: 1982
Checksum failed. Expected: 2d9c, Got: 193a
Checksum failed. Expected: 9aae, Got: 9a03
Checksum failed. Expected: a057, Got: 514c
Checksum failed. Expected: 2761, Got: ffaa
Checksum failed. Expected: 0c4e, Got: b16e
Checksum failed. Expected: 8287, Got: de57
Checksum failed. Expected: ddc2, Got: 7974
Checksum failed. Expected: 6f82, Got: 8674
Checksum failed. Expected: 70a2, Got: 078f
Checksum failed. Expected: 1e8d, Got: 0a78
Checksum failed. Expected: ce59, Got: 9c57
Checksum failed. Expected: a27d, Got: eab1
Checksum failed. Expected: b4a8, Got: 698b
Checksum failed. Expected: 6384, Got: 9c7b
Checksum failed. Expected: d6d0, Got: cf01
Checksum failed. Expected: 53ee, Got: cb20
Checksum failed. Expected: 43a1, Got: c58c
Checksum failed. Expected: fcdc, Got: f06d
Checksum failed. Expected: bc02, Got: 1833
Checksum failed. Expected: e4ad, Got: bd2c
Checksum failed. Expected: 4976, Got: 9ca7
Checksum failed. Expected: b0e1, Got: c175
Checksum failed. Expected: ad07, Got: 6a9f
Checksum failed. Expected: db1d, Got: 6769
Checksum failed. Expected: a914, Got: d2a9
Checksum failed. Expected: 11de, Got: 6bdc
Checksum failed. Expected: 0b64, Got: b3b4
Checksum failed. Expected: 4431, Got: 7684
Checksum failed. Expected: d3a5, Got: cf16
Checksum failed. Expected: c395, Got: b3a1
Checksum failed. Expected: c8c5, Got: 2677
Checksum failed. Expected: 90b5, Got: b9e2
Checksum failed. Expected: dfb4, Got: 23b4
Checksum failed. Expected: a695, Got: 98ae
Checksum failed. Expected: 1eb5, Got: 8050
Checksum failed. Expected: e095, Got: 813e
Checksum failed. Expected: 841b, Got: 8c00
Checksum failed. Expected: ecb4, Got: 8cc1
Checksum failed. Expected: fc7e, Got: 1901
Checksum failed. Expected: ca80, Got: 0f46
Checksum failed. Expected: c678, Got: 9394
Checksum failed. Expected: 30de, Got: 6dc7
Checksum failed. Expected: b2c9, Got: e9c4
Checksum failed. Expected: 0394, Got: 78aa
Checksum failed. Expected: cf4c, Got: 8464
Checksum failed. Expected: 454f, Got: d62b
Checksum failed. Expected: 618a, Got: 2652
Checksum failed. Expected: d793, Got: 8009
Checksum failed. Expected: 4304, Got: 82b9
Checksum failed. Expected: 461f, Got: 1365
Checksum failed. Expected: 1a8c, Got: ac56
Checksum failed. Expected: ffa7, Got: ba74
Checksum failed. Expected: e67f, Got: 165a
Checksum failed. Expected: 737e, Got: 1642
Checksum failed. Expected: 035d, Got: 1608
Checksum failed. Expected: db42, Got: 5925
Checksum failed. Expected: de92, Got: dbb0
Checksum failed. Expected: ca1b, Got: 126a
Checksum failed. Expected: 39fc, Got: 0146
Checksum failed. Expected: 96d7, Got: 4413
Checksum failed. Expected: c9f9, Got: 426e
Checksum failed. Expected: 6603, Got: 037e
Checksum failed. Expected: b447, Got: 3e18
Checksum failed. Expected: 1900, Got: 6fff
Checksum failed. Expected: eed9, Got: 6ccb
Checksum failed. Expected: b425, Got: 99aa
Checksum failed. Expected: 9257, Got: d6c6
Checksum failed. Expected: 2629, Got: 5dfe
Checksum failed. Expected: 06ad, Got: d7e7
Checksum failed. Expected: 13e5, Got: 158e
Checksum failed. Expected: 3061, Got: 97d5
Checksum failed. Expected: a5cb, Got: ddfe
Checksum failed. Expected: 8d0e, Got: da7b
Checksum failed. Expected: 6af1, Got: 6356
