
#################################################################
Log started at 2025-06-16_09-34-07.205662 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=0.236309, Y=-0.310089, Z=9.792009 m/s^2 Time of Week: 18.368000, Week Number: 0
Acceleration: X=0.231036, Y=-0.315180, Z=9.791728 m/s^2 Time of Week: 18.372000, Week Number: 0
Acceleration: X=0.221051, Y=-0.318497, Z=9.787913 m/s^2 Time of Week: 18.376000, Week Number: 0
Acceleration: X=0.225541, Y=-0.313379, Z=9.801223 m/s^2 Time of Week: 18.380000, Week Number: 0
Acceleration: X=0.224260, Y=-0.308658, Z=9.807627 m/s^2 Time of Week: 18.384000, Week Number: 0
Acceleration: X=0.227564, Y=-0.302641, Z=9.802759 m/s^2 Time of Week: 18.388000, Week Number: 0
Acceleration: X=0.221801, Y=-0.305292, Z=9.798273 m/s^2 Time of Week: 18.392000, Week Number: 0
Acceleration: X=0.218664, Y=-0.301789, Z=9.801193 m/s^2 Time of Week: 18.396000, Week Number: 0
Acceleration: X=0.222310, Y=-0.297893, Z=9.791061 m/s^2 Time of Week: 18.400000, Week Number: 0
Acceleration: X=0.219350, Y=-0.306791, Z=9.789034 m/s^2 Time of Week: 18.404000, Week Number: 0
Acceleration: X=0.222159, Y=-0.305269, Z=9.781056 m/s^2 Time of Week: 18.408000, Week Number: 0
Acceleration: X=0.229280, Y=-0.313587, Z=9.790168 m/s^2 Time of Week: 18.412000, Week Number: 0
Acceleration: X=0.227926, Y=-0.306134, Z=9.792980 m/s^2 Time of Week: 18.416000, Week Number: 0
Acceleration: X=0.225037, Y=-0.300956, Z=9.805063 m/s^2 Time of Week: 18.420000, Week Number: 0
Acceleration: X=0.227774, Y=-0.307891, Z=9.805834 m/s^2 Time of Week: 18.424000, Week Number: 0
Acceleration: X=0.232631, Y=-0.305728, Z=9.819234 m/s^2 Time of Week: 18.428000, Week Number: 0
Acceleration: X=0.234376, Y=-0.309803, Z=9.822079 m/s^2 Time of Week: 18.432000, Week Number: 0
Acceleration: X=0.237382, Y=-0.304941, Z=9.806430 m/s^2 Time of Week: 18.436000, Week Number: 0
Acceleration: X=0.230984, Y=-0.300577, Z=9.795104 m/s^2 Time of Week: 18.440000, Week Number: 0
Acceleration: X=0.227929, Y=-0.307248, Z=9.791719 m/s^2 Time of Week: 18.444000, Week Number: 0
Acceleration: X=0.229395, Y=-0.312638, Z=9.785573 m/s^2 Time of Week: 18.448000, Week Number: 0
Acceleration: X=0.221822, Y=-0.305525, Z=9.787707 m/s^2 Time of Week: 18.452000, Week Number: 0
Acceleration: X=0.227810, Y=-0.306573, Z=9.787137 m/s^2 Time of Week: 18.456000, Week Number: 0
Acceleration: X=0.224742, Y=-0.299628, Z=9.798671 m/s^2 Time of Week: 18.460000, Week Number: 0
Acceleration: X=0.225319, Y=-0.306554, Z=9.812747 m/s^2 Time of Week: 18.464000, Week Number: 0
Acceleration: X=0.225872, Y=-0.300864, Z=9.808612 m/s^2 Time of Week: 18.468000, Week Number: 0
Acceleration: X=0.226394, Y=-0.291034, Z=9.801327 m/s^2 Time of Week: 18.472000, Week Number: 0
Acceleration: X=0.218425, Y=-0.301039, Z=9.798894 m/s^2 Time of Week: 18.476000, Week Number: 0
Acceleration: X=0.223924, Y=-0.307156, Z=9.799114 m/s^2 Time of Week: 18.480000, Week Number: 0
Acceleration: X=0.224747, Y=-0.312092, Z=9.787721 m/s^2 Time of Week: 18.484000, Week Number: 0
Acceleration: X=0.222965, Y=-0.305273, Z=9.784667 m/s^2 Time of Week: 18.488000, Week Number: 0
Acceleration: X=0.228858, Y=-0.308719, Z=9.781540 m/s^2 Time of Week: 18.492000, Week Number: 0
Acceleration: X=0.226764, Y=-0.312435, Z=9.788920 m/s^2 Time of Week: 18.496000, Week Number: 0
Acceleration: X=0.234065, Y=-0.306440, Z=9.791438 m/s^2 Time of Week: 18.500000, Week Number: 0
Acceleration: X=0.234879, Y=-0.309792, Z=9.795605 m/s^2 Time of Week: 18.504000, Week Number: 0
Acceleration: X=0.236270, Y=-0.309238, Z=9.802356 m/s^2 Time of Week: 18.508000, Week Number: 0
Acceleration: X=0.231100, Y=-0.304462, Z=9.804633 m/s^2 Time of Week: 18.512000, Week Number: 0
Acceleration: X=0.230150, Y=-0.307713, Z=9.807538 m/s^2 Time of Week: 18.516000, Week Number: 0
Acceleration: X=0.232248, Y=-0.303472, Z=9.791174 m/s^2 Time of Week: 18.520000, Week Number: 0
Acceleration: X=0.224881, Y=-0.306278, Z=9.793608 m/s^2 Time of Week: 18.524000, Week Number: 0
Acceleration: X=0.226610, Y=-0.306722, Z=9.792742 m/s^2 Time of Week: 18.528000, Week Number: 0
Acceleration: X=0.224324, Y=-0.301750, Z=9.792876 m/s^2 Time of Week: 18.532000, Week Number: 0
Acceleration: X=0.226010, Y=-0.303102, Z=9.797145 m/s^2 Time of Week: 18.536000, Week Number: 0
Acceleration: X=0.223611, Y=-0.301314, Z=9.801703 m/s^2 Time of Week: 18.540000, Week Number: 0
Acceleration: X=0.226368, Y=-0.308842, Z=9.806565 m/s^2 Time of Week: 18.544000, Week Number: 0
Acceleration: X=0.228251, Y=-0.306270, Z=9.805418 m/s^2 Time of Week: 18.548000, Week Number: 0
Acceleration: X=0.232175, Y=-0.305135, Z=9.806395 m/s^2 Time of Week: 18.552000, Week Number: 0
Acceleration: X=0.236701, Y=-0.302451, Z=9.803529 m/s^2 Time of Week: 18.556000, Week Number: 0
Acceleration: X=0.237831, Y=-0.302473, Z=9.796554 m/s^2 Time of Week: 18.560000, Week Number: 0
Acceleration: X=0.234771, Y=-0.304962, Z=9.796455 m/s^2 Time of Week: 18.564000, Week Number: 0
Acceleration: X=0.232832, Y=-0.304788, Z=9.795850 m/s^2 Time of Week: 18.568000, Week Number: 0
Acceleration: X=0.235157, Y=-0.307397, Z=9.785448 m/s^2 Time of Week: 18.572000, Week Number: 0
Acceleration: X=0.231325, Y=-0.311110, Z=9.792019 m/s^2 Time of Week: 18.576000, Week Number: 0
Acceleration: X=0.228921, Y=-0.306327, Z=9.798292 m/s^2 Time of Week: 18.580000, Week Number: 0
Acceleration: X=0.225618, Y=-0.303969, Z=9.805808 m/s^2 Time of Week: 18.584000, Week Number: 0
Acceleration: X=0.220565, Y=-0.303947, Z=9.799002 m/s^2 Time of Week: 18.588000, Week Number: 0
Acceleration: X=0.223363, Y=-0.296762, Z=9.797098 m/s^2 Time of Week: 18.592000, Week Number: 0
Acceleration: X=0.223765, Y=-0.299467, Z=9.795123 m/s^2 Time of Week: 18.596000, Week Number: 0
Acceleration: X=0.219096, Y=-0.301952, Z=9.794540 m/s^2 Time of Week: 18.600000, Week Number: 0
Acceleration: X=0.220644, Y=-0.302523, Z=9.790528 m/s^2 Time of Week: 18.604000, Week Number: 0
Acceleration: X=0.227779, Y=-0.304733, Z=9.786939 m/s^2 Time of Week: 18.608000, Week Number: 0
Acceleration: X=0.223478, Y=-0.298812, Z=9.792512 m/s^2 Time of Week: 18.612000, Week Number: 0
Acceleration: X=0.227811, Y=-0.314184, Z=9.796179 m/s^2 Time of Week: 18.616000, Week Number: 0
Acceleration: X=0.225712, Y=-0.305706, Z=9.794725 m/s^2 Time of Week: 18.620000, Week Number: 0
