
#################################################################
Log started at 2025-06-13_16-11-46 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=-0.096515, Y=-0.629869, Z=9.794399 m/s^2 Time of Week: 461526.335000, Week Number: 2370, Difference: 461478.07895600004 ms
Acceleration: X=-0.093538, Y=-0.629264, Z=9.796202 m/s^2 Time of Week: 461526.336000, Week Number: 2370, Difference: 461478.078941 ms
Acceleration: X=-0.098306, Y=-0.626835, Z=9.788420 m/s^2 Time of Week: 461526.337000, Week Number: 2370, Difference: 461478.0789540001 ms
Acceleration: X=-0.101284, Y=-0.628631, Z=9.789040 m/s^2 Time of Week: 461526.338000, Week Number: 2370, Difference: 461478.078931 ms
Acceleration: X=-0.103074, Y=-0.623208, Z=9.787806 m/s^2 Time of Week: 461526.339000, Week Number: 2370, Difference: 461478.07893500006 ms
Acceleration: X=-0.103664, Y=-0.616016, Z=9.785402 m/s^2 Time of Week: 461526.340000, Week Number: 2370, Difference: 461478.07894800004 ms
Acceleration: X=-0.098319, Y=-0.620842, Z=9.789601 m/s^2 Time of Week: 461526.341000, Week Number: 2370, Difference: 461478.07895500003 ms
Acceleration: X=-0.098951, Y=-0.626832, Z=9.794975 m/s^2 Time of Week: 461526.342000, Week Number: 2370, Difference: 461478.078944 ms
Acceleration: X=-0.100721, Y=-0.632247, Z=9.793198 m/s^2 Time of Week: 461526.343000, Week Number: 2370, Difference: 461478.07895600004 ms
Acceleration: X=-0.099484, Y=-0.628647, Z=9.786634 m/s^2 Time of Week: 461526.344000, Week Number: 2370, Difference: 461478.07893200003 ms
Acceleration: X=-0.094649, Y=-0.621471, Z=9.784235 m/s^2 Time of Week: 461526.345000, Week Number: 2370, Difference: 461478.078951 ms
Acceleration: X=-0.101220, Y=-0.619033, Z=9.784828 m/s^2 Time of Week: 461526.346000, Week Number: 2370, Difference: 461478.078935 ms
Acceleration: X=-0.100074, Y=-0.626291, Z=9.783046 m/s^2 Time of Week: 461526.347000, Week Number: 2370, Difference: 461478.078931 ms
Acceleration: X=-0.099538, Y=-0.632894, Z=9.784833 m/s^2 Time of Week: 461526.348000, Week Number: 2370, Difference: 461478.0787160001 ms
Acceleration: X=-0.097122, Y=-0.632876, Z=9.786617 m/s^2 Time of Week: 461526.349000, Week Number: 2370, Difference: 461478.07891100005 ms
Acceleration: X=-0.096538, Y=-0.636492, Z=9.775863 m/s^2 Time of Week: 461526.350000, Week Number: 2370, Difference: 461478.07892400003 ms
Acceleration: X=-0.108491, Y=-0.641847, Z=9.774092 m/s^2 Time of Week: 461526.351000, Week Number: 2370, Difference: 461478.078946 ms
Acceleration: X=-0.108447, Y=-0.641201, Z=9.777685 m/s^2 Time of Week: 461526.352000, Week Number: 2370, Difference: 461478.07894800004 ms
Acceleration: X=-0.106683, Y=-0.640564, Z=9.774666 m/s^2 Time of Week: 461526.353000, Week Number: 2370, Difference: 461478.078953 ms
Acceleration: X=-0.100695, Y=-0.632187, Z=9.771647 m/s^2 Time of Week: 461526.354000, Week Number: 2370, Difference: 461478.07884400006 ms
Acceleration: X=-0.103061, Y=-0.627966, Z=9.774033 m/s^2 Time of Week: 461526.355000, Week Number: 2370, Difference: 461478.07893300004 ms
Acceleration: X=-0.104870, Y=-0.631635, Z=9.774653 m/s^2 Time of Week: 461526.356000, Week Number: 2370, Difference: 461478.07894100004 ms
Acceleration: X=-0.097718, Y=-0.637106, Z=9.774680 m/s^2 Time of Week: 461526.357000, Week Number: 2370, Difference: 461478.07894700003 ms
Acceleration: X=-0.101881, Y=-0.636426, Z=9.772289 m/s^2 Time of Week: 461526.358000, Week Number: 2370, Difference: 461478.078944 ms
Acceleration: X=-0.107832, Y=-0.633991, Z=9.774072 m/s^2 Time of Week: 461526.359000, Week Number: 2370, Difference: 461478.07894900005 ms
Acceleration: X=-0.106593, Y=-0.631015, Z=9.778879 m/s^2 Time of Week: 461526.365000, Week Number: 2370, Difference: 461478.07887400006 ms
Acceleration: X=-0.108439, Y=-0.628028, Z=9.780666 m/s^2 Time of Week: 461526.366000, Week Number: 2370, Difference: 461478.07892500004 ms
Acceleration: X=-0.103703, Y=-0.631052, Z=9.777061 m/s^2 Time of Week: 461526.367000, Week Number: 2370, Difference: 461478.07894200005 ms
Acceleration: X=-0.098313, Y=-0.635289, Z=9.780069 m/s^2 Time of Week: 461526.368000, Week Number: 2370, Difference: 461478.078946 ms
Acceleration: X=-0.100717, Y=-0.635285, Z=9.778871 m/s^2 Time of Week: 461526.369000, Week Number: 2370, Difference: 461478.07894700003 ms
Acceleration: X=-0.104232, Y=-0.626252, Z=9.777666 m/s^2 Time of Week: 461526.370000, Week Number: 2370, Difference: 461478.0789450001 ms
Acceleration: X=-0.106606, Y=-0.624388, Z=9.779469 m/s^2 Time of Week: 461526.371000, Week Number: 2370, Difference: 461478.078945 ms
Acceleration: X=-0.098828, Y=-0.622604, Z=9.780653 m/s^2 Time of Week: 461526.372000, Week Number: 2370, Difference: 461478.078954 ms
Acceleration: X=-0.101268, Y=-0.625596, Z=9.786622 m/s^2 Time of Week: 461526.373000, Week Number: 2370, Difference: 461478.07894900005 ms
Acceleration: X=-0.094701, Y=-0.626863, Z=9.787796 m/s^2 Time of Week: 461526.374000, Week Number: 2370, Difference: 461478.07895500003 ms
Acceleration: X=-0.093429, Y=-0.620876, Z=9.781819 m/s^2 Time of Week: 461526.375000, Week Number: 2370, Difference: 461478.078931 ms
Acceleration: X=-0.100006, Y=-0.621466, Z=9.778252 m/s^2 Time of Week: 461526.376000, Week Number: 2370, Difference: 461478.07894200005 ms
