
#################################################################
Log started at 2025-06-12_16-20-19 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=0.291036, Y=0.150649, Z=9.769109 m/s^2 Time of Week: 2596.625000, Week Number: 0
Acceleration: X=0.299393, Y=0.147020, Z=9.774486 m/s^2 Time of Week: 2596.626000, Week Number: 0
Acceleration: X=0.299947, Y=0.136170, Z=9.772697 m/s^2 Time of Week: 2596.627000, Week Number: 0
Acceleration: X=0.299382, Y=0.140373, Z=9.782849 m/s^2 Time of Week: 2596.628000, Week Number: 0
Acceleration: X=0.298821, Y=0.140442, Z=9.787674 m/s^2 Time of Week: 2596.629000, Week Number: 0
Acceleration: X=0.296374, Y=0.135678, Z=9.785314 m/s^2 Time of Week: 2596.630000, Week Number: 0
Acceleration: X=0.292763, Y=0.130898, Z=9.790126 m/s^2 Time of Week: 2596.631000, Week Number: 0
Acceleration: X=0.288624, Y=0.127923, Z=9.800932 m/s^2 Time of Week: 2596.632000, Week Number: 0
Acceleration: X=0.288017, Y=0.125522, Z=9.802724 m/s^2 Time of Week: 2596.633000, Week Number: 0
Acceleration: X=0.301187, Y=0.124816, Z=9.801523 m/s^2 Time of Week: 2596.634000, Week Number: 0
Acceleration: X=0.301190, Y=0.123008, Z=9.802123 m/s^2 Time of Week: 2596.635000, Week Number: 0
Acceleration: X=0.301193, Y=0.121239, Z=9.811115 m/s^2 Time of Week: 2596.636000, Week Number: 0
Acceleration: X=0.305377, Y=0.120014, Z=9.815895 m/s^2 Time of Week: 2596.637000, Week Number: 0
Acceleration: X=0.308991, Y=0.120037, Z=9.826685 m/s^2 Time of Week: 2596.638000, Week Number: 0
Acceleration: X=0.305983, Y=0.114061, Z=9.824903 m/s^2 Time of Week: 2596.639000, Week Number: 0
