
#################################################################
Log started at 2025-06-13_14-54-01 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 6325, Got: 6275
Checksum failed. Expected: c1a1, Got: 8075
Checksum failed. Expected: 0769, Got: 0275
Checksum failed. Expected: 8707, Got: 2075
Checksum failed. Expected: fbd7, Got: 7c75
Checksum failed. Expected: e3c1, Got: 7e75
Checksum failed. Expected: bdbc, Got: 9f75
Checksum failed. Expected: 21e9, Got: 6875
Checksum failed. Expected: 8bf0, Got: 0575
Checksum failed. Expected: e755, Got: 0e75
Checksum failed. Expected: 83e5, Got: 0275
Checksum failed. Expected: f360, Got: 0d75
Checksum failed. Expected: 65a6, Got: e175
Checksum failed. Expected: bfb7, Got: 9875
Checksum failed. Expected: 3f61, Got: c275
Checksum failed. Expected: 0b2d, Got: c275
Checksum failed. Expected: 2f2a, Got: 9b75
Checksum failed. Expected: e793, Got: 4c75
Checksum failed. Expected: bf48, Got: 2975
Checksum failed. Expected: 43e3, Got: 4075
Checksum failed. Expected: 8d77, Got: 8a75
Checksum failed. Expected: afdb, Got: cc75
Checksum failed. Expected: 8925, Got: 3c75
Checksum failed. Expected: 87a4, Got: bd75
Checksum failed. Expected: 03db, Got: 7875
Checksum failed. Expected: ad66, Got: 5975
Checksum failed. Expected: b579, Got: 6475
Checksum failed. Expected: 37fa, Got: 6375
Checksum failed. Expected: 1b7d, Got: 0275
Checksum failed. Expected: e376, Got: 3375
Checksum failed. Expected: 6386, Got: c375
