
#################################################################
Log started at 2025-06-12_16-19-14 
#################################################################
IMU initialized succesfully
Checksum failed. Expected: 5fd5, Got: 8302
Checksum failed. Expected: 3bfc, Got: 8b90
Checksum failed. Expected: 3915, Got: 9444
Checksum failed. Expected: 3763, Got: 937b
Checksum failed. Expected: 4633, Got: 11cf
Checksum failed. Expected: f3dd, Got: 9422
Checksum failed. Expected: e358, Got: 197a
Checksum failed. Expected: 4233, Got: a0bf
Checksum failed. Expected: 46f8, Got: a143
Checksum failed. Expected: 3ec2, Got: 2157
Checksum failed. Expected: c07e, Got: 9964
Checksum failed. Expected: 6abc, Got: 2360
Checksum failed. Expected: f866, Got: 9f28
Checksum failed. Expected: 6620, Got: 19c0
Checksum failed. Expected: 2a82, Got: a184
Checksum failed. Expected: 7af0, Got: a023
Checksum failed. Expected: 82f0, Got: 97e9
Checksum failed. Expected: 2a96, Got: 1542
Checksum failed. Expected: 7b21, Got: 966b
Checksum failed. Expected: a5c0, Got: 998a
Checksum failed. Expected: 22f0, Got: 9a74
Checksum failed. Expected: e0db, Got: 169d
Checksum failed. Expected: 75db, Got: 0f27
Checksum failed. Expected: 5def, Got: 4756
Checksum failed. Expected: 681c, Got: 8901
Checksum failed. Expected: 680c, Got: 13c7
Checksum failed. Expected: b52e, Got: 0881
Checksum failed. Expected: 5cab, Got: c318
Checksum failed. Expected: b3c8, Got: 00db
Checksum failed. Expected: ac5b, Got: 83f1
Checksum failed. Expected: dfca, Got: 8dee
Checksum failed. Expected: f87e, Got: c790
Checksum failed. Expected: 6492, Got: 05e1
Checksum failed. Expected: 70a2, Got: 463a
Checksum failed. Expected: 887c, Got: 4643
Checksum failed. Expected: da1c, Got: 495c
Checksum failed. Expected: c7ab, Got: 8714
Checksum failed. Expected: 379b, Got: 8a25
Checksum failed. Expected: 55d5, Got: cdf3
Checksum failed. Expected: 1cad, Got: 096d
Checksum failed. Expected: d4c5, Got: 492f
Checksum failed. Expected: 1a52, Got: 0acb
Checksum failed. Expected: c817, Got: 4f3f
Checksum failed. Expected: e65f, Got: 0f56
Checksum failed. Expected: f492, Got: 07bb
Checksum failed. Expected: 0ae5, Got: 0165
Checksum failed. Expected: f53f, Got: 0213
Checksum failed. Expected: 30aa, Got: 0a08
Checksum failed. Expected: a963, Got: 4a9b
Checksum failed. Expected: 15a7, Got: 9374
Checksum failed. Expected: d881, Got: 481f
Checksum failed. Expected: cc52, Got: 48a4
Checksum failed. Expected: f823, Got: cd4c
Checksum failed. Expected: a211, Got: c945
Checksum failed. Expected: 579b, Got: 0701
Checksum failed. Expected: bc5a, Got: c94a
Checksum failed. Expected: b4f1, Got: ca94
Checksum failed. Expected: 7fef, Got: 9292
Checksum failed. Expected: e5c7, Got: 8944
Checksum failed. Expected: 3190, Got: 92e6
Checksum failed. Expected: 70f3, Got: 86ad
Checksum failed. Expected: 38fb, Got: 0065
Checksum failed. Expected: 1eaa, Got: 823f
Checksum failed. Expected: dbd8, Got: 05f8
Checksum failed. Expected: 2667, Got: 0791
Checksum failed. Expected: f3da, Got: 0dd3
Checksum failed. Expected: 6e3a, Got: 26ec
Checksum failed. Expected: e079, Got: 244a
Checksum failed. Expected: 4d72, Got: a8cd
Checksum failed. Expected: 4742, Got: 1839
Checksum failed. Expected: 76b1, Got: 88bc
Checksum failed. Expected: 4d6c, Got: 8d9a
Checksum failed. Expected: f68b, Got: 977c
Checksum failed. Expected: 89dc, Got: 9438
Checksum failed. Expected: 833d, Got: 8b04
Checksum failed. Expected: e21e, Got: 0d6e
Checksum failed. Expected: b46d, Got: 18ed
Checksum failed. Expected: d596, Got: 0d98
Checksum failed. Expected: 16fd, Got: 8898
Checksum failed. Expected: 156c, Got: 11ab
Checksum failed. Expected: 6b38, Got: 9320
Checksum failed. Expected: b83c, Got: 978e
Checksum failed. Expected: 556e, Got: 4e13
Checksum failed. Expected: d9fd, Got: 0d68
Checksum failed. Expected: 5cbd, Got: 112e
Checksum failed. Expected: 6917, Got: 9094
Checksum failed. Expected: af35, Got: 9308
Checksum failed. Expected: a6a9, Got: 965b
Checksum failed. Expected: 4255, Got: 138e
Checksum failed. Expected: eeba, Got: 094e
Checksum failed. Expected: 023e, Got: 0c80
Checksum failed. Expected: c2b5, Got: 4741
Checksum failed. Expected: 4662, Got: 099b
Checksum failed. Expected: 1701, Got: 05a6
Checksum failed. Expected: 3616, Got: 0d7a
Checksum failed. Expected: 0002, Got: 4733
Checksum failed. Expected: a24b, Got: 8a87
Checksum failed. Expected: 3a25, Got: 4638
Checksum failed. Expected: a3f5, Got: 8889
Checksum failed. Expected: c884, Got: 075e
Checksum failed. Expected: a5cb, Got: 0a2f
Checksum failed. Expected: f5fa, Got: 4cf9
Checksum failed. Expected: 6ba2, Got: 8b10
Checksum failed. Expected: 3b79, Got: 8ff2
Checksum failed. Expected: 2340, Got: 471f
Checksum failed. Expected: 8bef, Got: 0700
Checksum failed. Expected: a4e7, Got: 4ccb
Checksum failed. Expected: 6269, Got: cbf7
Checksum failed. Expected: e320, Got: 8efb
