
#################################################################
Log started at 2025-06-16_09-38-02.528432 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=0.255942, Y=0.011433, Z=9.803107 m/s^2 Time of Week: 66.837000, Week Number: 0
Acceleration: X=0.255581, Y=0.009835, Z=9.806152 m/s^2 Time of Week: 66.838000, Week Number: 0
Acceleration: X=0.254652, Y=0.012688, Z=9.807806 m/s^2 Time of Week: 66.839000, Week Number: 0
Acceleration: X=0.263055, Y=0.019734, Z=9.811355 m/s^2 Time of Week: 66.840000, Week Number: 0
Acceleration: X=0.267748, Y=0.010932, Z=9.812224 m/s^2 Time of Week: 66.841000, Week Number: 0
Acceleration: X=0.273387, Y=0.003778, Z=9.816986 m/s^2 Time of Week: 66.842000, Week Number: 0
Checksum failed. Expected: 7aa5, Got: 000e
Checksum failed. Expected: c6aa, Got: 000e
Checksum failed. Expected: 08e0, Got: 000e
Checksum failed. Expected: ba5f, Got: 000e
Checksum failed. Expected: f29d, Got: 000e
Checksum failed. Expected: 7d48, Got: 000e
Checksum failed. Expected: 6f85, Got: 000e
Checksum failed. Expected: 2648, Got: 000e
Checksum failed. Expected: 0a7a, Got: 000e
Checksum failed. Expected: f440, Got: 000e
Checksum failed. Expected: 433b, Got: 000e
Checksum failed. Expected: 242b, Got: 000e
Checksum failed. Expected: 6760, Got: 000e
Checksum failed. Expected: 962e, Got: 000e
Checksum failed. Expected: dfcb, Got: 000e
Checksum failed. Expected: 63ce, Got: 000e
Checksum failed. Expected: e498, Got: 000e
Checksum failed. Expected: b009, Got: 000e
Checksum failed. Expected: 852d, Got: 000e
Checksum failed. Expected: 1b7f, Got: 000e
Checksum failed. Expected: 268b, Got: 000e
Checksum failed. Expected: 472a, Got: 000e
Checksum failed. Expected: 5d36, Got: 000e
Checksum failed. Expected: 56f6, Got: 000e
Checksum failed. Expected: 10ce, Got: 000e
Checksum failed. Expected: 8a2c, Got: 000e
Checksum failed. Expected: fbfd, Got: 000e
Checksum failed. Expected: 8562, Got: 000e
Checksum failed. Expected: 5c64, Got: 000e
Checksum failed. Expected: 91b3, Got: 000e
Checksum failed. Expected: ff11, Got: 000e
Checksum failed. Expected: fd36, Got: 000e
Checksum failed. Expected: e6c5, Got: 000e
Checksum failed. Expected: 18a5, Got: 000e
Checksum failed. Expected: 5e12, Got: 000e
Checksum failed. Expected: 8aba, Got: 000e
Checksum failed. Expected: 78a1, Got: 000e
Checksum failed. Expected: 42e2, Got: 000e
Checksum failed. Expected: 3514, Got: 000e
Checksum failed. Expected: d75d, Got: 000e
Checksum failed. Expected: 4f7e, Got: 000e
Checksum failed. Expected: 5cc8, Got: 000e
Checksum failed. Expected: 2915, Got: 000e
Checksum failed. Expected: be4f, Got: 000e
Checksum failed. Expected: 3131, Got: 000e
Checksum failed. Expected: cd29, Got: 000e
Checksum failed. Expected: 4f19, Got: 000e
Checksum failed. Expected: 5591, Got: 000e
Checksum failed. Expected: c415, Got: 000e
Checksum failed. Expected: 3d72, Got: 000e
Checksum failed. Expected: 6f66, Got: 000e
Checksum failed. Expected: 80b6, Got: 000e
Checksum failed. Expected: 60b6, Got: 000e
Checksum failed. Expected: cae3, Got: 000e
Checksum failed. Expected: 209e, Got: 000e
Checksum failed. Expected: d3f7, Got: 000e
Checksum failed. Expected: b4d5, Got: 000e
Checksum failed. Expected: daf6, Got: 000e
Checksum failed. Expected: eb7c, Got: 000e
Checksum failed. Expected: 64c0, Got: 000e
Checksum failed. Expected: f16e, Got: 000e
Checksum failed. Expected: a5ff, Got: 000e
Checksum failed. Expected: 17ba, Got: 000e
Checksum failed. Expected: 22e3, Got: 000e
Checksum failed. Expected: 95a7, Got: 000e
Checksum failed. Expected: 5509, Got: 000e
Checksum failed. Expected: 0347, Got: 000e
Checksum failed. Expected: d752, Got: 000e
Checksum failed. Expected: 7871, Got: 000e
Checksum failed. Expected: 5974, Got: 000e
Checksum failed. Expected: 8f92, Got: 000e
Checksum failed. Expected: 5bd8, Got: 000e
Checksum failed. Expected: 3e21, Got: 000e
Checksum failed. Expected: 9823, Got: 000e
Checksum failed. Expected: bd1b, Got: 000e
Checksum failed. Expected: 432c, Got: 000e
Checksum failed. Expected: 0fb1, Got: 000e
Checksum failed. Expected: f506, Got: 000e
Checksum failed. Expected: 206c, Got: 000e
Checksum failed. Expected: 0358, Got: 000e
Checksum failed. Expected: 21fc, Got: 000e
Checksum failed. Expected: cd1b, Got: 000e
Checksum failed. Expected: 0125, Got: 000e
Checksum failed. Expected: 24df, Got: 000e
Checksum failed. Expected: 1501, Got: 000e
Checksum failed. Expected: ac78, Got: 000e
Checksum failed. Expected: ed83, Got: 000e
Checksum failed. Expected: fac1, Got: 000e
Checksum failed. Expected: 5f56, Got: 000e
Checksum failed. Expected: 325f, Got: 000e
Checksum failed. Expected: e831, Got: 000e
Checksum failed. Expected: acfd, Got: 000e
Checksum failed. Expected: 876d, Got: 000e
Checksum failed. Expected: 120c, Got: 000e
Checksum failed. Expected: 3f93, Got: 000e
Checksum failed. Expected: eed7, Got: 000e
Checksum failed. Expected: 5f8e, Got: 000e
Checksum failed. Expected: 2457, Got: 000e
Checksum failed. Expected: 5fc8, Got: 000e
Checksum failed. Expected: ca21, Got: 000e
Checksum failed. Expected: bb51, Got: 000e
Checksum failed. Expected: ee47, Got: 000e
Checksum failed. Expected: d6aa, Got: 000e
Checksum failed. Expected: 5233, Got: 000e
Checksum failed. Expected: 5b2d, Got: 000e
Checksum failed. Expected: a92c, Got: 000e
Checksum failed. Expected: 4d90, Got: 000e
Checksum failed. Expected: 9ff2, Got: 000e
Checksum failed. Expected: f049, Got: 000e
Checksum failed. Expected: 44b6, Got: 000e
Checksum failed. Expected: 381a, Got: 000e
Checksum failed. Expected: b140, Got: 000e
Checksum failed. Expected: 7eb0, Got: 000e
Checksum failed. Expected: 5834, Got: 000e
Checksum failed. Expected: cf25, Got: 000e
Checksum failed. Expected: 77d8, Got: 000e
Checksum failed. Expected: 4be0, Got: 000e
Checksum failed. Expected: 52bc, Got: 000e
Checksum failed. Expected: 6bc2, Got: 000e
Checksum failed. Expected: dd83, Got: 000e
Checksum failed. Expected: 1fac, Got: 000e
Checksum failed. Expected: d34b, Got: 000e
Checksum failed. Expected: 4e93, Got: 000e
Checksum failed. Expected: f545, Got: 000e
Checksum failed. Expected: f341, Got: 000e
Checksum failed. Expected: 6e81, Got: 000e
Checksum failed. Expected: 8b09, Got: 000e
Checksum failed. Expected: fba9, Got: 000e
Checksum failed. Expected: 548d, Got: 000e
Checksum failed. Expected: e9b2, Got: 000e
Checksum failed. Expected: 3a0f, Got: 000e
Checksum failed. Expected: 1597, Got: 000e
Checksum failed. Expected: 4ded, Got: 000e
Checksum failed. Expected: 55cb, Got: 000e
Checksum failed. Expected: 7593, Got: 000e
Checksum failed. Expected: 4ecc, Got: 000e
Checksum failed. Expected: 793a, Got: 000e
Checksum failed. Expected: 8df2, Got: 000e
Checksum failed. Expected: d03c, Got: 000e
Checksum failed. Expected: 9959, Got: 000e
Checksum failed. Expected: 49a0, Got: 000e
Checksum failed. Expected: ae56, Got: 000e
Checksum failed. Expected: d8c1, Got: 000e
Checksum failed. Expected: 3836, Got: 000e
Checksum failed. Expected: 605e, Got: 000e
Checksum failed. Expected: d548, Got: 000e
Checksum failed. Expected: 10d5, Got: 000e
Checksum failed. Expected: e621, Got: 000e
Checksum failed. Expected: dfe1, Got: 000e
Checksum failed. Expected: ef1b, Got: 000e
Checksum failed. Expected: a713, Got: 000e
Checksum failed. Expected: f65e, Got: 000e
Checksum failed. Expected: ebb4, Got: 000e
Checksum failed. Expected: 1c64, Got: 000e
Checksum failed. Expected: d692, Got: 000e
Checksum failed. Expected: 3d6b, Got: 000e
Checksum failed. Expected: 340b, Got: 000e
Checksum failed. Expected: 72e9, Got: 000e
Checksum failed. Expected: 6db4, Got: 000e
Checksum failed. Expected: 7ae6, Got: 000e
Checksum failed. Expected: d731, Got: 000e
Checksum failed. Expected: 3568, Got: 000e
Checksum failed. Expected: 407c, Got: 000e
Checksum failed. Expected: 6bd6, Got: 000e
Checksum failed. Expected: b7bd, Got: 000e
Checksum failed. Expected: ab12, Got: 000e
Checksum failed. Expected: 1543, Got: 000e
Checksum failed. Expected: ffb7, Got: 000e
Checksum failed. Expected: 75a4, Got: 000e
Checksum failed. Expected: c4da, Got: 000e
Checksum failed. Expected: 198d, Got: 000e
Checksum failed. Expected: bd03, Got: 000e
Checksum failed. Expected: 5551, Got: 000e
Checksum failed. Expected: e994, Got: 000e
Checksum failed. Expected: 9d52, Got: 000e
Checksum failed. Expected: 564b, Got: 000e
Checksum failed. Expected: 8b47, Got: 000e
Checksum failed. Expected: 5e50, Got: 000e
Checksum failed. Expected: 4d5c, Got: 000e
Checksum failed. Expected: 2e68, Got: 000e
Checksum failed. Expected: c49a, Got: 000e
Checksum failed. Expected: c4c5, Got: 000e
Checksum failed. Expected: 0933, Got: 000e
Checksum failed. Expected: 7cff, Got: 000e
Checksum failed. Expected: 6e3e, Got: 000e
Checksum failed. Expected: b8f3, Got: 000e
Checksum failed. Expected: b602, Got: 000e
Checksum failed. Expected: 36c7, Got: 000e
Checksum failed. Expected: 8722, Got: 000e
Checksum failed. Expected: 3f05, Got: 000e
Checksum failed. Expected: 2539, Got: 000e
Checksum failed. Expected: 4c72, Got: 000e
Checksum failed. Expected: bf4a, Got: 000e
Checksum failed. Expected: e435, Got: 000e
Checksum failed. Expected: d8a1, Got: 000e
Checksum failed. Expected: b524, Got: 000e
Checksum failed. Expected: 178c, Got: 000e
Checksum failed. Expected: 3310, Got: 000e
Checksum failed. Expected: fb3c, Got: 000e
Checksum failed. Expected: 44d1, Got: 000e
Checksum failed. Expected: 644c, Got: 000e
Checksum failed. Expected: ef11, Got: 000e
Checksum failed. Expected: cff4, Got: 000e
Checksum failed. Expected: 43c5, Got: 000e
Checksum failed. Expected: 7142, Got: 000e
Checksum failed. Expected: b16c, Got: 000e
Checksum failed. Expected: e9ef, Got: 000e
Checksum failed. Expected: cf2f, Got: 000e
Checksum failed. Expected: f85b, Got: 000e
Checksum failed. Expected: 9cc6, Got: 000e
Checksum failed. Expected: b3bd, Got: 000e
Checksum failed. Expected: c771, Got: 000e
Checksum failed. Expected: 0f10, Got: 000e
Checksum failed. Expected: 3ea3, Got: 000e
Checksum failed. Expected: dcbd, Got: 000e
Checksum failed. Expected: a099, Got: 000e
Checksum failed. Expected: 18c1, Got: 000e
Checksum failed. Expected: bc1c, Got: 000e
Checksum failed. Expected: b199, Got: 000e
Checksum failed. Expected: a6f8, Got: 000e
Checksum failed. Expected: 5762, Got: 000e
Checksum failed. Expected: 3869, Got: 000e
Checksum failed. Expected: b5da, Got: 000e
Checksum failed. Expected: 855a, Got: 000e
Checksum failed. Expected: 4d9a, Got: 000e
Checksum failed. Expected: 9319, Got: 000e
Checksum failed. Expected: 7fca, Got: 000e
Checksum failed. Expected: 764a, Got: 000e
Checksum failed. Expected: adb4, Got: 000e
Checksum failed. Expected: 58b4, Got: 000e
Checksum failed. Expected: 399c, Got: 000e
Checksum failed. Expected: d9b4, Got: 000e
Checksum failed. Expected: 52fb, Got: 000e
Checksum failed. Expected: 8964, Got: 000e
Checksum failed. Expected: a7cf, Got: 000e
Checksum failed. Expected: 6cb6, Got: 000e
Checksum failed. Expected: 43d6, Got: 000e
Checksum failed. Expected: 1d3d, Got: 000e
Checksum failed. Expected: 505c, Got: 000e
Checksum failed. Expected: 96aa, Got: 000e
Checksum failed. Expected: 02e9, Got: 000e
Checksum failed. Expected: c8e7, Got: 000e
Checksum failed. Expected: d2fc, Got: 000e
Checksum failed. Expected: 2104, Got: 000e
Checksum failed. Expected: 1bdd, Got: 000e
Checksum failed. Expected: c172, Got: 000e
Checksum failed. Expected: e89a, Got: 000e
Checksum failed. Expected: 13f2, Got: 000e
Checksum failed. Expected: feb0, Got: 000e
Checksum failed. Expected: 462a, Got: 000e
Checksum failed. Expected: 6370, Got: 000e
Checksum failed. Expected: ab29, Got: 000e
Checksum failed. Expected: e17b, Got: 000e
Checksum failed. Expected: 6f4e, Got: 000e
Checksum failed. Expected: 4433, Got: 000e
Checksum failed. Expected: 0194, Got: 000e
Checksum failed. Expected: 929e, Got: 000e
Checksum failed. Expected: 829c, Got: 000e
Checksum failed. Expected: b04c, Got: 000e
Checksum failed. Expected: 6dbb, Got: 000e
Checksum failed. Expected: b757, Got: 000e
Checksum failed. Expected: 601f, Got: 000e
Checksum failed. Expected: 209b, Got: 000e
Checksum failed. Expected: 800c, Got: 000e
Checksum failed. Expected: 8377, Got: 000e
Checksum failed. Expected: e607, Got: 000e
Checksum failed. Expected: f66e, Got: 000e
Checksum failed. Expected: ed10, Got: 000e
Checksum failed. Expected: cacc, Got: 000e
Checksum failed. Expected: 0ce2, Got: 000e
Checksum failed. Expected: 59d4, Got: 000e
Checksum failed. Expected: 9ad3, Got: 000e
Checksum failed. Expected: c122, Got: 000e
Checksum failed. Expected: 24c0, Got: 000e
Checksum failed. Expected: adf5, Got: 000e
Checksum failed. Expected: 48c6, Got: 000e
Checksum failed. Expected: 77b1, Got: 000e
Checksum failed. Expected: 0116, Got: 000e
Checksum failed. Expected: 09bb, Got: 000e
Checksum failed. Expected: 7fdd, Got: 000e
Checksum failed. Expected: 732d, Got: 000e
Checksum failed. Expected: a52e, Got: 000e
Checksum failed. Expected: 190e, Got: 000e
Checksum failed. Expected: 4130, Got: 000e
Checksum failed. Expected: 8be9, Got: 000e
Checksum failed. Expected: 554b, Got: 000e
Checksum failed. Expected: 73c2, Got: 000e
Checksum failed. Expected: 5292, Got: 000e
Checksum failed. Expected: 6970, Got: 000e
Checksum failed. Expected: 5ba9, Got: 000e
Checksum failed. Expected: 4ffe, Got: 000e
Checksum failed. Expected: 1616, Got: 000e
Checksum failed. Expected: 9e44, Got: 000e
Checksum failed. Expected: 187d, Got: 000e
Checksum failed. Expected: 85ed, Got: 000e
Checksum failed. Expected: 07f7, Got: 000e
Checksum failed. Expected: 35ab, Got: 000e
Checksum failed. Expected: 54fe, Got: 000e
Checksum failed. Expected: 85e8, Got: 000e
Checksum failed. Expected: a9f6, Got: 000e
Checksum failed. Expected: 0fc6, Got: 000e
Checksum failed. Expected: 825c, Got: 000e
Checksum failed. Expected: 8941, Got: 000e
Checksum failed. Expected: 22eb, Got: 000e
Checksum failed. Expected: 5733, Got: 000e
Checksum failed. Expected: d59d, Got: 000e
Checksum failed. Expected: a75e, Got: 000e
Checksum failed. Expected: 81db, Got: 000e
Checksum failed. Expected: aa29, Got: 000e
Checksum failed. Expected: b769, Got: 000e
Checksum failed. Expected: b01b, Got: 000e
Checksum failed. Expected: e765, Got: 000e
Checksum failed. Expected: 7dcc, Got: 000e
Checksum failed. Expected: cd14, Got: 000e
Checksum failed. Expected: d5e7, Got: 000e
Checksum failed. Expected: 4f17, Got: 000e
