
#################################################################
Log started at 2025-06-12_15-12-53 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 5331, Got: 0000
Checksum failed. Expected: a03c, Got: 0000
Checksum failed. Expected: 96f9, Got: 0000
Checksum failed. Expected: 931d, Got: 0000
Checksum failed. Expected: fcfa, Got: 0000
Checksum failed. Expected: cd3a, Got: 0000
Checksum failed. Expected: 51c1, Got: 0000
Checksum failed. Expected: d341, Got: 0000
Checksum failed. Expected: 9075, Got: 0000
Checksum failed. Expected: e5f5, Got: 0000
Checksum failed. Expected: 3869, Got: 0000
Checksum failed. Expected: 59b5, Got: 0000
Checksum failed. Expected: b4af, Got: 0000
Checksum failed. Expected: 763f, Got: 0000
Checksum failed. Expected: df14, Got: 0000
Checksum failed. Expected: 806b, Got: 0000
Checksum failed. Expected: 7827, Got: 0000
Checksum failed. Expected: 597e, Got: 0000
Checksum failed. Expected: 6e3f, Got: 0000
Checksum failed. Expected: 50a4, Got: 0000
Checksum failed. Expected: 498a, Got: 0000
Checksum failed. Expected: f5ae, Got: 0000
Checksum failed. Expected: 8a4f, Got: 0000
Checksum failed. Expected: 3c9d, Got: 0000
Checksum failed. Expected: d9c4, Got: 0000
Checksum failed. Expected: 1b31, Got: 0000
Checksum failed. Expected: 91cc, Got: 0000
Checksum failed. Expected: fef9, Got: 0000
Checksum failed. Expected: 99fd, Got: 0000
Checksum failed. Expected: f4fa, Got: 0000
Checksum failed. Expected: 4fda, Got: 0000
Checksum failed. Expected: 7361, Got: 0000
Checksum failed. Expected: c091, Got: 0000
Checksum failed. Expected: a325, Got: 0000
Checksum failed. Expected: 7465, Got: 0000
Checksum failed. Expected: ef59, Got: 0000
Checksum failed. Expected: 0a45, Got: 0000
Checksum failed. Expected: ca8f, Got: 0000
Checksum failed. Expected: 605f, Got: 0000
Checksum failed. Expected: 41b4, Got: 0000
Checksum failed. Expected: 820b, Got: 0000
Checksum failed. Expected: d9b7, Got: 0000
Checksum failed. Expected: b5be, Got: 0000
Checksum failed. Expected: 4fcf, Got: 0000
Checksum failed. Expected: 0574, Got: 0000
Checksum failed. Expected: 2f6a, Got: 0000
Checksum failed. Expected: d0de, Got: 0000
Checksum failed. Expected: 6dff, Got: 0000
Checksum failed. Expected: c05d, Got: 0000
Checksum failed. Expected: 7614, Got: 0000
Checksum failed. Expected: 7771, Got: 0000
Checksum failed. Expected: f8bc, Got: 0000
Checksum failed. Expected: 2b49, Got: 0000
Checksum failed. Expected: 697d, Got: 0000
Checksum failed. Expected: 3e1a, Got: 0000
Checksum failed. Expected: bb1a, Got: 0000
Checksum failed. Expected: 64f1, Got: 0000
Checksum failed. Expected: e891, Got: 0000
Checksum failed. Expected: 3075, Got: 0000
Checksum failed. Expected: 22c5, Got: 0000
Checksum failed. Expected: 4319, Got: 0000
Checksum failed. Expected: b355, Got: 0000
Checksum failed. Expected: 728f, Got: 0000
Checksum failed. Expected: 130f, Got: 0000
Checksum failed. Expected: e8a4, Got: 0000
Checksum failed. Expected: 4c2b, Got: 0000
Checksum failed. Expected: 22c7, Got: 0000
Checksum failed. Expected: 986e, Got: 0000
Checksum failed. Expected: ed2f, Got: 0000
Checksum failed. Expected: b5f4, Got: 0000
Checksum failed. Expected: 3dca, Got: 0000
Checksum failed. Expected: 3afe, Got: 0000
Checksum failed. Expected: 93df, Got: 0000
Checksum failed. Expected: 441d, Got: 0000
Checksum failed. Expected: 9be4, Got: 0000
Checksum failed. Expected: 95d1, Got: 0000
Checksum failed. Expected: 5fac, Got: 0000
Checksum failed. Expected: 8019, Got: 0000
Checksum failed. Expected: 7f5d, Got: 0000
Checksum failed. Expected: 5c70, Got: 0000
Checksum failed. Expected: 2fb8, Got: 0000
Checksum failed. Expected: 077f, Got: 0000
Checksum failed. Expected: ca0f, Got: 0000
