
#################################################################
Log started at 2025-06-12_14-15-55 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 98e3, Got: 0004
Checksum failed. Expected: a145, Got: 25a1
Checksum failed. Expected: c27c, Got: da74
Acceleration: X=0.007792, Y=0.031887, Z=9.802787 m/s^2 Time of Week: 1515.522000, Week Number: 0
Acceleration: X=0.014120, Y=0.027785, Z=9.801746 m/s^2 Time of Week: 1515.532000, Week Number: 0
Acceleration: X=0.012496, Y=0.024234, Z=9.803377 m/s^2 Time of Week: 1515.542000, Week Number: 0
Acceleration: X=0.017622, Y=0.016301, Z=9.802753 m/s^2 Time of Week: 1515.552000, Week Number: 0
Acceleration: X=0.018589, Y=0.022556, Z=9.808312 m/s^2 Time of Week: 1515.562000, Week Number: 0
Acceleration: X=0.018678, Y=0.026452, Z=9.806475 m/s^2 Time of Week: 1515.572000, Week Number: 0
Acceleration: X=0.013078, Y=0.030838, Z=9.800054 m/s^2 Time of Week: 1515.582000, Week Number: 0
Acceleration: X=0.015379, Y=0.023615, Z=9.805589 m/s^2 Time of Week: 1515.592000, Week Number: 0
Acceleration: X=0.016742, Y=0.023126, Z=9.800275 m/s^2 Time of Week: 1515.602000, Week Number: 0
Acceleration: X=0.013304, Y=0.019484, Z=9.802828 m/s^2 Time of Week: 1515.612000, Week Number: 0
Acceleration: X=0.015556, Y=0.023169, Z=9.802295 m/s^2 Time of Week: 1515.622000, Week Number: 0
Acceleration: X=0.015960, Y=0.027738, Z=9.805231 m/s^2 Time of Week: 1515.632000, Week Number: 0
Acceleration: X=0.013672, Y=0.029877, Z=9.811964 m/s^2 Time of Week: 1515.642000, Week Number: 0
Acceleration: X=0.011565, Y=0.029148, Z=9.803860 m/s^2 Time of Week: 1515.652000, Week Number: 0
Acceleration: X=0.016913, Y=0.027303, Z=9.798090 m/s^2 Time of Week: 1515.662000, Week Number: 0
Acceleration: X=0.017199, Y=0.023737, Z=9.807031 m/s^2 Time of Week: 1515.672000, Week Number: 0
Acceleration: X=0.017033, Y=0.026408, Z=9.800747 m/s^2 Time of Week: 1515.682000, Week Number: 0
Acceleration: X=0.023954, Y=0.027856, Z=9.805704 m/s^2 Time of Week: 1515.692000, Week Number: 0
Acceleration: X=0.019043, Y=0.028881, Z=9.804272 m/s^2 Time of Week: 1515.702000, Week Number: 0
Acceleration: X=0.013946, Y=0.026416, Z=9.805188 m/s^2 Time of Week: 1515.712000, Week Number: 0
Acceleration: X=0.014938, Y=0.029554, Z=9.811814 m/s^2 Time of Week: 1515.722000, Week Number: 0
Acceleration: X=0.012226, Y=0.029213, Z=9.804985 m/s^2 Time of Week: 1515.732000, Week Number: 0
Acceleration: X=0.010943, Y=0.023350, Z=9.808160 m/s^2 Time of Week: 1515.742000, Week Number: 0
Acceleration: X=0.019816, Y=0.023089, Z=9.802464 m/s^2 Time of Week: 1515.752000, Week Number: 0
Acceleration: X=0.013715, Y=0.026773, Z=9.802267 m/s^2 Time of Week: 1515.762000, Week Number: 0
Acceleration: X=0.014091, Y=0.027806, Z=9.802872 m/s^2 Time of Week: 1515.772000, Week Number: 0
Acceleration: X=0.014540, Y=0.025721, Z=9.802173 m/s^2 Time of Week: 1515.782000, Week Number: 0
Acceleration: X=0.015167, Y=0.021033, Z=9.802955 m/s^2 Time of Week: 1515.792000, Week Number: 0
Acceleration: X=0.015795, Y=0.026227, Z=9.798930 m/s^2 Time of Week: 1515.802000, Week Number: 0
Acceleration: X=0.016964, Y=0.028438, Z=9.804814 m/s^2 Time of Week: 1515.812000, Week Number: 0
Acceleration: X=0.011215, Y=0.029333, Z=9.802668 m/s^2 Time of Week: 1515.822000, Week Number: 0
Acceleration: X=0.014846, Y=0.032139, Z=9.799071 m/s^2 Time of Week: 1515.832000, Week Number: 0
Acceleration: X=0.017171, Y=0.025140, Z=9.802424 m/s^2 Time of Week: 1515.842000, Week Number: 0
Acceleration: X=0.014535, Y=0.025306, Z=9.810895 m/s^2 Time of Week: 1515.852000, Week Number: 0
Acceleration: X=0.016004, Y=0.031712, Z=9.808264 m/s^2 Time of Week: 1515.862000, Week Number: 0
Acceleration: X=0.018279, Y=0.026627, Z=9.803920 m/s^2 Time of Week: 1515.872000, Week Number: 0
Acceleration: X=0.015194, Y=0.029425, Z=9.798322 m/s^2 Time of Week: 1515.882000, Week Number: 0
Acceleration: X=0.018443, Y=0.021063, Z=9.804905 m/s^2 Time of Week: 1515.892000, Week Number: 0
Acceleration: X=0.016445, Y=0.026749, Z=9.799793 m/s^2 Time of Week: 1515.902000, Week Number: 0
Acceleration: X=0.021426, Y=0.023816, Z=9.806100 m/s^2 Time of Week: 1515.912000, Week Number: 0
Acceleration: X=0.012239, Y=0.027021, Z=9.807091 m/s^2 Time of Week: 1515.922000, Week Number: 0
Acceleration: X=0.011689, Y=0.030138, Z=9.800573 m/s^2 Time of Week: 1515.932000, Week Number: 0
Acceleration: X=0.016089, Y=0.027557, Z=9.805249 m/s^2 Time of Week: 1515.942000, Week Number: 0
Acceleration: X=0.015862, Y=0.025384, Z=9.806878 m/s^2 Time of Week: 1515.952000, Week Number: 0
Acceleration: X=0.012252, Y=0.020069, Z=9.807561 m/s^2 Time of Week: 1515.962000, Week Number: 0
Acceleration: X=0.015947, Y=0.019848, Z=9.797676 m/s^2 Time of Week: 1515.972000, Week Number: 0
Acceleration: X=0.013145, Y=0.020641, Z=9.802111 m/s^2 Time of Week: 1515.982000, Week Number: 0
Acceleration: X=0.015308, Y=0.029223, Z=9.814546 m/s^2 Time of Week: 1515.992000, Week Number: 0
Acceleration: X=0.014927, Y=0.026390, Z=9.800980 m/s^2 Time of Week: 1516.002000, Week Number: 0
Acceleration: X=0.014585, Y=0.029118, Z=9.799621 m/s^2 Time of Week: 1516.012000, Week Number: 0
Acceleration: X=0.016194, Y=0.026238, Z=9.798817 m/s^2 Time of Week: 1516.022000, Week Number: 0
Acceleration: X=0.015380, Y=0.018370, Z=9.808743 m/s^2 Time of Week: 1516.032000, Week Number: 0
Acceleration: X=0.009308, Y=0.021688, Z=9.805097 m/s^2 Time of Week: 1516.042000, Week Number: 0
Acceleration: X=0.015339, Y=0.023614, Z=9.801498 m/s^2 Time of Week: 1516.052000, Week Number: 0
Acceleration: X=0.018068, Y=0.019106, Z=9.800331 m/s^2 Time of Week: 1516.062000, Week Number: 0
Acceleration: X=0.017463, Y=0.024649, Z=9.803654 m/s^2 Time of Week: 1516.072000, Week Number: 0
Acceleration: X=0.017772, Y=0.025636, Z=9.803003 m/s^2 Time of Week: 1516.082000, Week Number: 0
Acceleration: X=0.012493, Y=0.027687, Z=9.803924 m/s^2 Time of Week: 1516.092000, Week Number: 0
Acceleration: X=0.009134, Y=0.025876, Z=9.799162 m/s^2 Time of Week: 1516.102000, Week Number: 0
Acceleration: X=0.013485, Y=0.027834, Z=9.806085 m/s^2 Time of Week: 1516.112000, Week Number: 0
Acceleration: X=0.013498, Y=0.031785, Z=9.807232 m/s^2 Time of Week: 1516.122000, Week Number: 0
Acceleration: X=0.015191, Y=0.028674, Z=9.809117 m/s^2 Time of Week: 1516.132000, Week Number: 0
Acceleration: X=0.013849, Y=0.024955, Z=9.809335 m/s^2 Time of Week: 1516.142000, Week Number: 0
Acceleration: X=0.012282, Y=0.028575, Z=9.804768 m/s^2 Time of Week: 1516.152000, Week Number: 0
Acceleration: X=0.011913, Y=0.028302, Z=9.805735 m/s^2 Time of Week: 1516.162000, Week Number: 0
Acceleration: X=0.015776, Y=0.025952, Z=9.802104 m/s^2 Time of Week: 1516.172000, Week Number: 0
Acceleration: X=0.016749, Y=0.027209, Z=9.800834 m/s^2 Time of Week: 1516.182000, Week Number: 0
Acceleration: X=0.009740, Y=0.029591, Z=9.803447 m/s^2 Time of Week: 1516.192000, Week Number: 0
Acceleration: X=0.013851, Y=0.029997, Z=9.799964 m/s^2 Time of Week: 1516.202000, Week Number: 0
Acceleration: X=0.012222, Y=0.030880, Z=9.809310 m/s^2 Time of Week: 1516.212000, Week Number: 0
Acceleration: X=0.011201, Y=0.025956, Z=9.801587 m/s^2 Time of Week: 1516.222000, Week Number: 0
Acceleration: X=0.018098, Y=0.029680, Z=9.805114 m/s^2 Time of Week: 1516.232000, Week Number: 0
Acceleration: X=0.016618, Y=0.027753, Z=9.810696 m/s^2 Time of Week: 1516.242000, Week Number: 0
Acceleration: X=0.019047, Y=0.023582, Z=9.797626 m/s^2 Time of Week: 1516.252000, Week Number: 0
Acceleration: X=0.018459, Y=0.023067, Z=9.797278 m/s^2 Time of Week: 1516.262000, Week Number: 0
Acceleration: X=0.018732, Y=0.016531, Z=9.800324 m/s^2 Time of Week: 1516.272000, Week Number: 0
Acceleration: X=0.020615, Y=0.020609, Z=9.798112 m/s^2 Time of Week: 1516.282000, Week Number: 0
