
#################################################################
Log started at 2025-06-13_14-56-41 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 5f05, Got: 920b
Checksum failed. Expected: 18fd, Got: 9345
Checksum failed. Expected: eabe, Got: 92b7
Checksum failed. Expected: 3c1d, Got: 9233
Checksum failed. Expected: d7a1, Got: 914e
Checksum failed. Expected: 85f1, Got: 929c
Checksum failed. Expected: c606, Got: 92ed
Checksum failed. Expected: 5a11, Got: 934b
Checksum failed. Expected: c82b, Got: 92e7
Checksum failed. Expected: 5222, Got: 929f
Checksum failed. Expected: 3ae5, Got: 91cb
Checksum failed. Expected: 42d0, Got: 90ee
Checksum failed. Expected: 08c7, Got: 90b9
Checksum failed. Expected: e57d, Got: 913d
Checksum failed. Expected: d3c8, Got: 90e4
Checksum failed. Expected: 2601, Got: 909e
Checksum failed. Expected: 6907, Got: 8fe3
Checksum failed. Expected: 9c9e, Got: 9030
Checksum failed. Expected: e64f, Got: 9137
Checksum failed. Expected: 8de6, Got: 90e2
Checksum failed. Expected: f649, Got: 903b
Checksum failed. Expected: eed2, Got: 8f21
Checksum failed. Expected: 470e, Got: 8ef5
Checksum failed. Expected: 2f09, Got: 8ff6
Checksum failed. Expected: 585c, Got: 90c4
Checksum failed. Expected: 69f5, Got: 907b
Checksum failed. Expected: f744, Got: 9099
Checksum failed. Expected: 6692, Got: 902b
Checksum failed. Expected: 9153, Got: 9071
Checksum failed. Expected: 9052, Got: 90e1
Checksum failed. Expected: 76ba, Got: 91c1
Checksum failed. Expected: e80b, Got: 91ad
Checksum failed. Expected: 9315, Got: 920a
Checksum failed. Expected: 31b0, Got: 9238
Checksum failed. Expected: 0237, Got: 92bc
Checksum failed. Expected: 2de1, Got: 9248
Checksum failed. Expected: 1e4e, Got: 9108
Checksum failed. Expected: c6e2, Got: 9138
Checksum failed. Expected: 8687, Got: 915c
Checksum failed. Expected: 0b05, Got: 90cf
Checksum failed. Expected: 2544, Got: 90c3
Checksum failed. Expected: e8e1, Got: 9109
Checksum failed. Expected: 5c4a, Got: 911b
Checksum failed. Expected: c584, Got: 90a7
Checksum failed. Expected: 7a19, Got: 90bd
Checksum failed. Expected: 7fd0, Got: 907c
Checksum failed. Expected: 71c6, Got: 9148
Checksum failed. Expected: 9c3d, Got: 91f1
Checksum failed. Expected: cb94, Got: 92c4
Checksum failed. Expected: eb16, Got: 92c8
Checksum failed. Expected: 6705, Got: 92b0
Checksum failed. Expected: bf07, Got: 9156
Checksum failed. Expected: 02e6, Got: 91de
Checksum failed. Expected: 473e, Got: 9261
Checksum failed. Expected: 98a4, Got: 9147
Checksum failed. Expected: f877, Got: 908a
Checksum failed. Expected: 3314, Got: 9131
Checksum failed. Expected: 036e, Got: 9129
Checksum failed. Expected: 9f1e, Got: 916d
Checksum failed. Expected: 1190, Got: 9180
Checksum failed. Expected: 111a, Got: 9155
Checksum failed. Expected: 166c, Got: 92a1
Checksum failed. Expected: 239f, Got: 92a9
Checksum failed. Expected: f3a3, Got: 92c2
Checksum failed. Expected: a113, Got: 9235
Checksum failed. Expected: ee7d, Got: 9168
Checksum failed. Expected: 642b, Got: 9139
Checksum failed. Expected: 1764, Got: 9146
Checksum failed. Expected: 0185, Got: 917a
Checksum failed. Expected: 380a, Got: 90da
Checksum failed. Expected: 4fcb, Got: 9081
Checksum failed. Expected: c43c, Got: 9024
Checksum failed. Expected: 55ea, Got: 9057
Checksum failed. Expected: 734d, Got: 8fb9
Checksum failed. Expected: b497, Got: 8fd9
Checksum failed. Expected: e499, Got: 90a4
Checksum failed. Expected: 12b6, Got: 90a4
Checksum failed. Expected: b902, Got: 8ffd
Checksum failed. Expected: e53d, Got: 8f5b
Checksum failed. Expected: e27b, Got: 8f63
Checksum failed. Expected: 8df3, Got: 8f98
Checksum failed. Expected: 01cd, Got: 9067
Checksum failed. Expected: dab1, Got: 912b
Checksum failed. Expected: 8145, Got: 9171
Checksum failed. Expected: 1513, Got: 919a
Checksum failed. Expected: add2, Got: 9144
Checksum failed. Expected: a9f7, Got: 90ce
Checksum failed. Expected: f44f, Got: 91bd
Checksum failed. Expected: 88b1, Got: 917d
Checksum failed. Expected: c2f8, Got: 9152
Checksum failed. Expected: af6d, Got: 91ab
Checksum failed. Expected: 66c4, Got: 9160
Checksum failed. Expected: 751e, Got: 917b
Checksum failed. Expected: e5f5, Got: 90d5
Checksum failed. Expected: 4850, Got: 9051
Checksum failed. Expected: d49e, Got: 90c3
Checksum failed. Expected: 382c, Got: 90ae
Checksum failed. Expected: f9dc, Got: 90f3
Checksum failed. Expected: d39c, Got: 906e
Checksum failed. Expected: 9fa8, Got: 8ef8
Checksum failed. Expected: a836, Got: 8ed1
Checksum failed. Expected: 0cd5, Got: 8e80
Checksum failed. Expected: 545b, Got: 8fc1
Checksum failed. Expected: a672, Got: 8fdd
Checksum failed. Expected: 2f60, Got: 8fe2
Checksum failed. Expected: ae40, Got: 8ffb
Checksum failed. Expected: 7d6e, Got: 9002
Checksum failed. Expected: ef53, Got: 8e66
Checksum failed. Expected: 151d, Got: 8e33
Checksum failed. Expected: a319, Got: 8ed0
Checksum failed. Expected: 806d, Got: 8ec7
Checksum failed. Expected: ebe3, Got: 901b
Checksum failed. Expected: aa7a, Got: 90d0
Checksum failed. Expected: 740f, Got: 90fc
Checksum failed. Expected: 5876, Got: 9167
Checksum failed. Expected: 467d, Got: 925a
Checksum failed. Expected: b20b, Got: 92de
Checksum failed. Expected: 6954, Got: 92ce
Checksum failed. Expected: 2bac, Got: 91d6
Checksum failed. Expected: b223, Got: 90f0
Checksum failed. Expected: 3b39, Got: 90d3
Checksum failed. Expected: 3fc4, Got: 90cb
Checksum failed. Expected: 3465, Got: 907f
Checksum failed. Expected: d87f, Got: 914b
Checksum failed. Expected: ead5, Got: 9149
Checksum failed. Expected: 6167, Got: 9116
Checksum failed. Expected: 5e33, Got: 9291
Checksum failed. Expected: 841f, Got: 92d3
Checksum failed. Expected: 3567, Got: 9280
Checksum failed. Expected: f65c, Got: 915f
Checksum failed. Expected: dc7b, Got: 9059
Checksum failed. Expected: 26f9, Got: 90c6
Checksum failed. Expected: 63db, Got: 9142
Checksum failed. Expected: 1f82, Got: 9178
Checksum failed. Expected: 135f, Got: 916c
Checksum failed. Expected: 8b1a, Got: 91fb
Checksum failed. Expected: d991, Got: 9236
Checksum failed. Expected: b1db, Got: 922c
Checksum failed. Expected: 62c6, Got: 91f8
Checksum failed. Expected: d85a, Got: 91d0
Checksum failed. Expected: 7369, Got: 9197
Checksum failed. Expected: 70a5, Got: 91d3
Checksum failed. Expected: 7f90, Got: 91e4
Checksum failed. Expected: 9189, Got: 924a
Checksum failed. Expected: 6c68, Got: 9235
Checksum failed. Expected: 7163, Got: 9276
Checksum failed. Expected: 9512, Got: 91c2
Checksum failed. Expected: 7d72, Got: 90d6
Checksum failed. Expected: 6306, Got: 90b7
Checksum failed. Expected: bbb6, Got: 90ae
Checksum failed. Expected: c6b4, Got: 910b
Checksum failed. Expected: 14ba, Got: 9075
Checksum failed. Expected: a759, Got: 9021
Checksum failed. Expected: dd99, Got: 90d0
Checksum failed. Expected: 3914, Got: 912c
Checksum failed. Expected: 04c6, Got: 91a4
Checksum failed. Expected: f4dd, Got: 91bf
Checksum failed. Expected: 7646, Got: 91c6
Checksum failed. Expected: 1e79, Got: 9138
Checksum failed. Expected: 228e, Got: 9209
Checksum failed. Expected: 406c, Got: 9222
Checksum failed. Expected: c853, Got: 91c6
Checksum failed. Expected: 0fa0, Got: 9138
Checksum failed. Expected: 90e2, Got: 90e5
Checksum failed. Expected: 386a, Got: 90e8
Checksum failed. Expected: bfc1, Got: 9117
Checksum failed. Expected: 0af9, Got: 9090
Checksum failed. Expected: 5ee2, Got: 90e9
Checksum failed. Expected: 3234, Got: 9254
Checksum failed. Expected: da7e, Got: 9230
Checksum failed. Expected: aa3e, Got: 9210
Checksum failed. Expected: 09b5, Got: 91a6
Checksum failed. Expected: 6ac0, Got: 9082
Checksum failed. Expected: d7b9, Got: 9057
Checksum failed. Expected: f5aa, Got: 90ae
Checksum failed. Expected: a370, Got: 9061
Checksum failed. Expected: 5884, Got: 8f8b
Checksum failed. Expected: 17e3, Got: 8f87
Checksum failed. Expected: 3b5f, Got: 8fe6
Checksum failed. Expected: 855a, Got: 9090
Checksum failed. Expected: 57c8, Got: 90b8
Checksum failed. Expected: c902, Got: 90aa
Checksum failed. Expected: 56e6, Got: 8fb2
Checksum failed. Expected: 2e86, Got: 8fda
Checksum failed. Expected: 7ed6, Got: 9044
Checksum failed. Expected: 4377, Got: 8ffa
Checksum failed. Expected: 328b, Got: 9002
Checksum failed. Expected: 3ea1, Got: 901c
Checksum failed. Expected: 1ab1, Got: 8efe
Checksum failed. Expected: 33e8, Got: 8f65
Checksum failed. Expected: 7889, Got: 9029
Checksum failed. Expected: 8c20, Got: 8f7c
Checksum failed. Expected: 498e, Got: 8fcc
Checksum failed. Expected: 637b, Got: 908a
Checksum failed. Expected: f3cc, Got: 9058
Checksum failed. Expected: 586f, Got: 90f4
Checksum failed. Expected: eabb, Got: 9057
Checksum failed. Expected: 4505, Got: 9060
Checksum failed. Expected: e728, Got: 9033
Checksum failed. Expected: cf29, Got: 8faf
Checksum failed. Expected: c6a8, Got: 8f77
Checksum failed. Expected: d7b4, Got: 8fb4
Checksum failed. Expected: 8c0f, Got: 8ee6
Checksum failed. Expected: a2d9, Got: 8f45
Checksum failed. Expected: 5ae1, Got: 901e
Checksum failed. Expected: 4446, Got: 8fd9
Checksum failed. Expected: 974a, Got: 8fb0
Checksum failed. Expected: 42de, Got: 9067
Checksum failed. Expected: 3699, Got: 9188
Checksum failed. Expected: 55e6, Got: 92dc
Checksum failed. Expected: a1e9, Got: 91c2
Checksum failed. Expected: 067a, Got: 8fc8
Checksum failed. Expected: 1b8d, Got: 8f4c
Checksum failed. Expected: 38b5, Got: 8fc1
Checksum failed. Expected: 6ae9, Got: 8ff5
Checksum failed. Expected: 803a, Got: 8fd0
Checksum failed. Expected: 7fc0, Got: 9133
Checksum failed. Expected: b46e, Got: 9265
Checksum failed. Expected: 3da5, Got: 9297
Checksum failed. Expected: 9d43, Got: 911e
Checksum failed. Expected: cfa3, Got: 90da
Checksum failed. Expected: e06c, Got: 9113
Checksum failed. Expected: 9744, Got: 9123
Checksum failed. Expected: 47b7, Got: 90ac
