
#################################################################
Log started at 2025-06-12_16-32-40 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 1371, Got: 8107
Checksum failed. Expected: 2305, Got: a5e4
Checksum failed. Expected: 3a22, Got: cac1
Checksum failed. Expected: a6d1, Got: ef9e
Checksum failed. Expected: e935, Got: 147b
Checksum failed. Expected: 7e0d, Got: 3958
Checksum failed. Expected: ad66, Got: 5e36
Checksum failed. Expected: e52a, Got: 8313
Checksum failed. Expected: 64e3, Got: a7f0
Checksum failed. Expected: 9788, Got: cccd
Checksum failed. Expected: dd23, Got: f1aa
Checksum failed. Expected: e43f, Got: 1688
Checksum failed. Expected: d0c6, Got: 3b65
Checksum failed. Expected: 704d, Got: 6042
Checksum failed. Expected: 91e2, Got: 851f
Checksum failed. Expected: f84b, Got: a9fc
Checksum failed. Expected: d320, Got: ced9
Checksum failed. Expected: 0279, Got: f3b7
Checksum failed. Expected: f77a, Got: 1894
Checksum failed. Expected: 3bce, Got: 3d71
Checksum failed. Expected: a0b3, Got: f5c3
Checksum failed. Expected: 8f04, Got: 1aa0
Checksum failed. Expected: 852a, Got: 3f7d
Checksum failed. Expected: 72e7, Got: 645b
Checksum failed. Expected: 2dd5, Got: 8938
Checksum failed. Expected: ef38, Got: ae15
Checksum failed. Expected: 0fbf, Got: d2f2
Checksum failed. Expected: ffba, Got: f7cf
Checksum failed. Expected: 3676, Got: 1cac
Checksum failed. Expected: 3b6e, Got: 418a
Checksum failed. Expected: 3d3e, Got: 6667
Checksum failed. Expected: 7b69, Got: 8b44
Checksum failed. Expected: db70, Got: b021
Checksum failed. Expected: ee41, Got: d4fe
Checksum failed. Expected: f8a8, Got: f9dc
Checksum failed. Expected: fd95, Got: 1eb9
Checksum failed. Expected: 420d, Got: 4396
Checksum failed. Expected: 8bd2, Got: 6873
Checksum failed. Expected: 1525, Got: 8d50
Checksum failed. Expected: 4370, Got: b22d
Checksum failed. Expected: ced1, Got: d70b
Checksum failed. Expected: ee45, Got: fbe8
Checksum failed. Expected: be73, Got: 20c5
Checksum failed. Expected: 7851, Got: 45a2
Checksum failed. Expected: 82a4, Got: 6a7f
Checksum failed. Expected: adc5, Got: 8f5d
Checksum failed. Expected: 33cd, Got: b43a
Checksum failed. Expected: 28fa, Got: d917
Checksum failed. Expected: eb6b, Got: fdf4
Checksum failed. Expected: 8389, Got: 22d1
Checksum failed. Expected: eadd, Got: 47ae
Checksum failed. Expected: d57e, Got: 6c8c
Checksum failed. Expected: e0cc, Got: 9169
Checksum failed. Expected: 2667, Got: b646
Checksum failed. Expected: 175c, Got: db23
Checksum failed. Expected: 610b, Got: 0000
Checksum failed. Expected: e900, Got: 24de
Checksum failed. Expected: 7462, Got: 49bb
Checksum failed. Expected: 7753, Got: 6e98
Checksum failed. Expected: 82b4, Got: 9375
Checksum failed. Expected: 386f, Got: b852
Checksum failed. Expected: 0cce, Got: dd30
Checksum failed. Expected: 34a5, Got: 020d
Checksum failed. Expected: f91d, Got: 26ea
Checksum failed. Expected: 7e3e, Got: 4bc7
Checksum failed. Expected: 812f, Got: 70a4
Checksum failed. Expected: 1946, Got: 9581
Checksum failed. Expected: 4bc9, Got: ba5f
Checksum failed. Expected: 0aef, Got: df3c
Checksum failed. Expected: cc45, Got: 0419
Checksum failed. Expected: 71fd, Got: 28f6
Checksum failed. Expected: 070c, Got: 4dd3
Checksum failed. Expected: cc99, Got: 72b1
Checksum failed. Expected: 834f, Got: 978e
Checksum failed. Expected: 6464, Got: bc6b
Checksum failed. Expected: 03dd, Got: e148
Checksum failed. Expected: 3553, Got: 0625
Checksum failed. Expected: 284f, Got: 2b02
Checksum failed. Expected: 3c2e, Got: 4fe0
Checksum failed. Expected: 60ee, Got: 74bd
Checksum failed. Expected: 8a01, Got: 999a
Checksum failed. Expected: 814a, Got: be77
Checksum failed. Expected: f23f, Got: e354
Checksum failed. Expected: 17ff, Got: 0832
Checksum failed. Expected: 8278, Got: 2d0f
Checksum failed. Expected: b2df, Got: 51ec
Checksum failed. Expected: 2f90, Got: 76c9
Checksum failed. Expected: 5133, Got: 9ba6
Checksum failed. Expected: c11a, Got: c083
Checksum failed. Expected: 6911, Got: e561
