
#################################################################
Log started at 2025-06-13_16-01-40 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 57ab, Got: 0942
Checksum failed. Expected: 088e, Got: 0942
Checksum failed. Expected: 50bc, Got: 0942
Checksum failed. Expected: 0075, Got: 0942
Checksum failed. Expected: f263, Got: 0942
Checksum failed. Expected: 3bc1, Got: 0942
Checksum failed. Expected: 0c90, Got: 0942
Checksum failed. Expected: 32ab, Got: 0942
Checksum failed. Expected: f287, Got: 0942
Checksum failed. Expected: 68bc, Got: 0942
Checksum failed. Expected: b215, Got: 0942
Checksum failed. Expected: d733, Got: 0942
Checksum failed. Expected: 5082, Got: 0942
Checksum failed. Expected: 0bed, Got: 0942
Checksum failed. Expected: 188b, Got: 0942
Checksum failed. Expected: 0ec7, Got: 0942
Checksum failed. Expected: e72c, Got: 0942
Checksum failed. Expected: 36c6, Got: 0942
Checksum failed. Expected: 8021, Got: 0942
Checksum failed. Expected: 9fdf, Got: 0942
Checksum failed. Expected: ba5d, Got: 0942
Checksum failed. Expected: 73bb, Got: 0942
Checksum failed. Expected: 6040, Got: 0942
Checksum failed. Expected: c532, Got: 0942
Checksum failed. Expected: fa51, Got: 0942
Checksum failed. Expected: 9e5f, Got: 0942
Checksum failed. Expected: 059d, Got: 0942
Checksum failed. Expected: 1bcb, Got: 0942
Checksum failed. Expected: e30a, Got: 0942
Checksum failed. Expected: 37f8, Got: 0942
Checksum failed. Expected: 5aef, Got: 0942
Checksum failed. Expected: d141, Got: 0942
Checksum failed. Expected: 4a9f, Got: 0942
Checksum failed. Expected: 91ce, Got: 0942
Checksum failed. Expected: be59, Got: 0942
Checksum failed. Expected: 6267, Got: 0942
Checksum failed. Expected: 3668, Got: 0942
Checksum failed. Expected: ceaf, Got: 0942
Checksum failed. Expected: 62d1, Got: 0942
Checksum failed. Expected: 88f0, Got: 0942
Checksum failed. Expected: 568b, Got: 0942
Checksum failed. Expected: d879, Got: 0942
Checksum failed. Expected: bd97, Got: 0942
Checksum failed. Expected: 4918, Got: 0942
Checksum failed. Expected: 7362, Got: 0942
Checksum failed. Expected: a87b, Got: 0942
Checksum failed. Expected: 1c9d, Got: 0942
Checksum failed. Expected: ea4b, Got: 0942
Checksum failed. Expected: 94b9, Got: 0942
Checksum failed. Expected: 98c7, Got: 0942
Checksum failed. Expected: 4549, Got: 0942
Checksum failed. Expected: ed6f, Got: 0942
Checksum failed. Expected: ef6b, Got: 0942
Checksum failed. Expected: 15ad, Got: 0942
Checksum failed. Expected: 9acb, Got: 0942
Checksum failed. Expected: d64a, Got: 0942
Checksum failed. Expected: 4a45, Got: 0942
Checksum failed. Expected: 65b6, Got: 0942
Checksum failed. Expected: e9af, Got: 0942
Checksum failed. Expected: fa9b, Got: 0942
Checksum failed. Expected: cb8d, Got: 0942
Checksum failed. Expected: d4dc, Got: 0942
Checksum failed. Expected: 66b7, Got: 0942
Checksum failed. Expected: d8a5, Got: 0942
Checksum failed. Expected: 530a, Got: 0942
Checksum failed. Expected: b6dd, Got: 0942
Checksum failed. Expected: 79cc, Got: 0942
Checksum failed. Expected: 0225, Got: 0942
Checksum failed. Expected: 4757, Got: 0942
Checksum failed. Expected: dc75, Got: 0942
Checksum failed. Expected: f7f3, Got: 0942
Checksum failed. Expected: 8e15, Got: 0942
Checksum failed. Expected: b74b, Got: 0942
Checksum failed. Expected: ba49, Got: 0942
Checksum failed. Expected: db35, Got: 0942
Checksum failed. Expected: 28e7, Got: 0942
Checksum failed. Expected: bad5, Got: 0942
Checksum failed. Expected: efe4, Got: 0942
Checksum failed. Expected: 5b52, Got: 0942
Checksum failed. Expected: b9eb, Got: 0942
Checksum failed. Expected: 1359, Got: 0942
Checksum failed. Expected: d665, Got: 0942
Checksum failed. Expected: 10d8, Got: 0942
Checksum failed. Expected: 45e3, Got: 0942
Checksum failed. Expected: 0e41, Got: 0942
Checksum failed. Expected: fac2, Got: 0942
Checksum failed. Expected: 10db, Got: 0942
Checksum failed. Expected: 33d9, Got: 0942
Checksum failed. Expected: ff58, Got: 0942
Checksum failed. Expected: e691, Got: 0942
Checksum failed. Expected: 3123, Got: 0942
Checksum failed. Expected: 9861, Got: 0942
Checksum failed. Expected: 42c2, Got: 0942
Checksum failed. Expected: fbfc, Got: 0942
Checksum failed. Expected: 5ee7, Got: 0942
Checksum failed. Expected: 31e5, Got: 0942
Checksum failed. Expected: 54f1, Got: 0942
Checksum failed. Expected: 34d3, Got: 0942
Checksum failed. Expected: c6c1, Got: 0942
Checksum failed. Expected: fab3, Got: 0942
Checksum failed. Expected: 94f9, Got: 0942
Checksum failed. Expected: f807, Got: 0942
Checksum failed. Expected: 5e35, Got: 0942
Checksum failed. Expected: ad01, Got: 0942
Checksum failed. Expected: aaa4, Got: 0942
Checksum failed. Expected: 1d8f, Got: 0942
Checksum failed. Expected: 33a4, Got: 0942
Checksum failed. Expected: 1787, Got: 0942
Checksum failed. Expected: bdb5, Got: 0942
Checksum failed. Expected: b3d4, Got: 0942
Checksum failed. Expected: 8e3f, Got: 0942
Checksum failed. Expected: 47ab, Got: 0942
Checksum failed. Expected: 034d, Got: 0942
Checksum failed. Expected: e96e, Got: 0942
Checksum failed. Expected: e097, Got: 0942
Checksum failed. Expected: 37c6, Got: 0942
Checksum failed. Expected: 4bc1, Got: 0942
Checksum failed. Expected: 3fcf, Got: 0942
Checksum failed. Expected: fc7b, Got: 0942
Checksum failed. Expected: 6c5d, Got: 0942
Checksum failed. Expected: 4aef, Got: 0942
Checksum failed. Expected: 60f5, Got: 0942
Checksum failed. Expected: 7513, Got: 0942
Checksum failed. Expected: 3921, Got: 0942
Checksum failed. Expected: bb0f, Got: 0942
Checksum failed. Expected: 636b, Got: 0942
Checksum failed. Expected: d44e, Got: 0942
Checksum failed. Expected: 84fc, Got: 0942
Checksum failed. Expected: 3a15, Got: 0942
Checksum failed. Expected: 68c3, Got: 0942
Checksum failed. Expected: 4cd1, Got: 0942
Checksum failed. Expected: dc90, Got: 0942
Checksum failed. Expected: d80b, Got: 0942
Checksum failed. Expected: fd37, Got: 0942
Checksum failed. Expected: e69c, Got: 0942
Checksum failed. Expected: 3215, Got: 0942
Checksum failed. Expected: 4513, Got: 0942
Checksum failed. Expected: b6e2, Got: 0942
Checksum failed. Expected: ad0d, Got: 0942
Checksum failed. Expected: 855b, Got: 0942
Checksum failed. Expected: 11f7, Got: 0942
Checksum failed. Expected: 1a5c, Got: 0942
Checksum failed. Expected: 7b16, Got: 0942
Checksum failed. Expected: f241, Got: 0942
Checksum failed. Expected: 3dbf, Got: 0942
Checksum failed. Expected: d3ed, Got: 0942
Checksum failed. Expected: f5db, Got: 0942
Checksum failed. Expected: d475, Got: 0942
Checksum failed. Expected: fc80, Got: 0942
Checksum failed. Expected: 619f, Got: 0942
Checksum failed. Expected: 1b0d, Got: 0942
Checksum failed. Expected: 8ceb, Got: 0942
Checksum failed. Expected: d439, Got: 0942
Checksum failed. Expected: 6948, Got: 0942
Checksum failed. Expected: ec26, Got: 0942
Checksum failed. Expected: 4e0d, Got: 0942
Checksum failed. Expected: deef, Got: 0942
Checksum failed. Expected: f63d, Got: 0942
Checksum failed. Expected: 95a1, Got: 0942
Checksum failed. Expected: 1b3f, Got: 0942
Checksum failed. Expected: d04e, Got: 0942
Checksum failed. Expected: e559, Got: 0942
Checksum failed. Expected: dda7, Got: 0942
Checksum failed. Expected: 45f5, Got: 0942
Checksum failed. Expected: 6b16, Got: 0942
Checksum failed. Expected: 9120, Got: 0942
Checksum failed. Expected: 6c99, Got: 0942
Checksum failed. Expected: f4fb, Got: 0942
Checksum failed. Expected: 1089, Got: 0942
Checksum failed. Expected: 79e7, Got: 0942
Checksum failed. Expected: 2685, Got: 0942
Checksum failed. Expected: 4eb7, Got: 0942
Checksum failed. Expected: 33ad, Got: 0942
Checksum failed. Expected: 78d9, Got: 0942
Checksum failed. Expected: be1b, Got: 0942
Checksum failed. Expected: d779, Got: 0942
Checksum failed. Expected: 6738, Got: 0942
Checksum failed. Expected: 7d53, Got: 0942
Checksum failed. Expected: bae4, Got: 0942
Checksum failed. Expected: 6cbd, Got: 0942
Checksum failed. Expected: 2c99, Got: 0942
Checksum failed. Expected: 9fab, Got: 0942
Checksum failed. Expected: a7ea, Got: 0942
Checksum failed. Expected: 6be5, Got: 0942
Checksum failed. Expected: 8553, Got: 0942
Checksum failed. Expected: 8b68, Got: 0942
Checksum failed. Expected: 049b, Got: 0942
Checksum failed. Expected: acda, Got: 0942
Checksum failed. Expected: dca3, Got: 0942
Checksum failed. Expected: ad95, Got: 0942
Checksum failed. Expected: f5e3, Got: 0942
Checksum failed. Expected: dc21, Got: 0942
Checksum failed. Expected: fbc3, Got: 0942
Checksum failed. Expected: 14f9, Got: 0942
Checksum failed. Expected: e807, Got: 0942
Checksum failed. Expected: cc23, Got: 0942
Checksum failed. Expected: b265, Got: 0942
Checksum failed. Expected: cef3, Got: 0942
Checksum failed. Expected: 91e2, Got: 0942
Checksum failed. Expected: 14c0, Got: 0942
Checksum failed. Expected: 49c9, Got: 0942
Checksum failed. Expected: aaa7, Got: 0942
Checksum failed. Expected: eca3, Got: 0942
Checksum failed. Expected: c0b6, Got: 0942
Checksum failed. Expected: 1901, Got: 0942
Checksum failed. Expected: f9cf, Got: 0942
Checksum failed. Expected: 5cc0, Got: 0942
Checksum failed. Expected: fc79, Got: 0942
Checksum failed. Expected: fa27, Got: 0942
Checksum failed. Expected: 69d6, Got: 0942
