
#################################################################
Log started at 2025-06-13_14-54-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 8930, Got: 4775
Checksum failed. Expected: 9d19, Got: 1c75
Checksum failed. Expected: f163, Got: 1275
Checksum failed. Expected: 1705, Got: 8e75
Checksum failed. Expected: 7de8, Got: 0b75
Checksum failed. Expected: 9323, Got: 3075
Checksum failed. Expected: 21ed, Got: 6c75
Checksum failed. Expected: d3b4, Got: 8175
Checksum failed. Expected: eb49, Got: fe75
Checksum failed. Expected: 5fec, Got: 2d75
Checksum failed. Expected: 1dad, Got: 3075
Checksum failed. Expected: 39b4, Got: 1b75
Checksum failed. Expected: d1cf, Got: 9e75
Checksum failed. Expected: a746, Got: 3f75
Checksum failed. Expected: 135f, Got: ec75
Checksum failed. Expected: f108, Got: b775
Checksum failed. Expected: 4d48, Got: 9b75
Checksum failed. Expected: 336d, Got: da75
Checksum failed. Expected: 3972, Got: d975
Checksum failed. Expected: 5362, Got: af75
Checksum failed. Expected: ad07, Got: fa75
Checksum failed. Expected: c18e, Got: 6d75
Checksum failed. Expected: f533, Got: de75
Checksum failed. Expected: ab85, Got: 7a75
Checksum failed. Expected: bf57, Got: 3875
Checksum failed. Expected: 93ac, Got: b975
Checksum failed. Expected: f31b, Got: c875
Checksum failed. Expected: e561, Got: 1c75
Checksum failed. Expected: bf06, Got: e775
Checksum failed. Expected: 4b3c, Got: 9175
Checksum failed. Expected: d3ef, Got: bc75
Checksum failed. Expected: d15f, Got: 2e75
Checksum failed. Expected: 61c8, Got: 0775
Checksum failed. Expected: 37b0, Got: 1975
Checksum failed. Expected: ed33, Got: e675
Checksum failed. Expected: e107, Got: c675
Checksum failed. Expected: 4744, Got: 9d75
Checksum failed. Expected: cb82, Got: 5775
Checksum failed. Expected: 298a, Got: 0175
Checksum failed. Expected: 09e4, Got: 7b75
Checksum failed. Expected: e728, Got: e175
Checksum failed. Expected: 1775, Got: fe75
Checksum failed. Expected: 4d9e, Got: f175
