
#################################################################
Log started at 2025-06-13_14-56-34 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 29bb, Got: 3275
Checksum failed. Expected: b1e8, Got: d775
Checksum failed. Expected: 0f45, Got: d675
Checksum failed. Expected: dbe9, Got: ae75
Checksum failed. Expected: abec, Got: e175
Checksum failed. Expected: b92c, Got: 1375
Checksum failed. Expected: 6b33, Got: 6875
Checksum failed. Expected: 4953, Got: aa75
Checksum failed. Expected: 9bfd, Got: 0275
Checksum failed. Expected: 6d9a, Got: cd75
Checksum failed. Expected: 95d7, Got: e275
Checksum failed. Expected: 87a5, Got: be75
Checksum failed. Expected: 9792, Got: 9b75
Checksum failed. Expected: d374, Got: 4175
Checksum failed. Expected: 11ca, Got: 5975
Checksum failed. Expected: 5d13, Got: 5675
Checksum failed. Expected: 2967, Got: de75
Checksum failed. Expected: 1b54, Got: d975
Checksum failed. Expected: 933d, Got: 4a75
Checksum failed. Expected: b9d8, Got: bf75
Checksum failed. Expected: 559c, Got: e775
Checksum failed. Expected: f554, Got: ff75
Checksum failed. Expected: c1e9, Got: c875
Checksum failed. Expected: 0953, Got: ea75
Checksum failed. Expected: c7eb, Got: c475
Checksum failed. Expected: 0d94, Got: 2775
Checksum failed. Expected: eb39, Got: ee75
Checksum failed. Expected: e371, Got: 2e75
Checksum failed. Expected: d7c5, Got: 8e75
Checksum failed. Expected: c9bb, Got: 9275
Checksum failed. Expected: cd7c, Got: 4f75
Checksum failed. Expected: ad6c, Got: 5f75
Checksum failed. Expected: e7fa, Got: b375
Checksum failed. Expected: b988, Got: 6f75
Checksum failed. Expected: 57d2, Got: 1b75
Checksum failed. Expected: f1ec, Got: 9b75
Checksum failed. Expected: 47f3, Got: 4c75
Checksum failed. Expected: 9571, Got: 7c75
Checksum failed. Expected: 0be2, Got: 7775
Checksum failed. Expected: 5537, Got: 8275
Checksum failed. Expected: bff2, Got: d375
Checksum failed. Expected: 552e, Got: 7975
Checksum failed. Expected: 6d22, Got: 5575
Checksum failed. Expected: 0fe5, Got: 7675
Checksum failed. Expected: fd31, Got: d475
Checksum failed. Expected: bf3b, Got: 1c75
Checksum failed. Expected: 35cd, Got: 3875
Checksum failed. Expected: 3948, Got: af75
Checksum failed. Expected: 2d0b, Got: 7e75
Checksum failed. Expected: 9dcb, Got: ce75
Checksum failed. Expected: cf86, Got: 5775
Checksum failed. Expected: 65bb, Got: f675
Checksum failed. Expected: 87df, Got: f875
Checksum failed. Expected: f9c5, Got: 6c75
Checksum failed. Expected: 43c8, Got: 2575
Checksum failed. Expected: d549, Got: 1475
Checksum failed. Expected: 8d46, Got: 5975
Checksum failed. Expected: 2f09, Got: 7a75
Checksum failed. Expected: a352, Got: 4f75
Checksum failed. Expected: 7144, Got: 7375
Checksum failed. Expected: 6feb, Got: 1c75
Checksum failed. Expected: a923, Got: 1a75
Checksum failed. Expected: 276b, Got: e475
Checksum failed. Expected: 87f5, Got: 0e75
Checksum failed. Expected: 0bf3, Got: 8875
Checksum failed. Expected: cd61, Got: 3475
Checksum failed. Expected: 45b6, Got: 1175
Checksum failed. Expected: 75aa, Got: d575
Checksum failed. Expected: b16a, Got: 5975
Checksum failed. Expected: f3d5, Got: 8275
Checksum failed. Expected: c7ec, Got: c575
Checksum failed. Expected: e925, Got: dc75
Checksum failed. Expected: a7ce, Got: c775
Checksum failed. Expected: 4d97, Got: ea75
Checksum failed. Expected: 01af, Got: 4e75
Checksum failed. Expected: 8575, Got: 9075
Checksum failed. Expected: 4310, Got: 6d75
Checksum failed. Expected: e361, Got: 1e75
Checksum failed. Expected: bd8f, Got: 7275
Checksum failed. Expected: 2d6a, Got: dd75
Checksum failed. Expected: 6904, Got: 3b75
Checksum failed. Expected: 9105, Got: 1475
Checksum failed. Expected: 49ff, Got: 5675
Checksum failed. Expected: 7353, Got: 8075
Checksum failed. Expected: e93f, Got: f675
Checksum failed. Expected: 21e0, Got: 5f75
Checksum failed. Expected: 91d0, Got: df75
Checksum failed. Expected: 4153, Got: b275
Checksum failed. Expected: b3ee, Got: db75
Checksum failed. Expected: 777d, Got: a675
Checksum failed. Expected: 05c9, Got: 6475
Checksum failed. Expected: 8bbb, Got: d075
