
#################################################################
Log started at 2025-06-12_16-32-43 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: fbf4, Got: 3943
Checksum failed. Expected: 07af, Got: 3bed
Checksum failed. Expected: ae2f, Got: c82b
Checksum failed. Expected: e366, Got: c593
Checksum failed. Expected: e4ce, Got: 3c69
Checksum failed. Expected: 587e, Got: 33fd
Checksum failed. Expected: a6c1, Got: b5b7
Checksum failed. Expected: b8f5, Got: af5c
Checksum failed. Expected: 7525, Got: 3893
Checksum failed. Expected: be2b, Got: c2e9
Checksum failed. Expected: b1f5, Got: 4730
Checksum failed. Expected: 761f, Got: 4084
Checksum failed. Expected: 80ed, Got: c278
Checksum failed. Expected: b497, Got: 4354
Checksum failed. Expected: 9d0e, Got: b6da
Checksum failed. Expected: e4be, Got: 3254
Checksum failed. Expected: 78c1, Got: b3e3
Checksum failed. Expected: d1dd, Got: b056
Checksum failed. Expected: 5021, Got: b6c3
Checksum failed. Expected: cca5, Got: 3436
Checksum failed. Expected: 827b, Got: 3cdd
Checksum failed. Expected: 635f, Got: 3eaa
Checksum failed. Expected: 3b72, Got: c02a
Checksum failed. Expected: dc38, Got: bccc
Checksum failed. Expected: 0dd8, Got: c182
Checksum failed. Expected: 8272, Got: 4e52
Checksum failed. Expected: 32f1, Got: ca94
Checksum failed. Expected: e214, Got: c5f2
Checksum failed. Expected: 9be5, Got: 41bd
Checksum failed. Expected: 456e, Got: 4732
Checksum failed. Expected: 6e8c, Got: 422f
Checksum failed. Expected: d825, Got: 4663
Checksum failed. Expected: 6747, Got: 4992
Checksum failed. Expected: 3667, Got: 46f2
Checksum failed. Expected: 2189, Got: c9a4
Checksum failed. Expected: 9c44, Got: 4994
Checksum failed. Expected: 259f, Got: 41c4
Checksum failed. Expected: ad63, Got: 459f
Checksum failed. Expected: ea39, Got: c6fe
Checksum failed. Expected: 0d08, Got: c7b0
Checksum failed. Expected: 6e7c, Got: cbd6
Checksum failed. Expected: 0b99, Got: 5ef0
Checksum failed. Expected: a20c, Got: 586a
Checksum failed. Expected: 967c, Got: 517a
Checksum failed. Expected: 3d0a, Got: 4755
Checksum failed. Expected: edbb, Got: c166
Checksum failed. Expected: 8c3f, Got: 462c
Checksum failed. Expected: cd19, Got: cd30
Checksum failed. Expected: 435c, Got: 4db7
Checksum failed. Expected: a030, Got: 4a74
Checksum failed. Expected: 36ec, Got: 4f90
Checksum failed. Expected: 9372, Got: 51cc
Checksum failed. Expected: d33a, Got: c7fe
Checksum failed. Expected: c0a0, Got: be30
Checksum failed. Expected: 6f72, Got: 409e
Checksum failed. Expected: ad26, Got: c773
Checksum failed. Expected: 5e79, Got: 4d80
Checksum failed. Expected: 2ef0, Got: 4dc8
Checksum failed. Expected: a72c, Got: 4cc4
Checksum failed. Expected: 6e39, Got: 4b56
Checksum failed. Expected: 6f32, Got: 5269
Checksum failed. Expected: b501, Got: d9f6
Checksum failed. Expected: 71b6, Got: 5813
Checksum failed. Expected: 1b60, Got: 4be0
Checksum failed. Expected: d9cb, Got: cfcd
Checksum failed. Expected: 3422, Got: d235
Checksum failed. Expected: d310, Got: cc78
Checksum failed. Expected: 24a0, Got: cf0e
Checksum failed. Expected: 0a83, Got: d4ec
Checksum failed. Expected: 96d2, Got: 4d8b
Checksum failed. Expected: d886, Got: c73e
Checksum failed. Expected: 71ed, Got: c1de
