
#################################################################
Log started at 2025-06-12_16-33-55 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 0ead, Got: a7f0
Checksum failed. Expected: bc0c, Got: cccd
Checksum failed. Expected: 15b1, Got: f1aa
Checksum failed. Expected: a54b, Got: 1688
Checksum failed. Expected: ac4c, Got: 3b65
Checksum failed. Expected: d989, Got: 6042
Checksum failed. Expected: 3a9e, Got: 851f
Checksum failed. Expected: a323, Got: a9fc
Checksum failed. Expected: ebee, Got: ced9
Checksum failed. Expected: 405b, Got: f3b7
Checksum failed. Expected: 50d6, Got: 1894
Checksum failed. Expected: a3fc, Got: 3d71
Checksum failed. Expected: f431, Got: 624e
Checksum failed. Expected: 73ea, Got: 872b
Checksum failed. Expected: 7f59, Got: ac09
Checksum failed. Expected: 0561, Got: d0e6
Checksum failed. Expected: a0b6, Got: f5c3
Checksum failed. Expected: 892e, Got: 1aa0
Checksum failed. Expected: 85a8, Got: 3f7d
Checksum failed. Expected: a0e9, Got: 645b
Checksum failed. Expected: cd13, Got: 8938
Checksum failed. Expected: 7f96, Got: ae15
Checksum failed. Expected: 88db, Got: d2f2
Checksum failed. Expected: 6086, Got: f7cf
Checksum failed. Expected: ce44, Got: 1cac
Checksum failed. Expected: d882, Got: 418a
Checksum failed. Expected: 9262, Got: 6667
Checksum failed. Expected: c3d7, Got: 8b44
Checksum failed. Expected: 5e18, Got: b021
Checksum failed. Expected: 4149, Got: d4fe
Checksum failed. Expected: a59c, Got: f9dc
Checksum failed. Expected: 2b97, Got: 1eb9
Checksum failed. Expected: 194d, Got: 4396
Checksum failed. Expected: 2d2c, Got: 6873
Checksum failed. Expected: 61cb, Got: 8d50
Checksum failed. Expected: bd9a, Got: b22d
Checksum failed. Expected: 0dc1, Got: d70b
Checksum failed. Expected: 1c47, Got: fbe8
Checksum failed. Expected: 5da3, Got: 20c5
Checksum failed. Expected: 3633, Got: 45a2
Checksum failed. Expected: af98, Got: 6a7f
Checksum failed. Expected: 2a19, Got: 8f5d
Checksum failed. Expected: ca8d, Got: b43a
Checksum failed. Expected: 1898, Got: d917
Checksum failed. Expected: 9c97, Got: fdf4
Checksum failed. Expected: 4387, Got: 22d1
