
#################################################################
Log started at 2025-06-12_13-54-08 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=-2.187660, Y=0.734508, Z=-9.506729 m/s^2 Time of Week: 209.037000, Week Number: 0
Acceleration: X=-2.193077, Y=0.728231, Z=-9.501926 m/s^2 Time of Week: 209.047000, Week Number: 0
Acceleration: X=-2.194083, Y=0.707060, Z=-9.498779 m/s^2 Time of Week: 209.057000, Week Number: 0
Acceleration: X=-2.203739, Y=0.703674, Z=-9.486516 m/s^2 Time of Week: 209.067000, Week Number: 0
Acceleration: X=-2.207220, Y=0.703880, Z=-9.483330 m/s^2 Time of Week: 209.077000, Week Number: 0
Acceleration: X=-2.193708, Y=0.700390, Z=-9.513179 m/s^2 Time of Week: 209.087000, Week Number: 0
Acceleration: X=-2.188957, Y=0.717885, Z=-9.500086 m/s^2 Time of Week: 209.097000, Week Number: 0
Acceleration: X=-2.186698, Y=0.734219, Z=-9.510043 m/s^2 Time of Week: 209.107000, Week Number: 0
Acceleration: X=-2.187000, Y=0.742710, Z=-9.520916 m/s^2 Time of Week: 209.117000, Week Number: 0
Acceleration: X=-2.202868, Y=0.744971, Z=-9.521872 m/s^2 Time of Week: 209.127000, Week Number: 0
Acceleration: X=-2.198669, Y=0.731788, Z=-9.522907 m/s^2 Time of Week: 209.137000, Week Number: 0
Acceleration: X=-2.193264, Y=0.714433, Z=-9.507183 m/s^2 Time of Week: 209.147000, Week Number: 0
Acceleration: X=-2.194829, Y=0.706629, Z=-9.495228 m/s^2 Time of Week: 209.157000, Week Number: 0
Acceleration: X=-2.196113, Y=0.704955, Z=-9.499528 m/s^2 Time of Week: 209.167000, Week Number: 0
Acceleration: X=-2.204138, Y=0.714058, Z=-9.499634 m/s^2 Time of Week: 209.177000, Week Number: 0
Acceleration: X=-2.202318, Y=0.724331, Z=-9.500126 m/s^2 Time of Week: 209.187000, Week Number: 0
Acceleration: X=-2.196763, Y=0.724867, Z=-9.508063 m/s^2 Time of Week: 209.197000, Week Number: 0
Acceleration: X=-2.189942, Y=0.728259, Z=-9.516397 m/s^2 Time of Week: 209.207000, Week Number: 0
Acceleration: X=-2.187418, Y=0.729101, Z=-9.511812 m/s^2 Time of Week: 209.217000, Week Number: 0
Acceleration: X=-2.197274, Y=0.727922, Z=-9.509910 m/s^2 Time of Week: 209.227000, Week Number: 0
Acceleration: X=-2.199452, Y=0.723636, Z=-9.511331 m/s^2 Time of Week: 209.237000, Week Number: 0
Acceleration: X=-2.201788, Y=0.722296, Z=-9.494557 m/s^2 Time of Week: 209.247000, Week Number: 0
Acceleration: X=-2.200114, Y=0.719445, Z=-9.493312 m/s^2 Time of Week: 209.257000, Week Number: 0
Acceleration: X=-2.195488, Y=0.710173, Z=-9.501757 m/s^2 Time of Week: 209.267000, Week Number: 0
Acceleration: X=-2.191267, Y=0.707304, Z=-9.510282 m/s^2 Time of Week: 209.277000, Week Number: 0
Acceleration: X=-2.191894, Y=0.716449, Z=-9.500584 m/s^2 Time of Week: 209.287000, Week Number: 0
Acceleration: X=-2.193497, Y=0.729612, Z=-9.501959 m/s^2 Time of Week: 209.297000, Week Number: 0
Acceleration: X=-2.196981, Y=0.730241, Z=-9.518317 m/s^2 Time of Week: 209.307000, Week Number: 0
Acceleration: X=-2.192593, Y=0.732546, Z=-9.519886 m/s^2 Time of Week: 209.317000, Week Number: 0
Acceleration: X=-2.194039, Y=0.730344, Z=-9.507357 m/s^2 Time of Week: 209.327000, Week Number: 0
Acceleration: X=-2.199984, Y=0.715949, Z=-9.510600 m/s^2 Time of Week: 209.337000, Week Number: 0
Acceleration: X=-2.197968, Y=0.709297, Z=-9.514597 m/s^2 Time of Week: 209.347000, Week Number: 0
Acceleration: X=-2.201476, Y=0.714164, Z=-9.498938 m/s^2 Time of Week: 209.357000, Week Number: 0
Acceleration: X=-2.198208, Y=0.721134, Z=-9.494505 m/s^2 Time of Week: 209.367000, Week Number: 0
Acceleration: X=-2.195932, Y=0.726782, Z=-9.505054 m/s^2 Time of Week: 209.377000, Week Number: 0
Acceleration: X=-2.189910, Y=0.727318, Z=-9.515996 m/s^2 Time of Week: 209.387000, Week Number: 0
Acceleration: X=-2.197159, Y=0.727247, Z=-9.509826 m/s^2 Time of Week: 209.397000, Week Number: 0
Acceleration: X=-2.190841, Y=0.726046, Z=-9.502849 m/s^2 Time of Week: 209.407000, Week Number: 0
Acceleration: X=-2.196625, Y=0.729408, Z=-9.498599 m/s^2 Time of Week: 209.417000, Week Number: 0
Acceleration: X=-2.200791, Y=0.714409, Z=-9.511896 m/s^2 Time of Week: 209.427000, Week Number: 0
Acceleration: X=-2.198786, Y=0.713703, Z=-9.505485 m/s^2 Time of Week: 209.437000, Week Number: 0
Acceleration: X=-2.195540, Y=0.719727, Z=-9.493124 m/s^2 Time of Week: 209.447000, Week Number: 0
Acceleration: X=-2.195901, Y=0.714611, Z=-9.509266 m/s^2 Time of Week: 209.457000, Week Number: 0
Acceleration: X=-2.201142, Y=0.716119, Z=-9.511813 m/s^2 Time of Week: 209.467000, Week Number: 0
Acceleration: X=-2.203887, Y=0.715073, Z=-9.500926 m/s^2 Time of Week: 209.477000, Week Number: 0
Acceleration: X=-2.192046, Y=0.659624, Z=-9.525981 m/s^2 Time of Week: 209.487000, Week Number: 0
Acceleration: X=-2.189995, Y=0.720682, Z=-9.538336 m/s^2 Time of Week: 209.497000, Week Number: 0
Acceleration: X=-2.187232, Y=0.701482, Z=-9.616503 m/s^2 Time of Week: 209.507000, Week Number: 0
Acceleration: X=-2.164884, Y=0.741844, Z=-9.445070 m/s^2 Time of Week: 209.517000, Week Number: 0
Acceleration: X=-2.191991, Y=0.740418, Z=-9.477730 m/s^2 Time of Week: 209.527000, Week Number: 0
Acceleration: X=-2.201749, Y=0.668002, Z=-9.614432 m/s^2 Time of Week: 209.537000, Week Number: 0
Acceleration: X=-2.196500, Y=0.705224, Z=-9.517873 m/s^2 Time of Week: 209.547000, Week Number: 0
Acceleration: X=-2.201465, Y=0.732138, Z=-9.437273 m/s^2 Time of Week: 209.557000, Week Number: 0
