
#################################################################
Log started at 2025-06-16_16-13-41.134051 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=0.367476, Y=0.150958, Z=9.803360 m/s^2 Time of Week: 116022.255410, Week Number: 2371
Acceleration: X=0.368252, Y=0.154408, Z=9.799977 m/s^2 Time of Week: 116022.258410, Week Number: 2371
Acceleration: X=0.366510, Y=0.156856, Z=9.801376 m/s^2 Time of Week: 116022.261410, Week Number: 2371
Acceleration: X=0.368755, Y=0.156246, Z=9.807997 m/s^2 Time of Week: 116022.264410, Week Number: 2371
Acceleration: X=0.368603, Y=0.159462, Z=9.804742 m/s^2 Time of Week: 116022.267410, Week Number: 2371
Acceleration: X=0.365171, Y=0.160103, Z=9.804659 m/s^2 Time of Week: 116022.270410, Week Number: 2371
Acceleration: X=0.367243, Y=0.159058, Z=9.805302 m/s^2 Time of Week: 116022.273410, Week Number: 2371
Acceleration: X=0.366134, Y=0.155846, Z=9.809767 m/s^2 Time of Week: 116022.276410, Week Number: 2371
Acceleration: X=0.365023, Y=0.157124, Z=9.812323 m/s^2 Time of Week: 116022.279410, Week Number: 2371
Acceleration: X=0.360450, Y=0.154010, Z=9.812372 m/s^2 Time of Week: 116022.282410, Week Number: 2371
