
#################################################################
Log started at 2025-06-13_14-54-34 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: b159, Got: 3c4b
Checksum failed. Expected: f107, Got: 4a84
Checksum failed. Expected: a0c4, Got: 8a92
Checksum failed. Expected: dacc, Got: a026
Checksum failed. Expected: 1f1f, Got: 6bb1
Checksum failed. Expected: 8383, Got: 408d
Checksum failed. Expected: 2752, Got: 4b45
Checksum failed. Expected: 4ccc, Got: 8794
Checksum failed. Expected: 9524, Got: c688
Checksum failed. Expected: e545, Got: e4c4
Checksum failed. Expected: 07ce, Got: c4ba
Checksum failed. Expected: 6073, Got: bce2
Checksum failed. Expected: 9a11, Got: d346
Checksum failed. Expected: 7cf0, Got: fd09
Checksum failed. Expected: e209, Got: 03a9
Checksum failed. Expected: c51c, Got: fdb8
Checksum failed. Expected: 882d, Got: f216
Checksum failed. Expected: a31f, Got: 0231
Checksum failed. Expected: 3bff, Got: 151f
Checksum failed. Expected: 3d6b, Got: 245f
Checksum failed. Expected: 31b0, Got: 2376
Checksum failed. Expected: 5d25, Got: 21c1
Checksum failed. Expected: e421, Got: 3072
Checksum failed. Expected: 3262, Got: 3ea6
Checksum failed. Expected: 964f, Got: 52c3
Checksum failed. Expected: 1c42, Got: 46d3
Checksum failed. Expected: 0444, Got: 3342
Checksum failed. Expected: ad4a, Got: 3634
Checksum failed. Expected: 01a1, Got: 2c62
Checksum failed. Expected: fbd5, Got: 318f
Checksum failed. Expected: 7820, Got: 1f1a
Checksum failed. Expected: 8fe7, Got: 1931
Checksum failed. Expected: 3690, Got: 1c41
Checksum failed. Expected: 96fc, Got: f73d
Checksum failed. Expected: da87, Got: edc2
Checksum failed. Expected: d9f1, Got: 0812
Checksum failed. Expected: fcae, Got: 030f
Checksum failed. Expected: c088, Got: c0dc
Checksum failed. Expected: ed69, Got: 91f8
Checksum failed. Expected: 12d4, Got: 86b5
Checksum failed. Expected: fd7e, Got: 7df6
Checksum failed. Expected: 84be, Got: 9735
Checksum failed. Expected: e6f7, Got: 8812
Checksum failed. Expected: f45c, Got: 62e1
Checksum failed. Expected: fe2d, Got: 4dda
Checksum failed. Expected: 768f, Got: 48cd
Checksum failed. Expected: 8b60, Got: 3e9f
Checksum failed. Expected: 43dd, Got: fc9b
Checksum failed. Expected: e4a1, Got: e6cc
Checksum failed. Expected: 9f30, Got: e4a5
Checksum failed. Expected: a984, Got: 0257
Checksum failed. Expected: 7669, Got: d2a0
Checksum failed. Expected: 0e3f, Got: d347
Checksum failed. Expected: 226f, Got: c467
Checksum failed. Expected: 7fea, Got: b1a3
Checksum failed. Expected: 09b5, Got: 91d5
Checksum failed. Expected: 769b, Got: 9972
Checksum failed. Expected: 6c78, Got: 984b
Checksum failed. Expected: a2ef, Got: 97e0
Checksum failed. Expected: 5adb, Got: 8b9a
Checksum failed. Expected: d302, Got: 8582
Checksum failed. Expected: 0832, Got: 6bcf
Checksum failed. Expected: 3b6a, Got: 4d68
Checksum failed. Expected: 8082, Got: 6433
Checksum failed. Expected: 15c2, Got: 576f
Checksum failed. Expected: 9f86, Got: 4243
Checksum failed. Expected: 47ba, Got: 433b
Checksum failed. Expected: 5380, Got: 589f
Checksum failed. Expected: 2b68, Got: 75f6
Checksum failed. Expected: 6760, Got: 8942
Checksum failed. Expected: 63a9, Got: 78a3
Checksum failed. Expected: c8f8, Got: 7a9b
Checksum failed. Expected: a3b3, Got: 996d
