
#################################################################
Log started at 2025-06-12_15-58-59 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: aae8, Got: 9f2a
Checksum failed. Expected: fe5b, Got: a130
Checksum failed. Expected: 3da8, Got: 174a
Checksum failed. Expected: 48f7, Got: 1a0f
Checksum failed. Expected: e569, Got: a84e
Checksum failed. Expected: 4143, Got: 2b5f
Checksum failed. Expected: 0e6a, Got: 2298
Checksum failed. Expected: ec25, Got: 2659
Checksum failed. Expected: cbfe, Got: 23fd
Checksum failed. Expected: 54a2, Got: aec3
Checksum failed. Expected: 3323, Got: b4b8
Checksum failed. Expected: 75ed, Got: 2d11
Checksum failed. Expected: 66fd, Got: ab92
Checksum failed. Expected: 9972, Got: ace9
Checksum failed. Expected: 7e56, Got: 2c14
Checksum failed. Expected: 458b, Got: 2edc
Checksum failed. Expected: 2df4, Got: 2bc1
Checksum failed. Expected: db59, Got: 237d
Checksum failed. Expected: be74, Got: 1e64
Checksum failed. Expected: 498b, Got: 23ec
Checksum failed. Expected: b3e0, Got: ae98
Checksum failed. Expected: 8a97, Got: b11e
Checksum failed. Expected: 42b4, Got: 2f14
Checksum failed. Expected: f235, Got: a90b
Checksum failed. Expected: 1346, Got: a51d
Checksum failed. Expected: b531, Got: ab6c
Checksum failed. Expected: eaac, Got: ab29
Checksum failed. Expected: 0a5a, Got: 24fa
Checksum failed. Expected: dd22, Got: a3a8
Checksum failed. Expected: 30b0, Got: a7f6
Checksum failed. Expected: daa5, Got: 298b
Checksum failed. Expected: e983, Got: ad0a
Checksum failed. Expected: 18fe, Got: b221
Checksum failed. Expected: 4134, Got: 2d32
Checksum failed. Expected: d4ef, Got: a7a8
Checksum failed. Expected: a9a5, Got: ad66
Checksum failed. Expected: f9ca, Got: aff3
Checksum failed. Expected: 18c8, Got: 377b
Checksum failed. Expected: fb01, Got: ab80
Checksum failed. Expected: d695, Got: a851
Checksum failed. Expected: edcd, Got: aac5
Checksum failed. Expected: 0b62, Got: 218b
Checksum failed. Expected: 0ef8, Got: 9a59
Checksum failed. Expected: a5fc, Got: 97e1
Checksum failed. Expected: 7bfa, Got: 8bbc
Checksum failed. Expected: faa3, Got: 02b5
Checksum failed. Expected: d129, Got: 8af5
Checksum failed. Expected: 83d6, Got: 193c
Checksum failed. Expected: 7218, Got: 97fc
Checksum failed. Expected: 8031, Got: 9517

Exiting...
