
#################################################################
Log started at 2025-06-12_16-18-36 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 2e45, Got: b852
Checksum failed. Expected: 31ac, Got: 26ea
Checksum failed. Expected: 5c30, Got: 9581
Checksum failed. Expected: b43d, Got: 0419
Checksum failed. Expected: 486b, Got: 72b0
Checksum failed. Expected: f215, Got: e148
Checksum failed. Expected: 0759, Got: 4fe0
Checksum failed. Expected: 2425, Got: be77
Checksum failed. Expected: 76d2, Got: 2d0f
Checksum failed. Expected: dea4, Got: 9ba6
Checksum failed. Expected: 3065, Got: 0a3e
Checksum failed. Expected: 1d7d, Got: 78d5
Checksum failed. Expected: 5099, Got: e76d
Checksum failed. Expected: aedb, Got: 5604
Checksum failed. Expected: d83a, Got: c49c
Checksum failed. Expected: 6966, Got: 3334
Checksum failed. Expected: d348, Got: a1cb
Checksum failed. Expected: b1bd, Got: 1063
Checksum failed. Expected: 4b3f, Got: 7efa
Checksum failed. Expected: 5b7d, Got: ed92
Checksum failed. Expected: 0b3b, Got: 5c29
Checksum failed. Expected: 00d6, Got: cac1
Checksum failed. Expected: e69c, Got: 3958
Checksum failed. Expected: 101d, Got: a7f0
Checksum failed. Expected: f08f, Got: 1688
Checksum failed. Expected: 26a5, Got: 851f
Checksum failed. Expected: 3e33, Got: f3b7
Checksum failed. Expected: faad, Got: 624e
Checksum failed. Expected: a1e2, Got: d0e6
Checksum failed. Expected: b100, Got: 3f7d
Checksum failed. Expected: 6a47, Got: ae15
Checksum failed. Expected: fc6d, Got: 1cac
Checksum failed. Expected: e45a, Got: 8b44
Checksum failed. Expected: 3b53, Got: f9db
Checksum failed. Expected: 903e, Got: 6873
Checksum failed. Expected: d30a, Got: d70b
Checksum failed. Expected: 17e0, Got: 45a2
Checksum failed. Expected: 7331, Got: b43a
Checksum failed. Expected: 35eb, Got: 22d1
Checksum failed. Expected: b20a, Got: 9169
Checksum failed. Expected: 09d3, Got: 0000
Checksum failed. Expected: c63c, Got: 6e98
Checksum failed. Expected: 2d29, Got: dd2f
Checksum failed. Expected: 0854, Got: 4bc7
Checksum failed. Expected: 2c82, Got: ba5f
Checksum failed. Expected: e078, Got: 28f6
Checksum failed. Expected: e831, Got: 978e
Checksum failed. Expected: 8701, Got: 0625
