
#################################################################
Log started at 2025-06-12_13-40-34 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 98e3, Got: 0004
Checksum failed. Expected: a145, Got: 25a1
Checksum failed. Expected: c27c, Got: da74
Acceleration: X=0.175701, Y=1.139906, Z=-9.733316 m/s^2 Time of Week: 366054.474000, Week Number: 2370
Acceleration: X=0.186459, Y=1.123320, Z=-9.725249 m/s^2 Time of Week: 366054.484000, Week Number: 2370
Acceleration: X=0.197242, Y=1.110722, Z=-9.732410 m/s^2 Time of Week: 366054.494000, Week Number: 2370
Acceleration: X=0.202380, Y=1.109295, Z=-9.733806 m/s^2 Time of Week: 366054.504000, Week Number: 2370
Acceleration: X=0.190520, Y=1.119223, Z=-9.728755 m/s^2 Time of Week: 366054.514000, Week Number: 2370
Acceleration: X=0.174028, Y=1.135335, Z=-9.724547 m/s^2 Time of Week: 366054.524000, Week Number: 2370
Acceleration: X=0.176194, Y=1.133825, Z=-9.717979 m/s^2 Time of Week: 366054.534000, Week Number: 2370
Acceleration: X=0.183596, Y=1.130886, Z=-9.754576 m/s^2 Time of Week: 366054.544000, Week Number: 2370
Acceleration: X=0.195405, Y=1.120279, Z=-9.735938 m/s^2 Time of Week: 366054.554000, Week Number: 2370
Acceleration: X=0.201420, Y=1.130210, Z=-9.736978 m/s^2 Time of Week: 366054.564000, Week Number: 2370
Acceleration: X=0.177702, Y=1.129140, Z=-9.772822 m/s^2 Time of Week: 366054.574000, Week Number: 2370
Acceleration: X=0.182594, Y=1.153404, Z=-9.684360 m/s^2 Time of Week: 366054.584000, Week Number: 2370
Acceleration: X=0.187510, Y=1.146787, Z=-9.662417 m/s^2 Time of Week: 366054.594000, Week Number: 2370
Acceleration: X=0.194601, Y=1.113949, Z=-9.700033 m/s^2 Time of Week: 366054.604000, Week Number: 2370
Acceleration: X=0.199771, Y=1.083923, Z=-9.652410 m/s^2 Time of Week: 366054.614000, Week Number: 2370
Acceleration: X=0.177273, Y=1.059526, Z=-9.681395 m/s^2 Time of Week: 366054.624000, Week Number: 2370
Acceleration: X=0.162417, Y=1.074677, Z=-9.705019 m/s^2 Time of Week: 366054.634000, Week Number: 2370
Acceleration: X=0.170867, Y=1.113519, Z=-9.703850 m/s^2 Time of Week: 366054.644000, Week Number: 2370
Acceleration: X=0.191434, Y=1.149249, Z=-9.728367 m/s^2 Time of Week: 366054.654000, Week Number: 2370
Acceleration: X=0.212629, Y=1.168693, Z=-9.763948 m/s^2 Time of Week: 366054.664000, Week Number: 2370
Acceleration: X=0.220100, Y=1.176761, Z=-9.738629 m/s^2 Time of Week: 366054.674000, Week Number: 2370
Acceleration: X=0.205913, Y=1.163600, Z=-9.739296 m/s^2 Time of Week: 366054.684000, Week Number: 2370
Acceleration: X=0.182707, Y=1.144228, Z=-9.709644 m/s^2 Time of Week: 366054.694000, Week Number: 2370
Acceleration: X=0.176544, Y=1.112914, Z=-9.678036 m/s^2 Time of Week: 366054.704000, Week Number: 2370
Acceleration: X=0.179753, Y=1.092705, Z=-9.680301 m/s^2 Time of Week: 366054.714000, Week Number: 2370
Acceleration: X=0.198612, Y=1.099096, Z=-9.709713 m/s^2 Time of Week: 366054.724000, Week Number: 2370
Acceleration: X=0.204636, Y=1.120630, Z=-9.717277 m/s^2 Time of Week: 366054.734000, Week Number: 2370
Acceleration: X=0.200124, Y=1.158168, Z=-9.735185 m/s^2 Time of Week: 366054.744000, Week Number: 2370
Acceleration: X=0.188683, Y=1.184998, Z=-9.740727 m/s^2 Time of Week: 366054.754000, Week Number: 2370
Acceleration: X=0.197598, Y=1.192160, Z=-9.728219 m/s^2 Time of Week: 366054.764000, Week Number: 2370
Acceleration: X=0.208537, Y=1.178646, Z=-9.729177 m/s^2 Time of Week: 366054.774000, Week Number: 2370
Acceleration: X=0.216587, Y=1.153898, Z=-9.721161 m/s^2 Time of Week: 366054.784000, Week Number: 2370
Acceleration: X=0.214267, Y=1.131336, Z=-9.697444 m/s^2 Time of Week: 366054.794000, Week Number: 2370
Acceleration: X=0.183761, Y=1.128718, Z=-9.693601 m/s^2 Time of Week: 366054.804000, Week Number: 2370
Acceleration: X=0.168980, Y=1.133007, Z=-9.695618 m/s^2 Time of Week: 366054.814000, Week Number: 2370
Acceleration: X=0.180525, Y=1.154404, Z=-9.713454 m/s^2 Time of Week: 366054.824000, Week Number: 2370
Acceleration: X=0.201102, Y=1.165661, Z=-9.737856 m/s^2 Time of Week: 366054.834000, Week Number: 2370
Acceleration: X=0.225746, Y=1.178741, Z=-9.730167 m/s^2 Time of Week: 366054.844000, Week Number: 2370
Acceleration: X=0.231608, Y=1.183840, Z=-9.713932 m/s^2 Time of Week: 366054.854000, Week Number: 2370
Acceleration: X=0.204571, Y=1.185503, Z=-9.732146 m/s^2 Time of Week: 366054.864000, Week Number: 2370
Acceleration: X=0.189911, Y=1.174086, Z=-9.732771 m/s^2 Time of Week: 366054.874000, Week Number: 2370
Acceleration: X=0.186877, Y=1.165730, Z=-9.704921 m/s^2 Time of Week: 366054.884000, Week Number: 2370
Acceleration: X=0.187474, Y=1.141144, Z=-9.685735 m/s^2 Time of Week: 366054.894000, Week Number: 2370
Acceleration: X=0.209239, Y=1.132997, Z=-9.699253 m/s^2 Time of Week: 366054.904000, Week Number: 2370
Acceleration: X=0.218538, Y=1.141117, Z=-9.710546 m/s^2 Time of Week: 366054.914000, Week Number: 2370
Acceleration: X=0.211022, Y=1.155278, Z=-9.709585 m/s^2 Time of Week: 366054.924000, Week Number: 2370
Acceleration: X=0.198369, Y=1.179120, Z=-9.714532 m/s^2 Time of Week: 366054.934000, Week Number: 2370
Acceleration: X=0.189839, Y=1.189852, Z=-9.718101 m/s^2 Time of Week: 366054.944000, Week Number: 2370
Acceleration: X=0.199263, Y=1.196206, Z=-9.726686 m/s^2 Time of Week: 366054.954000, Week Number: 2370
Acceleration: X=0.213236, Y=1.184862, Z=-9.715190 m/s^2 Time of Week: 366054.964000, Week Number: 2370
Acceleration: X=0.250767, Y=1.144693, Z=-9.644342 m/s^2 Time of Week: 366054.974000, Week Number: 2370
Acceleration: X=0.198975, Y=1.139053, Z=-9.732340 m/s^2 Time of Week: 366054.984000, Week Number: 2370
Acceleration: X=0.180114, Y=1.152620, Z=-9.788132 m/s^2 Time of Week: 366054.994000, Week Number: 2370
Acceleration: X=0.193936, Y=1.189690, Z=-9.663107 m/s^2 Time of Week: 366055.004000, Week Number: 2370
Acceleration: X=0.207050, Y=1.210853, Z=-9.705563 m/s^2 Time of Week: 366055.014000, Week Number: 2370
Acceleration: X=0.230662, Y=1.210408, Z=-9.704505 m/s^2 Time of Week: 366055.024000, Week Number: 2370
Acceleration: X=0.239985, Y=1.191071, Z=-9.699983 m/s^2 Time of Week: 366055.034000, Week Number: 2370
Acceleration: X=0.197794, Y=1.180452, Z=-9.691759 m/s^2 Time of Week: 366055.044000, Week Number: 2370
Acceleration: X=0.188366, Y=1.152956, Z=-9.722164 m/s^2 Time of Week: 366055.054000, Week Number: 2370
Acceleration: X=0.193448, Y=1.155647, Z=-9.819716 m/s^2 Time of Week: 366055.064000, Week Number: 2370
Acceleration: X=0.224521, Y=1.196670, Z=-9.679407 m/s^2 Time of Week: 366055.074000, Week Number: 2370
Acceleration: X=0.240200, Y=1.214225, Z=-9.669110 m/s^2 Time of Week: 366055.084000, Week Number: 2370
Acceleration: X=0.219523, Y=1.208768, Z=-9.712709 m/s^2 Time of Week: 366055.094000, Week Number: 2370
Acceleration: X=0.207016, Y=1.192138, Z=-9.757589 m/s^2 Time of Week: 366055.104000, Week Number: 2370
Acceleration: X=0.200510, Y=1.182825, Z=-9.722771 m/s^2 Time of Week: 366055.114000, Week Number: 2370
Acceleration: X=0.203176, Y=1.166664, Z=-9.642527 m/s^2 Time of Week: 366055.124000, Week Number: 2370
Acceleration: X=0.210937, Y=1.161071, Z=-9.674757 m/s^2 Time of Week: 366055.134000, Week Number: 2370
Acceleration: X=0.222976, Y=1.167572, Z=-9.765588 m/s^2 Time of Week: 366055.144000, Week Number: 2370
Acceleration: X=0.216595, Y=1.193323, Z=-9.726172 m/s^2 Time of Week: 366055.154000, Week Number: 2370
Acceleration: X=0.204490, Y=1.223306, Z=-9.658082 m/s^2 Time of Week: 366055.164000, Week Number: 2370
Acceleration: X=0.199862, Y=1.188057, Z=-9.700837 m/s^2 Time of Week: 366055.174000, Week Number: 2370
Acceleration: X=0.213023, Y=1.190370, Z=-9.759802 m/s^2 Time of Week: 366055.184000, Week Number: 2370
Acceleration: X=0.236057, Y=1.191067, Z=-9.705387 m/s^2 Time of Week: 366055.194000, Week Number: 2370
Acceleration: X=0.221255, Y=1.188812, Z=-9.672374 m/s^2 Time of Week: 366055.204000, Week Number: 2370
Acceleration: X=0.196914, Y=1.187087, Z=-9.701767 m/s^2 Time of Week: 366055.214000, Week Number: 2370
Acceleration: X=0.193469, Y=1.174877, Z=-9.741370 m/s^2 Time of Week: 366055.224000, Week Number: 2370
Acceleration: X=0.202939, Y=1.192189, Z=-9.735437 m/s^2 Time of Week: 366055.234000, Week Number: 2370
Acceleration: X=0.218671, Y=1.205702, Z=-9.701327 m/s^2 Time of Week: 366055.244000, Week Number: 2370
Acceleration: X=0.237941, Y=1.205145, Z=-9.708336 m/s^2 Time of Week: 366055.254000, Week Number: 2370
Acceleration: X=0.235797, Y=1.205209, Z=-9.718415 m/s^2 Time of Week: 366055.264000, Week Number: 2370
Acceleration: X=0.215458, Y=1.204022, Z=-9.727227 m/s^2 Time of Week: 366055.274000, Week Number: 2370
Acceleration: X=0.201430, Y=1.199670, Z=-9.724735 m/s^2 Time of Week: 366055.284000, Week Number: 2370
Acceleration: X=0.188441, Y=1.188572, Z=-9.686139 m/s^2 Time of Week: 366055.294000, Week Number: 2370

Exiting...
