
#################################################################
Log started at 2025-06-13_16-13-54 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=-0.094229, Y=-0.625565, Z=9.782741 m/s^2 Time of Week: 461654.413000, Week Number: 2370
Acceleration: X=-0.090025, Y=-0.634602, Z=9.784578 m/s^2 Time of Week: 461654.414000, Week Number: 2370
Acceleration: X=-0.091818, Y=-0.634016, Z=9.780978 m/s^2 Time of Week: 461654.415000, Week Number: 2370
Acceleration: X=-0.099579, Y=-0.628554, Z=9.776745 m/s^2 Time of Week: 461654.416000, Week Number: 2370
Acceleration: X=-0.101421, Y=-0.630340, Z=9.779723 m/s^2 Time of Week: 461654.417000, Week Number: 2370
Acceleration: X=-0.100194, Y=-0.630357, Z=9.785133 m/s^2 Time of Week: 461654.418000, Week Number: 2370
Acceleration: X=-0.100185, Y=-0.630343, Z=9.783924 m/s^2 Time of Week: 461654.419000, Week Number: 2370
Acceleration: X=-0.104398, Y=-0.632073, Z=9.783322 m/s^2 Time of Week: 461654.420000, Week Number: 2370
Acceleration: X=-0.105036, Y=-0.635122, Z=9.780344 m/s^2 Time of Week: 461654.421000, Week Number: 2370
Acceleration: X=-0.100252, Y=-0.639375, Z=9.780966 m/s^2 Time of Week: 461654.422000, Week Number: 2370
Acceleration: X=-0.100187, Y=-0.635780, Z=9.785157 m/s^2 Time of Week: 461654.423000, Week Number: 2370
Acceleration: X=-0.101997, Y=-0.632783, Z=9.783926 m/s^2 Time of Week: 461654.424000, Week Number: 2370
Acceleration: X=-0.099611, Y=-0.632791, Z=9.782754 m/s^2 Time of Week: 461654.425000, Week Number: 2370
Acceleration: X=-0.097186, Y=-0.632779, Z=9.776170 m/s^2 Time of Week: 461654.426000, Week Number: 2370
Acceleration: X=-0.097166, Y=-0.626737, Z=9.774945 m/s^2 Time of Week: 461654.427000, Week Number: 2370
Acceleration: X=-0.101371, Y=-0.627354, Z=9.774332 m/s^2 Time of Week: 461654.428000, Week Number: 2370
Acceleration: X=-0.103201, Y=-0.636993, Z=9.773768 m/s^2 Time of Week: 461654.429000, Week Number: 2370
Acceleration: X=-0.103777, Y=-0.641190, Z=9.772610 m/s^2 Time of Week: 461654.430000, Week Number: 2370
Acceleration: X=-0.103161, Y=-0.642364, Z=9.771427 m/s^2 Time of Week: 461654.431000, Week Number: 2370
Acceleration: X=-0.100761, Y=-0.634567, Z=9.773181 m/s^2 Time of Week: 461654.432000, Week Number: 2370
Acceleration: X=-0.097157, Y=-0.628004, Z=9.776756 m/s^2 Time of Week: 461654.433000, Week Number: 2370
Acceleration: X=-0.098350, Y=-0.626206, Z=9.777329 m/s^2 Time of Week: 461654.434000, Week Number: 2370
Acceleration: X=-0.101330, Y=-0.620770, Z=9.774902 m/s^2 Time of Week: 461654.435000, Week Number: 2370
Acceleration: X=-0.106142, Y=-0.629155, Z=9.769519 m/s^2 Time of Week: 461654.436000, Week Number: 2370
Acceleration: X=-0.102007, Y=-0.635211, Z=9.768328 m/s^2 Time of Week: 461654.437000, Week Number: 2370
Acceleration: X=-0.100218, Y=-0.639978, Z=9.777363 m/s^2 Time of Week: 461654.438000, Week Number: 2370
Acceleration: X=-0.101932, Y=-0.634562, Z=9.780977 m/s^2 Time of Week: 461654.439000, Week Number: 2370
Acceleration: X=-0.106081, Y=-0.630946, Z=9.782774 m/s^2 Time of Week: 461654.440000, Week Number: 2370
Acceleration: X=-0.105528, Y=-0.635133, Z=9.785780 m/s^2 Time of Week: 461654.441000, Week Number: 2370
Acceleration: X=-0.104867, Y=-0.622478, Z=9.791719 m/s^2 Time of Week: 461654.442000, Week Number: 2370
Acceleration: X=-0.102482, Y=-0.618924, Z=9.786898 m/s^2 Time of Week: 461654.443000, Week Number: 2370
Acceleration: X=-0.103137, Y=-0.617748, Z=9.784466 m/s^2 Time of Week: 461654.444000, Week Number: 2370
Acceleration: X=-0.105547, Y=-0.621948, Z=9.785079 m/s^2 Time of Week: 461654.445000, Week Number: 2370
Acceleration: X=-0.104920, Y=-0.622536, Z=9.786322 m/s^2 Time of Week: 461654.446000, Week Number: 2370
Acceleration: X=-0.105531, Y=-0.625525, Z=9.789925 m/s^2 Time of Week: 461654.447000, Week Number: 2370
Acceleration: X=-0.112729, Y=-0.623701, Z=9.789884 m/s^2 Time of Week: 461654.448000, Week Number: 2370
Acceleration: X=-0.116307, Y=-0.619500, Z=9.789268 m/s^2 Time of Week: 461654.449000, Week Number: 2370
Acceleration: X=-0.114535, Y=-0.616518, Z=9.789829 m/s^2 Time of Week: 461654.450000, Week Number: 2370
Acceleration: X=-0.112792, Y=-0.617160, Z=9.794614 m/s^2 Time of Week: 461654.451000, Week Number: 2370
Acceleration: X=-0.112819, Y=-0.621906, Z=9.796449 m/s^2 Time of Week: 461654.452000, Week Number: 2370
Acceleration: X=-0.106788, Y=-0.623098, Z=9.795883 m/s^2 Time of Week: 461654.453000, Week Number: 2370
Acceleration: X=-0.103192, Y=-0.624914, Z=9.796504 m/s^2 Time of Week: 461654.454000, Week Number: 2370
Acceleration: X=-0.100817, Y=-0.623162, Z=9.799477 m/s^2 Time of Week: 461654.455000, Week Number: 2370
Acceleration: X=-0.095979, Y=-0.611182, Z=9.799448 m/s^2 Time of Week: 461654.456000, Week Number: 2370
Acceleration: X=-0.095950, Y=-0.611795, Z=9.792883 m/s^2 Time of Week: 461654.457000, Week Number: 2370
Acceleration: X=-0.098372, Y=-0.614165, Z=9.795249 m/s^2 Time of Week: 461654.458000, Week Number: 2370
Acceleration: X=-0.100741, Y=-0.616563, Z=9.802440 m/s^2 Time of Week: 461654.459000, Week Number: 2370
Acceleration: X=-0.100169, Y=-0.617209, Z=9.794657 m/s^2 Time of Week: 461654.460000, Week Number: 2370
Acceleration: X=-0.101388, Y=-0.615997, Z=9.785053 m/s^2 Time of Week: 461654.461000, Week Number: 2370
Acceleration: X=-0.102548, Y=-0.610566, Z=9.784461 m/s^2 Time of Week: 461654.462000, Week Number: 2370
Acceleration: X=-0.105512, Y=-0.608760, Z=9.785672 m/s^2 Time of Week: 461654.463000, Week Number: 2370
Acceleration: X=-0.108555, Y=-0.612325, Z=9.792233 m/s^2 Time of Week: 461654.464000, Week Number: 2370
Acceleration: X=-0.096563, Y=-0.612976, Z=9.791060 m/s^2 Time of Week: 461654.465000, Week Number: 2370
Acceleration: X=-0.091744, Y=-0.610614, Z=9.791676 m/s^2 Time of Week: 461654.466000, Week Number: 2370
Acceleration: X=-0.091183, Y=-0.621430, Z=9.791108 m/s^2 Time of Week: 461654.467000, Week Number: 2370
Acceleration: X=-0.096560, Y=-0.623210, Z=9.789311 m/s^2 Time of Week: 461654.468000, Week Number: 2370
Acceleration: X=-0.103755, Y=-0.629144, Z=9.786921 m/s^2 Time of Week: 461654.469000, Week Number: 2370
Acceleration: X=-0.104961, Y=-0.627340, Z=9.788724 m/s^2 Time of Week: 461654.470000, Week Number: 2370
Acceleration: X=-0.109122, Y=-0.617703, Z=9.791097 m/s^2 Time of Week: 461654.471000, Week Number: 2370
Acceleration: X=-0.107351, Y=-0.625533, Z=9.787509 m/s^2 Time of Week: 461654.472000, Week Number: 2370
Acceleration: X=-0.105548, Y=-0.631588, Z=9.775542 m/s^2 Time of Week: 461654.473000, Week Number: 2370
Acceleration: X=-0.103115, Y=-0.632154, Z=9.779170 m/s^2 Time of Week: 461654.474000, Week Number: 2370
Acceleration: X=-0.101306, Y=-0.629130, Z=9.777976 m/s^2 Time of Week: 461654.475000, Week Number: 2370
Acceleration: X=-0.107937, Y=-0.623172, Z=9.768938 m/s^2 Time of Week: 461654.476000, Week Number: 2370
Acceleration: X=-0.110934, Y=-0.623170, Z=9.773706 m/s^2 Time of Week: 461654.477000, Week Number: 2370
Acceleration: X=-0.100158, Y=-0.629800, Z=9.772551 m/s^2 Time of Week: 461654.478000, Week Number: 2370
Acceleration: X=-0.098954, Y=-0.636426, Z=9.764829 m/s^2 Time of Week: 461654.479000, Week Number: 2370
Acceleration: X=-0.097731, Y=-0.628586, Z=9.768385 m/s^2 Time of Week: 461654.480000, Week Number: 2370
Acceleration: X=-0.099530, Y=-0.628582, Z=9.765389 m/s^2 Time of Week: 461654.481000, Week Number: 2370
Acceleration: X=-0.094182, Y=-0.625582, Z=9.768944 m/s^2 Time of Week: 461654.482000, Week Number: 2370
Acceleration: X=-0.101373, Y=-0.626736, Z=9.776729 m/s^2 Time of Week: 461654.483000, Week Number: 2370
Acceleration: X=-0.099015, Y=-0.632170, Z=9.773734 m/s^2 Time of Week: 461654.484000, Week Number: 2370
Acceleration: X=-0.097223, Y=-0.635225, Z=9.760582 m/s^2 Time of Week: 461654.485000, Week Number: 2370
Acceleration: X=-0.096544, Y=-0.630984, Z=9.762395 m/s^2 Time of Week: 461654.486000, Week Number: 2370
Acceleration: X=-0.095941, Y=-0.628566, Z=9.770172 m/s^2 Time of Week: 461654.487000, Week Number: 2370
Acceleration: X=-0.094174, Y=-0.631593, Z=9.773765 m/s^2 Time of Week: 461654.488000, Week Number: 2370
Acceleration: X=-0.101361, Y=-0.632780, Z=9.770787 m/s^2 Time of Week: 461654.489000, Week Number: 2370
Acceleration: X=-0.101348, Y=-0.637587, Z=9.771427 m/s^2 Time of Week: 461654.490000, Week Number: 2370
Acceleration: X=-0.105560, Y=-0.632761, Z=9.777968 m/s^2 Time of Week: 461654.491000, Week Number: 2370
Acceleration: X=-0.110980, Y=-0.633911, Z=9.788115 m/s^2 Time of Week: 461654.492000, Week Number: 2370
Acceleration: X=-0.112771, Y=-0.635065, Z=9.780933 m/s^2 Time of Week: 461654.493000, Week Number: 2370
Acceleration: X=-0.111582, Y=-0.634500, Z=9.772539 m/s^2 Time of Week: 461654.494000, Week Number: 2370
Acceleration: X=-0.104971, Y=-0.633950, Z=9.778561 m/s^2 Time of Week: 461654.495000, Week Number: 2370
Acceleration: X=-0.103772, Y=-0.635742, Z=9.781577 m/s^2 Time of Week: 461654.496000, Week Number: 2370
Acceleration: X=-0.104975, Y=-0.629127, Z=9.784538 m/s^2 Time of Week: 461654.497000, Week Number: 2370
Acceleration: X=-0.106207, Y=-0.622523, Z=9.786297 m/s^2 Time of Week: 461654.498000, Week Number: 2370
Acceleration: X=-0.098419, Y=-0.621363, Z=9.785677 m/s^2 Time of Week: 461654.499000, Week Number: 2370
Acceleration: X=-0.094820, Y=-0.627348, Z=9.782700 m/s^2 Time of Week: 461654.500000, Week Number: 2370
Acceleration: X=-0.100790, Y=-0.627896, Z=9.779131 m/s^2 Time of Week: 461654.501000, Week Number: 2370
