
#################################################################
Log started at 2025-06-13_16-01-36 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: c372, Got: bd80
Checksum failed. Expected: bc31, Got: bd82
Checksum failed. Expected: 877f, Got: bd82
Checksum failed. Expected: 2d89, Got: bd80
Checksum failed. Expected: dbd2, Got: bd80
Checksum failed. Expected: f6a4, Got: bd80
Checksum failed. Expected: 62bb, Got: bd80
Checksum failed. Expected: fbf8, Got: bd80
Checksum failed. Expected: 5445, Got: bd80
Checksum failed. Expected: 4fc6, Got: bd82
Checksum failed. Expected: d49a, Got: bd81
Checksum failed. Expected: 370b, Got: bd81
Checksum failed. Expected: 8d13, Got: bd81
Checksum failed. Expected: 39e4, Got: bd81
Checksum failed. Expected: abc3, Got: bd7f
Checksum failed. Expected: 955d, Got: bd80
Checksum failed. Expected: ff89, Got: bd81
Checksum failed. Expected: 4f54, Got: bd82
Checksum failed. Expected: 4308, Got: bd81
Checksum failed. Expected: edb8, Got: bd81
Checksum failed. Expected: f3e0, Got: bd80
Checksum failed. Expected: 5d93, Got: bd81
Checksum failed. Expected: 98ad, Got: bd81
Checksum failed. Expected: 8bf2, Got: bd81
Checksum failed. Expected: 4991, Got: bd81
Checksum failed. Expected: 81c8, Got: bd81
Checksum failed. Expected: 978a, Got: bd81
Checksum failed. Expected: 49ea, Got: bd80
Checksum failed. Expected: 58a0, Got: bd80
Checksum failed. Expected: 5a86, Got: bd80
Checksum failed. Expected: aa15, Got: bd80
Checksum failed. Expected: 0395, Got: bd80
Checksum failed. Expected: 0cb1, Got: bd80
Checksum failed. Expected: 9c1c, Got: bd81
Checksum failed. Expected: 5f4f, Got: bd7f
Checksum failed. Expected: 03b4, Got: bd7c
Checksum failed. Expected: 894b, Got: bd7f
Checksum failed. Expected: 95c6, Got: bd7f
Checksum failed. Expected: 42ce, Got: bd7f
Checksum failed. Expected: cb6c, Got: bd80
Checksum failed. Expected: 11f7, Got: bd80
Checksum failed. Expected: 4170, Got: bd7f
Checksum failed. Expected: bbf0, Got: bd7d
Checksum failed. Expected: e7ac, Got: bd7d
Checksum failed. Expected: 94f4, Got: bd7e
Checksum failed. Expected: 05f6, Got: bd7e
Checksum failed. Expected: 5862, Got: bd81
Checksum failed. Expected: 4da1, Got: bd80
Checksum failed. Expected: 8526, Got: bd7c
Checksum failed. Expected: 6702, Got: bd7e
Checksum failed. Expected: d5c7, Got: bd80
Checksum failed. Expected: 21f5, Got: bd7e
Checksum failed. Expected: c6cb, Got: bd7c
Checksum failed. Expected: b509, Got: bd7b
Checksum failed. Expected: 8542, Got: bd7d
Checksum failed. Expected: bfcc, Got: bd7c
Checksum failed. Expected: 9130, Got: bd7d
Checksum failed. Expected: 9636, Got: bd7d
Checksum failed. Expected: 3e36, Got: bd7f
Checksum failed. Expected: 9552, Got: bd80
Checksum failed. Expected: 05fb, Got: bd80
Checksum failed. Expected: 8256, Got: bd7e
Checksum failed. Expected: dcae, Got: bd7e
Checksum failed. Expected: 08c9, Got: bd7e
Checksum failed. Expected: dce0, Got: bd80
Checksum failed. Expected: 3d58, Got: bd81
Checksum failed. Expected: a28e, Got: bd82
Checksum failed. Expected: 84a5, Got: bd81
Checksum failed. Expected: 1e8f, Got: bd80
Checksum failed. Expected: 49dc, Got: bd7e
Checksum failed. Expected: 3e6b, Got: bd7e
Checksum failed. Expected: 162b, Got: bd7e
Checksum failed. Expected: 8dd3, Got: bd7e
Checksum failed. Expected: a1fd, Got: bd7e
Checksum failed. Expected: b7f1, Got: bd81
Checksum failed. Expected: dbc7, Got: bd83
Checksum failed. Expected: 3b78, Got: bd82
Checksum failed. Expected: 3923, Got: bd80
Checksum failed. Expected: a7ed, Got: bd80
Checksum failed. Expected: 1a90, Got: bd80
Checksum failed. Expected: 6451, Got: bd80
Checksum failed. Expected: 5c15, Got: bd81
Checksum failed. Expected: 29bc, Got: bd81
Checksum failed. Expected: 0c22, Got: bd80
Checksum failed. Expected: 0f19, Got: bd80
Checksum failed. Expected: 72e5, Got: bd80
Checksum failed. Expected: 1a08, Got: bd7f
Checksum failed. Expected: 9ad3, Got: bd80
Checksum failed. Expected: 31d0, Got: bd80
Checksum failed. Expected: 6ea8, Got: bd7e
Checksum failed. Expected: 5f82, Got: bd80
Checksum failed. Expected: 96a5, Got: bd81
Checksum failed. Expected: 49e6, Got: bd81
Checksum failed. Expected: 08ca, Got: bd81
Checksum failed. Expected: 0288, Got: bd80
Checksum failed. Expected: a70e, Got: bd7e
Checksum failed. Expected: e18a, Got: bd7f
Checksum failed. Expected: 4092, Got: bd80
