
#################################################################
Log started at 2025-06-12_15-58-51 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 08d9, Got: a25c
Checksum failed. Expected: 065a, Got: 1f6c
Checksum failed. Expected: 406f, Got: 23d6
Checksum failed. Expected: 2d47, Got: 2413
Checksum failed. Expected: 025d, Got: 27b5
Checksum failed. Expected: 80b3, Got: 2f91
Checksum failed. Expected: 17eb, Got: aa11
Checksum failed. Expected: 4b7c, Got: aa29
Checksum failed. Expected: 277a, Got: b2d3
Checksum failed. Expected: 1179, Got: bb40
Checksum failed. Expected: 1163, Got: 35ad
Checksum failed. Expected: 26c7, Got: a97d
Checksum failed. Expected: 32a5, Got: aaf9
Checksum failed. Expected: b73b, Got: b7fb
Checksum failed. Expected: e767, Got: 2bc5
Checksum failed. Expected: 1657, Got: a746
Checksum failed. Expected: 2be0, Got: 3392
Checksum failed. Expected: 3f08, Got: 3183
Checksum failed. Expected: 778c, Got: aa36
Checksum failed. Expected: 7689, Got: 2d94
Checksum failed. Expected: 79aa, Got: 2db4
Checksum failed. Expected: c0d3, Got: 28e6
Checksum failed. Expected: c362, Got: ae78
Checksum failed. Expected: d5da, Got: 33d9
Checksum failed. Expected: 7bba, Got: 3ed6
Checksum failed. Expected: 50be, Got: bd0c
Checksum failed. Expected: d2e1, Got: 3cdb
Checksum failed. Expected: 117e, Got: 2ec2
Checksum failed. Expected: de03, Got: 31d5
Checksum failed. Expected: 33a8, Got: 2887
Checksum failed. Expected: 72f4, Got: 2488
Checksum failed. Expected: 61e0, Got: 2982
Checksum failed. Expected: 00c6, Got: a580
Checksum failed. Expected: f9a4, Got: a7e3
Checksum failed. Expected: b396, Got: 2fd1
Checksum failed. Expected: 0985, Got: 271a
Checksum failed. Expected: c0db, Got: 26ee
Checksum failed. Expected: ffe9, Got: acc2
Checksum failed. Expected: 0cdc, Got: 3397
Checksum failed. Expected: fa0a, Got: b3c3
Checksum failed. Expected: 912f, Got: 2beb
Checksum failed. Expected: 28d4, Got: aa8c
Checksum failed. Expected: e997, Got: 2e34
Checksum failed. Expected: f2f1, Got: 2fa0
Checksum failed. Expected: 162a, Got: b176
Checksum failed. Expected: 9a3d, Got: b3c6
Checksum failed. Expected: d9e0, Got: b635
Checksum failed. Expected: e42b, Got: 40d2
Checksum failed. Expected: e2b0, Got: 46aa
Checksum failed. Expected: 04b7, Got: 4039
Checksum failed. Expected: 195b, Got: 3b4d
Checksum failed. Expected: 0053, Got: b959
Checksum failed. Expected: dfa2, Got: b4dd
Checksum failed. Expected: 5751, Got: b216
Checksum failed. Expected: 12a7, Got: b3f0
Checksum failed. Expected: 0e43, Got: bdba
Checksum failed. Expected: e01e, Got: b661
Checksum failed. Expected: a8e0, Got: b4d0
Checksum failed. Expected: a757, Got: b729
Checksum failed. Expected: ed4f, Got: 369f
Checksum failed. Expected: 5adf, Got: 40e0
Checksum failed. Expected: 653f, Got: 3829
Checksum failed. Expected: 0265, Got: b577
Checksum failed. Expected: 8177, Got: 3446
Checksum failed. Expected: 0d50, Got: b3a0
Checksum failed. Expected: 1472, Got: 34d5
Checksum failed. Expected: 736b, Got: 3705
Checksum failed. Expected: b945, Got: ac35
Checksum failed. Expected: 626d, Got: 2beb
Checksum failed. Expected: a809, Got: 2cbf
Checksum failed. Expected: 34e4, Got: affc
Checksum failed. Expected: 2849, Got: 2f3e
Checksum failed. Expected: 4254, Got: aaef
Checksum failed. Expected: f91a, Got: b223
Checksum failed. Expected: 4b09, Got: 30ac
Checksum failed. Expected: c750, Got: b2af
Checksum failed. Expected: d172, Got: afa5
Checksum failed. Expected: b717, Got: 2847
Checksum failed. Expected: 0b4d, Got: a7ac
Checksum failed. Expected: 3219, Got: 247a
Checksum failed. Expected: 15e9, Got: 1e1d
Checksum failed. Expected: 1bc6, Got: 1f5c
Checksum failed. Expected: acbd, Got: a1f8
Checksum failed. Expected: faf2, Got: a63d
Checksum failed. Expected: fd0e, Got: ab65
Checksum failed. Expected: e230, Got: 366c
Checksum failed. Expected: e0e1, Got: ac91
Checksum failed. Expected: f1f0, Got: aa78
Checksum failed. Expected: 2505, Got: 2c31
Checksum failed. Expected: 61c7, Got: b2b6
Checksum failed. Expected: c900, Got: b80d
Checksum failed. Expected: cc48, Got: 339f
Checksum failed. Expected: 6c00, Got: ae49
Checksum failed. Expected: d6c0, Got: af08
Checksum failed. Expected: ac68, Got: 2fb5
Checksum failed. Expected: 8632, Got: 2d36
Checksum failed. Expected: d7ce, Got: b228
Checksum failed. Expected: a788, Got: 3088
