
#################################################################
Log started at 2025-06-12_16-21-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 1a31, Got: 0d3b
Checksum failed. Expected: 9d58, Got: 0635
Checksum failed. Expected: 86c3, Got: 8e42
Checksum failed. Expected: 8bcf, Got: 92a9
Checksum failed. Expected: 4c33, Got: 9758
Checksum failed. Expected: 44f7, Got: 11d2
Checksum failed. Expected: 55cd, Got: 936b
Checksum failed. Expected: d465, Got: 1f6b
Checksum failed. Expected: 8fa3, Got: 964b
Checksum failed. Expected: cc0e, Got: 1c91
Checksum failed. Expected: ed06, Got: 9c58
Checksum failed. Expected: 9103, Got: 1602
Checksum failed. Expected: da00, Got: 90ff
Checksum failed. Expected: e18b, Got: 1432
Checksum failed. Expected: 0e19, Got: 19d1
Checksum failed. Expected: 021b, Got: 9ed3
Checksum failed. Expected: 279a, Got: 9d86
Checksum failed. Expected: d1ca, Got: 193c
Checksum failed. Expected: f80f, Got: 91c1
Checksum failed. Expected: 2bcc, Got: 0cd4
Checksum failed. Expected: c0c4, Got: 842e
Checksum failed. Expected: 8f6a, Got: ff61
Checksum failed. Expected: 6b0b, Got: 8445
Checksum failed. Expected: a5d9, Got: 0117
Checksum failed. Expected: d5e1, Got: 8773
Checksum failed. Expected: db2b, Got: 8730
Checksum failed. Expected: 2454, Got: 0cc4
Checksum failed. Expected: aaa7, Got: 1089
Checksum failed. Expected: 819e, Got: 0b57
Checksum failed. Expected: 2837, Got: 0260
Checksum failed. Expected: 622e, Got: 165b
Checksum failed. Expected: 2303, Got: 9e4a
Checksum failed. Expected: b175, Got: 15f8
Checksum failed. Expected: bb5e, Got: 0fb2
Checksum failed. Expected: 52b3, Got: 0a3c
Checksum failed. Expected: 303e, Got: 0c1b
Checksum failed. Expected: 90c6, Got: 0b80
Checksum failed. Expected: ab34, Got: 8c7b
Checksum failed. Expected: c722, Got: 924a
Checksum failed. Expected: 8683, Got: 154f
Checksum failed. Expected: bf0d, Got: 12de
Checksum failed. Expected: 6d41, Got: 0cb6
Checksum failed. Expected: 551c, Got: 0660
Checksum failed. Expected: 099a, Got: 86b1
Checksum failed. Expected: 1df7, Got: 0cf5
Checksum failed. Expected: 2bde, Got: 8b9d
Checksum failed. Expected: 8cbc, Got: 0ee4
Checksum failed. Expected: 4c6f, Got: 17f9
Checksum failed. Expected: 0181, Got: 14c8
Checksum failed. Expected: 453d, Got: 941a
Checksum failed. Expected: 6ae6, Got: 1166
Checksum failed. Expected: 6a93, Got: 9240
Checksum failed. Expected: 7e71, Got: 1167
Checksum failed. Expected: d8e6, Got: 8e0f
Checksum failed. Expected: 7d6e, Got: 8db9
Checksum failed. Expected: 4a9b, Got: 12a2
Checksum failed. Expected: 6df8, Got: 178e
Checksum failed. Expected: 5363, Got: 198d
