
#################################################################
Log started at 2025-06-12_16-22-19 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=-5.745264, Y=0.122838, Z=7.942651 m/s^2 Time of Week: 2716.499000, Week Number: 0
Acceleration: X=-5.743516, Y=0.116817, Z=7.943275 m/s^2 Time of Week: 2716.500000, Week Number: 0
Acceleration: X=-5.747770, Y=0.111408, Z=7.939672 m/s^2 Time of Week: 2716.501000, Week Number: 0
Acceleration: X=-5.745936, Y=0.111968, Z=7.937281 m/s^2 Time of Week: 2716.502000, Week Number: 0
Acceleration: X=-5.748965, Y=0.109533, Z=7.934878 m/s^2 Time of Week: 2716.503000, Week Number: 0
Acceleration: X=-5.751363, Y=0.110773, Z=7.935458 m/s^2 Time of Week: 2716.504000, Week Number: 0
Acceleration: X=-5.748389, Y=0.114980, Z=7.930041 m/s^2 Time of Week: 2716.505000, Week Number: 0
Acceleration: X=-5.750773, Y=0.118598, Z=7.940791 m/s^2 Time of Week: 2716.506000, Week Number: 0
Acceleration: X=-5.759128, Y=0.116828, Z=7.943215 m/s^2 Time of Week: 2716.507000, Week Number: 0
Acceleration: X=-5.759690, Y=0.117423, Z=7.945614 m/s^2 Time of Week: 2716.508000, Week Number: 0
Acceleration: X=-5.756735, Y=0.111425, Z=7.951015 m/s^2 Time of Week: 2716.509000, Week Number: 0
Acceleration: X=-5.754976, Y=0.108358, Z=7.946838 m/s^2 Time of Week: 2716.510000, Week Number: 0
Acceleration: X=-5.747145, Y=0.120922, Z=7.933046 m/s^2 Time of Week: 2716.511000, Week Number: 0
Acceleration: X=-5.746547, Y=0.119759, Z=7.936632 m/s^2 Time of Week: 2716.512000, Week Number: 0
Acceleration: X=-5.749549, Y=0.116223, Z=7.929448 m/s^2 Time of Week: 2716.513000, Week Number: 0
Acceleration: X=-5.750134, Y=0.115068, Z=7.929465 m/s^2 Time of Week: 2716.514000, Week Number: 0
Acceleration: X=-5.747137, Y=0.116263, Z=7.928283 m/s^2 Time of Week: 2716.515000, Week Number: 0
Acceleration: X=-5.748368, Y=0.117395, Z=7.933664 m/s^2 Time of Week: 2716.516000, Week Number: 0
Acceleration: X=-5.751917, Y=0.124588, Z=7.935422 m/s^2 Time of Week: 2716.517000, Week Number: 0
Acceleration: X=-5.748291, Y=0.120981, Z=7.938419 m/s^2 Time of Week: 2716.518000, Week Number: 0
Acceleration: X=-5.746531, Y=0.113181, Z=7.936645 m/s^2 Time of Week: 2716.519000, Week Number: 0
Acceleration: X=-5.753666, Y=0.118003, Z=7.931864 m/s^2 Time of Week: 2716.520000, Week Number: 0
Acceleration: X=-5.752497, Y=0.118585, Z=7.923464 m/s^2 Time of Week: 2716.521000, Week Number: 0
Acceleration: X=-5.751346, Y=0.117353, Z=7.918064 m/s^2 Time of Week: 2716.522000, Week Number: 0
Acceleration: X=-5.745353, Y=0.117965, Z=7.922258 m/s^2 Time of Week: 2716.523000, Week Number: 0
Acceleration: X=-5.748273, Y=0.129393, Z=7.927029 m/s^2 Time of Week: 2716.524000, Week Number: 0
Acceleration: X=-5.744661, Y=0.128768, Z=7.924089 m/s^2 Time of Week: 2716.525000, Week Number: 0
Acceleration: X=-5.746467, Y=0.121565, Z=7.919928 m/s^2 Time of Week: 2716.526000, Week Number: 0
Acceleration: X=-5.747660, Y=0.125791, Z=7.921691 m/s^2 Time of Week: 2716.527000, Week Number: 0
Acceleration: X=-5.747671, Y=0.124014, Z=7.922898 m/s^2 Time of Week: 2716.528000, Week Number: 0
Acceleration: X=-5.743503, Y=0.123983, Z=7.919902 m/s^2 Time of Week: 2716.529000, Week Number: 0
Acceleration: X=-5.751900, Y=0.119183, Z=7.913914 m/s^2 Time of Week: 2716.530000, Week Number: 0
Acceleration: X=-5.753723, Y=0.112546, Z=7.918705 m/s^2 Time of Week: 2716.531000, Week Number: 0
Acceleration: X=-5.756708, Y=0.113196, Z=7.916909 m/s^2 Time of Week: 2716.532000, Week Number: 0
Acceleration: X=-5.749505, Y=0.113203, Z=7.915135 m/s^2 Time of Week: 2716.533000, Week Number: 0
Acceleration: X=-5.746454, Y=0.115031, Z=7.921152 m/s^2 Time of Week: 2716.534000, Week Number: 0
Acceleration: X=-5.745833, Y=0.120362, Z=7.920552 m/s^2 Time of Week: 2716.535000, Week Number: 0
Acceleration: X=-5.739869, Y=0.115505, Z=7.923554 m/s^2 Time of Week: 2716.536000, Week Number: 0
Acceleration: X=-5.750087, Y=0.118545, Z=7.914526 m/s^2 Time of Week: 2716.537000, Week Number: 0
Acceleration: X=-5.755498, Y=0.118538, Z=7.912108 m/s^2 Time of Week: 2716.538000, Week Number: 0
Acceleration: X=-5.756679, Y=0.116771, Z=7.913926 m/s^2 Time of Week: 2716.539000, Week Number: 0
Acceleration: X=-5.749517, Y=0.110752, Z=7.915129 m/s^2 Time of Week: 2716.540000, Week Number: 0
Acceleration: X=-5.749501, Y=0.116152, Z=7.913920 m/s^2 Time of Week: 2716.541000, Week Number: 0
Acceleration: X=-5.750069, Y=0.116172, Z=7.913346 m/s^2 Time of Week: 2716.542000, Week Number: 0
Acceleration: X=-5.747055, Y=0.120995, Z=7.924696 m/s^2 Time of Week: 2716.543000, Week Number: 0
Acceleration: X=-5.750641, Y=0.121027, Z=7.931268 m/s^2 Time of Week: 2716.544000, Week Number: 0
Acceleration: X=-5.753056, Y=0.124027, Z=7.928249 m/s^2 Time of Week: 2716.545000, Week Number: 0
Acceleration: X=-5.748322, Y=0.117972, Z=7.916871 m/s^2 Time of Week: 2716.546000, Week Number: 0
Acceleration: X=-5.750719, Y=0.116747, Z=7.910887 m/s^2 Time of Week: 2716.547000, Week Number: 0
Acceleration: X=-5.742942, Y=0.116735, Z=7.912696 m/s^2 Time of Week: 2716.548000, Week Number: 0
Acceleration: X=-5.740560, Y=0.116143, Z=7.916296 m/s^2 Time of Week: 2716.549000, Week Number: 0
Acceleration: X=-5.743518, Y=0.113799, Z=7.922322 m/s^2 Time of Week: 2716.550000, Week Number: 0
Acceleration: X=-5.754876, Y=0.119858, Z=7.920493 m/s^2 Time of Week: 2716.551000, Week Number: 0
Acceleration: X=-5.754893, Y=0.116229, Z=7.924694 m/s^2 Time of Week: 2716.552000, Week Number: 0
Acceleration: X=-5.754311, Y=0.115627, Z=7.919312 m/s^2 Time of Week: 2716.553000, Week Number: 0
Acceleration: X=-5.748323, Y=0.117375, Z=7.918709 m/s^2 Time of Week: 2716.554000, Week Number: 0
Acceleration: X=-5.751361, Y=0.111975, Z=7.922287 m/s^2 Time of Week: 2716.555000, Week Number: 0
Acceleration: X=-5.754300, Y=0.116211, Z=7.930687 m/s^2 Time of Week: 2716.556000, Week Number: 0
Acceleration: X=-5.749481, Y=0.116778, Z=7.934316 m/s^2 Time of Week: 2716.557000, Week Number: 0
Acceleration: X=-5.754872, Y=0.122215, Z=7.936064 m/s^2 Time of Week: 2716.558000, Week Number: 0
Acceleration: X=-5.759143, Y=0.122201, Z=7.934817 m/s^2 Time of Week: 2716.559000, Week Number: 0
