
#################################################################
Log started at 2025-06-12_14-02-41 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 425c, Got: 0e04
Checksum failed. Expected: 1ffd, Got: 0e04
Checksum failed. Expected: 32e1, Got: 0e04
Checksum failed. Expected: a642, Got: 0e04
Checksum failed. Expected: 34ae, Got: 0e04
Checksum failed. Expected: 9c39, Got: 0e04
Checksum failed. Expected: a43f, Got: 0e04
Checksum failed. Expected: bb47, Got: 0e04
Checksum failed. Expected: 355c, Got: 0e04
Checksum failed. Expected: 1f15, Got: 0e04
Checksum failed. Expected: 9381, Got: 0e04
Checksum failed. Expected: d727, Got: 0e04
Checksum failed. Expected: 8878, Got: 0e04
Checksum failed. Expected: 7774, Got: 0e04
Checksum failed. Expected: d2e4, Got: 0e04
Checksum failed. Expected: 6178, Got: 0e04
Checksum failed. Expected: 5da8, Got: 0e04
Checksum failed. Expected: bb50, Got: 0e04
Checksum failed. Expected: 15b0, Got: 0e04
Checksum failed. Expected: 828d, Got: 0e04
Checksum failed. Expected: ffad, Got: 0e04
Checksum failed. Expected: 4f43, Got: 0e04
Checksum failed. Expected: b8f4, Got: 0e04
Checksum failed. Expected: c339, Got: 0e04
Checksum failed. Expected: 1cb8, Got: 0e04
Checksum failed. Expected: fdb4, Got: 0e04
Checksum failed. Expected: 300d, Got: 0e04
Checksum failed. Expected: f3b1, Got: 0e04
Checksum failed. Expected: 0456, Got: 0e04
Checksum failed. Expected: 15fe, Got: 0e04
Checksum failed. Expected: 01d9, Got: 0e04
Checksum failed. Expected: 7cdb, Got: 0e04
Checksum failed. Expected: 4f93, Got: 0e04
Checksum failed. Expected: dc24, Got: 0e04
Checksum failed. Expected: a1f9, Got: 0e04
Checksum failed. Expected: ee59, Got: 0e04
Checksum failed. Expected: 0adf, Got: 0e04
Checksum failed. Expected: 27a0, Got: 0e04
Checksum failed. Expected: 8f10, Got: 0e04
Checksum failed. Expected: bf24, Got: 0e04
Checksum failed. Expected: 02c8, Got: 0e04
Checksum failed. Expected: fef8, Got: 0e04
Checksum failed. Expected: 3d34, Got: 0e04
Checksum failed. Expected: 5ad0, Got: 0e04
Checksum failed. Expected: 0d25, Got: 0e04
Checksum failed. Expected: 4191, Got: 0e04
Checksum failed. Expected: a7df, Got: 0e04
Checksum failed. Expected: 1090, Got: 0e04
Checksum failed. Expected: a375, Got: 0e04
Checksum failed. Expected: a978, Got: 0e04
Checksum failed. Expected: 5cdc, Got: 0e04
Checksum failed. Expected: 6ea1, Got: 0e04
Checksum failed. Expected: bb0d, Got: 0e04
Checksum failed. Expected: 00c2, Got: 0e04
Checksum failed. Expected: e3d2, Got: 0e04
Checksum failed. Expected: c70d, Got: 0e04
Checksum failed. Expected: f0a7, Got: 0e04
Checksum failed. Expected: 1917, Got: 0e04
Checksum failed. Expected: 0db4, Got: 0e04
Checksum failed. Expected: 1b3d, Got: 0e04
Checksum failed. Expected: e0fd, Got: 0e04
Checksum failed. Expected: 6e6b, Got: 0e04
Checksum failed. Expected: 9ea8, Got: 0e04
Checksum failed. Expected: 0a68, Got: 0e04
Checksum failed. Expected: bca4, Got: 0e04
Checksum failed. Expected: c05c, Got: 0e04
Checksum failed. Expected: fda0, Got: 0e04
Checksum failed. Expected: 5a34, Got: 0e04
Checksum failed. Expected: 1ba0, Got: 0e04
Checksum failed. Expected: ba65, Got: 0e04
Checksum failed. Expected: 992d, Got: 0e04
Checksum failed. Expected: 04df, Got: 0e04
Checksum failed. Expected: 682c, Got: 0e04
Checksum failed. Expected: 0815, Got: 0e04
Checksum failed. Expected: b3fc, Got: 0e04
Checksum failed. Expected: abc4, Got: 0e04
Checksum failed. Expected: 34d5, Got: 0e04
Checksum failed. Expected: 95d1, Got: 0e04
Checksum failed. Expected: 470a, Got: 0e04
Checksum failed. Expected: b60a, Got: 0e04
Checksum failed. Expected: 2521, Got: 0e04
Checksum failed. Expected: dbbf, Got: 0e04
Checksum failed. Expected: 68ff, Got: 0e04
Checksum failed. Expected: d960, Got: 0e04
Checksum failed. Expected: 6a25, Got: 0e04
Checksum failed. Expected: 6a81, Got: 0e04
Checksum failed. Expected: a8af, Got: 0e04
Checksum failed. Expected: 64dc, Got: 0e04
Checksum failed. Expected: 08fc, Got: 0e04
Checksum failed. Expected: f298, Got: 0e04
Checksum failed. Expected: 457c, Got: 0e04
Checksum failed. Expected: fe70, Got: 0e04
Checksum failed. Expected: a91c, Got: 0e04
Checksum failed. Expected: 0c30, Got: 0e04
Checksum failed. Expected: 0611, Got: 0e04
Checksum failed. Expected: 821d, Got: 0e04
Checksum failed. Expected: 1fb7, Got: 0e04
Checksum failed. Expected: af74, Got: 0e04
Checksum failed. Expected: db4d, Got: 0e04
Checksum failed. Expected: 2d40, Got: 0e04
Checksum failed. Expected: 5918, Got: 0e04
Checksum failed. Expected: 6229, Got: 0e04
Checksum failed. Expected: 750d, Got: 0e04
Checksum failed. Expected: 8376, Got: 0e04
Checksum failed. Expected: 51e2, Got: 0e04
Checksum failed. Expected: e5dd, Got: 0e04
Checksum failed. Expected: 6543, Got: 0e04
Checksum failed. Expected: 9767, Got: 0e04
Checksum failed. Expected: 458c, Got: 0e04
Checksum failed. Expected: ebf5, Got: 0e04
Checksum failed. Expected: 4abd, Got: 0e04
Checksum failed. Expected: 2757, Got: 0e04
Checksum failed. Expected: 8ff4, Got: 0e04
Checksum failed. Expected: 63d4, Got: 0e04
Checksum failed. Expected: 36a4, Got: 0e04
Checksum failed. Expected: 71a8, Got: 0e04
Checksum failed. Expected: ff40, Got: 0e04
Checksum failed. Expected: d20c, Got: 0e04
Checksum failed. Expected: 844c, Got: 0e04
Checksum failed. Expected: 1a5d, Got: 0e04
Checksum failed. Expected: 1bcd, Got: 0e04
Checksum failed. Expected: e93b, Got: 0e04
Checksum failed. Expected: 9ff0, Got: 0e04
Checksum failed. Expected: 0665, Got: 0e04
Checksum failed. Expected: 551c, Got: 0e04
Checksum failed. Expected: 9470, Got: 0e04
Checksum failed. Expected: 7e15, Got: 0e04
Checksum failed. Expected: 1aad, Got: 0e04
Checksum failed. Expected: efa2, Got: 0e04
Checksum failed. Expected: 7ad2, Got: 0e04
Checksum failed. Expected: 2371, Got: 0e04
Checksum failed. Expected: da23, Got: 0e04
Checksum failed. Expected: fadf, Got: 0e04
Checksum failed. Expected: c770, Got: 0e04
Checksum failed. Expected: c5b9, Got: 0e04
Checksum failed. Expected: 7299, Got: 0e04
Checksum failed. Expected: 022f, Got: 0e04
Checksum failed. Expected: 3e5c, Got: 0e04
Checksum failed. Expected: 19c8, Got: 0e04
Checksum failed. Expected: 6848, Got: 0e04
Checksum failed. Expected: 8830, Got: 0e04
Checksum failed. Expected: 938c, Got: 0e04
Checksum failed. Expected: 8288, Got: 0e04
Checksum failed. Expected: e374, Got: 0e04
Checksum failed. Expected: eea9, Got: 0e04
Checksum failed. Expected: 6f19, Got: 0e04
Checksum failed. Expected: 874f, Got: 0e04
Checksum failed. Expected: 5e98, Got: 0e04
Checksum failed. Expected: 1bc5, Got: 0e04
Checksum failed. Expected: fe0c, Got: 0e04
Checksum failed. Expected: cda0, Got: 0e04
Checksum failed. Expected: f1cd, Got: 0e04
Checksum failed. Expected: 2545, Got: 0e04
Checksum failed. Expected: 28d2, Got: 0e04
Checksum failed. Expected: 1382, Got: 0e04
Checksum failed. Expected: 3b0d, Got: 0e04
Checksum failed. Expected: a7e3, Got: 0e04
Checksum failed. Expected: 3cc3, Got: 0e04
Checksum failed. Expected: 9bbc, Got: 0e04
Checksum failed. Expected: ad95, Got: 0e04
Checksum failed. Expected: faf5, Got: 0e04
Checksum failed. Expected: df2f, Got: 0e04
Checksum failed. Expected: afec, Got: 0e04
Checksum failed. Expected: 6c00, Got: 0e04
Checksum failed. Expected: f61c, Got: 0e04
Checksum failed. Expected: 94dc, Got: 0e04
Checksum failed. Expected: 5e24, Got: 0e04
Checksum failed. Expected: 1284, Got: 0e04
Checksum failed. Expected: 0928, Got: 0e04
Checksum failed. Expected: 59c1, Got: 0e04
Checksum failed. Expected: e621, Got: 0e04
Checksum failed. Expected: bb1b, Got: 0e04
Checksum failed. Expected: f520, Got: 0e04
Checksum failed. Expected: 220d, Got: 0e04
Checksum failed. Expected: f3ec, Got: 0e04
Checksum failed. Expected: 3018, Got: 0e04
Checksum failed. Expected: 4b91, Got: 0e04
Checksum failed. Expected: e501, Got: 0e04
Checksum failed. Expected: 9c9e, Got: 0e04
Checksum failed. Expected: b822, Got: 0e04
Checksum failed. Expected: e2d5, Got: 0e04
Checksum failed. Expected: 6e2b, Got: 0e04
Checksum failed. Expected: bea7, Got: 0e04
Checksum failed. Expected: d614, Got: 0e04
Checksum failed. Expected: 0a95, Got: 0e04
Checksum failed. Expected: ab85, Got: 0e04
Checksum failed. Expected: f153, Got: 0e04
Checksum failed. Expected: d264, Got: 0e04
Checksum failed. Expected: d940, Got: 0e04
Checksum failed. Expected: 6020, Got: 0e04
Checksum failed. Expected: 9f74, Got: 0e04
Checksum failed. Expected: 9dcc, Got: 0e04
Checksum failed. Expected: 0aa0, Got: 0e04
Checksum failed. Expected: f440, Got: 0e04
Checksum failed. Expected: 83c5, Got: 0e04
Checksum failed. Expected: 4bc1, Got: 0e04
Checksum failed. Expected: 92a3, Got: 0e04
Checksum failed. Expected: 9bd4, Got: 0e04
Checksum failed. Expected: b0e1, Got: 0e04
Checksum failed. Expected: 2368, Got: 0e04
Checksum failed. Expected: 8d18, Got: 0e04
Checksum failed. Expected: 0071, Got: 0e04
Checksum failed. Expected: 57a5, Got: 0e04
Checksum failed. Expected: cc1a, Got: 0e04
Checksum failed. Expected: 289e, Got: 0e04
Checksum failed. Expected: a3a5, Got: 0e04
Checksum failed. Expected: f34b, Got: 0e04
Checksum failed. Expected: 7273, Got: 0e04
Checksum failed. Expected: cc08, Got: 0e04
Checksum failed. Expected: fe61, Got: 0e04
Checksum failed. Expected: ef91, Got: 0e04
Checksum failed. Expected: b89b, Got: 0e04
Checksum failed. Expected: 9ac0, Got: 0e04
Checksum failed. Expected: 0e20, Got: 0e04
Checksum failed. Expected: f01c, Got: 0e04
Checksum failed. Expected: d67c, Got: 0e04
Checksum failed. Expected: 49f8, Got: 0e04
Checksum failed. Expected: 69c8, Got: 0e04
Checksum failed. Expected: 1c1c, Got: 0e04
Checksum failed. Expected: 2529, Got: 0e04
Checksum failed. Expected: 02c9, Got: 0e04
Checksum failed. Expected: 98d7, Got: 0e04
Checksum failed. Expected: 20f4, Got: 0e04
