
#################################################################
Log started at 2025-06-12_16-19-12 
#################################################################
IMU initialized succesfully
Checksum failed. Expected: 27a6, Got: 0ccf
Checksum failed. Expected: dbd2, Got: 89ac
Checksum failed. Expected: 9b96, Got: 0aff
Checksum failed. Expected: fc0b, Got: c9ba
Checksum failed. Expected: 7c0f, Got: 88cc
Checksum failed. Expected: 2ba1, Got: 0e63
Checksum failed. Expected: a180, Got: 0d70
Checksum failed. Expected: c062, Got: 8d00
Checksum failed. Expected: eaa4, Got: 51a7
Checksum failed. Expected: c708, Got: 5224
Checksum failed. Expected: 03a7, Got: 1e3a
Checksum failed. Expected: 2265, Got: 9fb9
Checksum failed. Expected: 5d51, Got: 8ede
Checksum failed. Expected: 0c2d, Got: 4cfd
Checksum failed. Expected: 091e, Got: 9895
Checksum failed. Expected: 5434, Got: a291
Checksum failed. Expected: e254, Got: 2d26
Checksum failed. Expected: 8c90, Got: 1054
Checksum failed. Expected: dbce, Got: 190a
Checksum failed. Expected: 28cc, Got: 9a21
Checksum failed. Expected: 8e2d, Got: 1ede
Checksum failed. Expected: 6ee2, Got: 9e2f
Checksum failed. Expected: 5a9f, Got: a064
Checksum failed. Expected: 042b, Got: 22f7
Checksum failed. Expected: 3c65, Got: a1f0
Checksum failed. Expected: 7ca9, Got: 2238
Checksum failed. Expected: 21d3, Got: 1b9a
Checksum failed. Expected: 3630, Got: 14d7
Checksum failed. Expected: 8874, Got: 8f0a
Checksum failed. Expected: 1e71, Got: 171c
Checksum failed. Expected: 13b8, Got: 9d06
Checksum failed. Expected: 1148, Got: a286
Checksum failed. Expected: 05f5, Got: a42d
Checksum failed. Expected: 0989, Got: a7c0
Checksum failed. Expected: a4d5, Got: 9f4a
Checksum failed. Expected: de12, Got: 9fe5
Checksum failed. Expected: 83fd, Got: 1a04
Checksum failed. Expected: 8f5e, Got: 1bf9
Checksum failed. Expected: d9eb, Got: 9dcf
Checksum failed. Expected: 3bff, Got: 1b66
Checksum failed. Expected: 8da7, Got: 2834
Checksum failed. Expected: 84e3, Got: 1279
Checksum failed. Expected: 33e3, Got: 51b2
Checksum failed. Expected: b7e1, Got: 0c69
Checksum failed. Expected: c02c, Got: 4cf4
Checksum failed. Expected: 2ad3, Got: 8ddc
Checksum failed. Expected: 21f9, Got: 9660
Checksum failed. Expected: 17a9, Got: 9cfa
Checksum failed. Expected: cabd, Got: 1306
Checksum failed. Expected: 3b9f, Got: ac44
Checksum failed. Expected: 618b, Got: 2b5c
Checksum failed. Expected: bee9, Got: 2286
Checksum failed. Expected: ef4d, Got: 5167
Checksum failed. Expected: 2236, Got: 1044
Checksum failed. Expected: f61d, Got: 8ed0
Checksum failed. Expected: 6fe0, Got: cf3c
Checksum failed. Expected: fadb, Got: cec0
Checksum failed. Expected: 9823, Got: 50e5
Checksum failed. Expected: d6d5, Got: 8d29
Checksum failed. Expected: d749, Got: 0b6a
Checksum failed. Expected: 06a7, Got: 4f48
