
#################################################################
Log started at 2025-06-13_14-53-05 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 5db1, Got: f475
Checksum failed. Expected: 23e3, Got: 6075
Checksum failed. Expected: 4be9, Got: 3e75
Checksum failed. Expected: f7c2, Got: 6b75
Checksum failed. Expected: dfbf, Got: 8075
Checksum failed. Expected: d321, Got: ee75
Checksum failed. Expected: 0577, Got: 1275
Checksum failed. Expected: 1bf5, Got: 7a75
Checksum failed. Expected: 87a3, Got: bc75
Checksum failed. Expected: 5d38, Got: 7b75
Checksum failed. Expected: ed4e, Got: 0175
Checksum failed. Expected: 2772, Got: eb75
Checksum failed. Expected: 7b9f, Got: c475
Checksum failed. Expected: 67cf, Got: 0875
Checksum failed. Expected: dd28, Got: eb75
Checksum failed. Expected: 3df5, Got: 5875
Checksum failed. Expected: b57e, Got: 6975
Checksum failed. Expected: 3774, Got: dd75
Checksum failed. Expected: ff1f, Got: c075
Checksum failed. Expected: 8b7f, Got: 9475
Checksum failed. Expected: 2fb8, Got: 2975
Checksum failed. Expected: db83, Got: 4875
Checksum failed. Expected: ab11, Got: 0675
Checksum failed. Expected: 63b0, Got: ed75
Checksum failed. Expected: b572, Got: 5d75
Checksum failed. Expected: f350, Got: fd75
Checksum failed. Expected: 9119, Got: 2875
Checksum failed. Expected: 3945, Got: ac75
Checksum failed. Expected: d794, Got: 5d75
Checksum failed. Expected: 5788, Got: d175
Checksum failed. Expected: f5b1, Got: 5c75
Checksum failed. Expected: 495f, Got: b675
Checksum failed. Expected: 0d91, Got: 2475
Checksum failed. Expected: 8554, Got: 6f75
Checksum failed. Expected: 1fbd, Got: 3e75
Checksum failed. Expected: 2ded, Got: 6075
Checksum failed. Expected: 95ba, Got: c575
Checksum failed. Expected: d754, Got: 1d75
Checksum failed. Expected: 0140, Got: df75
Checksum failed. Expected: 63f7, Got: 3475
Checksum failed. Expected: 434a, Got: a775
Checksum failed. Expected: 313b, Got: aa75
Checksum failed. Expected: 1d16, Got: 9975
Checksum failed. Expected: b386, Got: 7375
Checksum failed. Expected: 3b03, Got: 6875
Checksum failed. Expected: df0a, Got: cb75
Checksum failed. Expected: 9376, Got: 8375
Checksum failed. Expected: bdf7, Got: da75
Checksum failed. Expected: f7ab, Got: 5475
Checksum failed. Expected: 3510, Got: 7b75
Checksum failed. Expected: a3db, Got: d875
Checksum failed. Expected: 993c, Got: 4375
Checksum failed. Expected: bfe8, Got: c975
Checksum failed. Expected: 9164, Got: 7375
Checksum failed. Expected: 57ff, Got: 4875
Checksum failed. Expected: 2351, Got: ce75
Checksum failed. Expected: 23da, Got: 5775
Checksum failed. Expected: 3505, Got: 7075
Checksum failed. Expected: db0f, Got: d475
Checksum failed. Expected: 4377, Got: d475
Checksum failed. Expected: dde6, Got: a975
Checksum failed. Expected: 8756, Got: 6f75
Checksum failed. Expected: 7dbe, Got: e175
Checksum failed. Expected: 3b05, Got: 6a75
Checksum failed. Expected: 532f, Got: 7c75
Checksum failed. Expected: e351, Got: 0e75
Checksum failed. Expected: 41a1, Got: 0075
Checksum failed. Expected: 5745, Got: 8e75
Checksum failed. Expected: f123, Got: d275
Checksum failed. Expected: 6fd4, Got: 0575
Checksum failed. Expected: b343, Got: 3075
Checksum failed. Expected: b334, Got: 2175
