
#################################################################
Log started at 2025-06-13_14-56-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 423d, Got: 04bc
Checksum failed. Expected: 7df6, Got: 04bc
Checksum failed. Expected: b89b, Got: 04bc
Checksum failed. Expected: 0498, Got: 04bc
Checksum failed. Expected: b05e, Got: 04bc
Checksum failed. Expected: 0627, Got: 04bc
Checksum failed. Expected: 2ae9, Got: 04bc
Checksum failed. Expected: 0a25, Got: 04bc
Checksum failed. Expected: 5982, Got: 04bc
Checksum failed. Expected: 48eb, Got: 04bc
Checksum failed. Expected: ec11, Got: 04bc
Checksum failed. Expected: 66b9, Got: 04bc
Checksum failed. Expected: 53f8, Got: 04bc
Checksum failed. Expected: a695, Got: 04bc
Checksum failed. Expected: f083, Got: 04bc
Checksum failed. Expected: ec02, Got: 04bc
Checksum failed. Expected: 760f, Got: 04bc
Checksum failed. Expected: f86e, Got: 04bc
Checksum failed. Expected: 1adb, Got: 04bc
Checksum failed. Expected: 27ba, Got: 04bc
Checksum failed. Expected: 5f20, Got: 04bc
Checksum failed. Expected: feea, Got: 04bc
Checksum failed. Expected: 84b1, Got: 04bc
Checksum failed. Expected: e35e, Got: 04bc
Checksum failed. Expected: 5464, Got: 04bc
Checksum failed. Expected: cf34, Got: 04bc
Checksum failed. Expected: 7d39, Got: 04bc
Checksum failed. Expected: ebfa, Got: 04bc
Checksum failed. Expected: 8d12, Got: 04bc
Checksum failed. Expected: e1d2, Got: 04bc
Checksum failed. Expected: 08e7, Got: 04bc
Checksum failed. Expected: d56a, Got: 04bc
Checksum failed. Expected: d0a7, Got: 04bc
Checksum failed. Expected: a085, Got: 04bc
Checksum failed. Expected: f437, Got: 04bc
Checksum failed. Expected: 8fbc, Got: 04bc
Checksum failed. Expected: 207d, Got: 04bc
Checksum failed. Expected: a424, Got: 04bc
Checksum failed. Expected: 8886, Got: 04bc
Checksum failed. Expected: 75b0, Got: 04bc
Checksum failed. Expected: 9ff0, Got: 04bc
Checksum failed. Expected: cd84, Got: 04bc
Checksum failed. Expected: a94f, Got: 04bc
Checksum failed. Expected: a90a, Got: 04bc
Checksum failed. Expected: 9f14, Got: 04bc
Checksum failed. Expected: ee64, Got: 04bc
