
#################################################################
Log started at 2025-06-13_16-08-38 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 7037, Got: 0942
Checksum failed. Expected: a995, Got: 0942
Checksum failed. Expected: 5e9a, Got: 0942
Checksum failed. Expected: a9ed, Got: 0942
Checksum failed. Expected: 6cdc, Got: 0942
Checksum failed. Expected: 9b95, Got: 0942
Checksum failed. Expected: fb77, Got: 0942
Checksum failed. Expected: c4d5, Got: 0942
Checksum failed. Expected: 8a03, Got: 0942
Checksum failed. Expected: 7235, Got: 0942
Checksum failed. Expected: 51cb, Got: 0942
Checksum failed. Expected: f7f9, Got: 0942
Checksum failed. Expected: 15b5, Got: 0942
Checksum failed. Expected: 4487, Got: 0942
Checksum failed. Expected: 3bc5, Got: 0942
Checksum failed. Expected: 6304, Got: 0942
Checksum failed. Expected: 2c42, Got: 0942
Checksum failed. Expected: 7cfb, Got: 0942
Checksum failed. Expected: fff9, Got: 0942
Checksum failed. Expected: bdb5, Got: 0942
Checksum failed. Expected: 0b68, Got: 0942
Checksum failed. Expected: 0903, Got: 0942
Checksum failed. Expected: 6591, Got: 0942
Checksum failed. Expected: cbb2, Got: 0942
Checksum failed. Expected: 1c7b, Got: 0942
Checksum failed. Expected: 1a29, Got: 0942
Checksum failed. Expected: 2158, Got: 0942
Checksum failed. Expected: 8011, Got: 0942
Checksum failed. Expected: 3873, Got: 0942
Checksum failed. Expected: e621, Got: 0942
Checksum failed. Expected: 77f2, Got: 0942
Checksum failed. Expected: 7acc, Got: 0942
Checksum failed. Expected: 3867, Got: 0942
Checksum failed. Expected: bb65, Got: 0942
Checksum failed. Expected: 7b41, Got: 0942
Checksum failed. Expected: 9f63, Got: 0942
Checksum failed. Expected: 9bf1, Got: 0942
Checksum failed. Expected: 3213, Got: 0942
Checksum failed. Expected: d5e9, Got: 0942
Checksum failed. Expected: 27d7, Got: 0942
Checksum failed. Expected: 2d05, Got: 0942
Checksum failed. Expected: 3781, Got: 0942
Checksum failed. Expected: 6db4, Got: 0942
Checksum failed. Expected: 8e7f, Got: 0942
Checksum failed. Expected: 0384, Got: 0942
Checksum failed. Expected: 8437, Got: 0942
Checksum failed. Expected: 7c38, Got: 0942
Checksum failed. Expected: a83e, Got: 0942
Checksum failed. Expected: 5c37, Got: 0942
Checksum failed. Expected: 98b6, Got: 0942
Checksum failed. Expected: 1ba1, Got: 0942
Checksum failed. Expected: 694f, Got: 0942
Checksum failed. Expected: 4d6b, Got: 0942
Checksum failed. Expected: 5e5d, Got: 0942
Checksum failed. Expected: fcef, Got: 0942
Checksum failed. Expected: 8965, Got: 0942
Checksum failed. Expected: 0b53, Got: 0942
Checksum failed. Expected: 9e51, Got: 0942
Checksum failed. Expected: eadf, Got: 0942
Checksum failed. Expected: 856b, Got: 0942
Checksum failed. Expected: 375e, Got: 0942
Checksum failed. Expected: 209c, Got: 0942
Checksum failed. Expected: 9165, Got: 0942
Checksum failed. Expected: 1ac3, Got: 0942
Checksum failed. Expected: 7cb1, Got: 0942
Checksum failed. Expected: f940, Got: 0942
