
#################################################################
Log started at 2025-06-12_16-19-53 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: f9fd, Got: 14d4
Checksum failed. Expected: 29ca, Got: 082c
Checksum failed. Expected: f4d2, Got: 962e
Checksum failed. Expected: 9d12, Got: 99d3
Checksum failed. Expected: 13ad, Got: 1dbd
Checksum failed. Expected: a34a, Got: 9fc5
Checksum failed. Expected: fa1a, Got: 9ce3
Checksum failed. Expected: c3d1, Got: 16a7
Checksum failed. Expected: aba9, Got: 98b0
Checksum failed. Expected: 9367, Got: a0df
Checksum failed. Expected: f7da, Got: 1f4d
Checksum failed. Expected: f2fd, Got: 92b2
Checksum failed. Expected: aa39, Got: 1232
Checksum failed. Expected: a2bf, Got: 9889
Checksum failed. Expected: d19f, Got: 8f50
Checksum failed. Expected: a0c1, Got: 8f24
Checksum failed. Expected: e4b9, Got: 17c3
Checksum failed. Expected: cc86, Got: 0ab6
Checksum failed. Expected: 1e85, Got: 07cf
Checksum failed. Expected: 1969, Got: 82b5
Checksum failed. Expected: 12de, Got: 0aeb
Checksum failed. Expected: be9e, Got: 1544
Checksum failed. Expected: 98cc, Got: 132c
Checksum failed. Expected: d9cc, Got: 0911
Checksum failed. Expected: 4ff8, Got: 80eb
Checksum failed. Expected: e58c, Got: 0b10
Checksum failed. Expected: 37e6, Got: 0f59
Checksum failed. Expected: 4f34, Got: 8c6a
Checksum failed. Expected: 88e3, Got: 0faa
Checksum failed. Expected: b5e7, Got: 9662
Checksum failed. Expected: 70c9, Got: 154d
Checksum failed. Expected: 9fab, Got: 92bb
Checksum failed. Expected: 7532, Got: 9b8d
Checksum failed. Expected: 4e05, Got: a89f
Checksum failed. Expected: bf39, Got: a466
Checksum failed. Expected: 3792, Got: 9716
Checksum failed. Expected: d10e, Got: 119d
Checksum failed. Expected: b026, Got: 0ac2
Checksum failed. Expected: 65a7, Got: 90ce
Checksum failed. Expected: 139e, Got: 154b
Checksum failed. Expected: 118c, Got: 2007
Checksum failed. Expected: b889, Got: 9549
Checksum failed. Expected: 86f9, Got: 917b
Checksum failed. Expected: d3eb, Got: 9735
Checksum failed. Expected: b46e, Got: 9e57
Checksum failed. Expected: 4fb7, Got: 18c1
Checksum failed. Expected: 4d90, Got: 0e45
Checksum failed. Expected: af66, Got: 8c0e
Checksum failed. Expected: 74a4, Got: 982e
Checksum failed. Expected: e9f0, Got: 2641
Checksum failed. Expected: fdd7, Got: af14
Checksum failed. Expected: e1da, Got: b51c
Checksum failed. Expected: 707d, Got: 2a0d
Checksum failed. Expected: ec9b, Got: ada5
Checksum failed. Expected: 74e8, Got: 20b7
Checksum failed. Expected: bd24, Got: 14a6
Checksum failed. Expected: 8d7d, Got: 17cd
Checksum failed. Expected: 021f, Got: a51c
Checksum failed. Expected: 5847, Got: a7a2
Checksum failed. Expected: 36f1, Got: 1ffc
Checksum failed. Expected: e290, Got: 06cb
Checksum failed. Expected: 53cb, Got: 7ddd
Checksum failed. Expected: abdd, Got: 8702
Checksum failed. Expected: a2b5, Got: 9110
Checksum failed. Expected: c198, Got: 8a41
Checksum failed. Expected: 6158, Got: fc4d
Checksum failed. Expected: ce35, Got: 8495
Checksum failed. Expected: 5351, Got: 8344
Checksum failed. Expected: 473b, Got: 9c42
Checksum failed. Expected: d26b, Got: 14ad
Checksum failed. Expected: fc26, Got: fb90
Checksum failed. Expected: 5b47, Got: 74ca
Checksum failed. Expected: 7757, Got: 046a
Checksum failed. Expected: 070b, Got: 9638
Checksum failed. Expected: 2987, Got: 4a1e
Checksum failed. Expected: a04c, Got: 8e7e
Checksum failed. Expected: 47c8, Got: 93cb
Checksum failed. Expected: 41af, Got: 9207
Checksum failed. Expected: bea8, Got: 4763
Checksum failed. Expected: 338e, Got: 1c42
Checksum failed. Expected: e7bd, Got: 99a0
Checksum failed. Expected: 6cd8, Got: c3a1
Checksum failed. Expected: 8798, Got: 05fd
Checksum failed. Expected: 9bf7, Got: 48c2
Checksum failed. Expected: 7ad3, Got: 160e
Checksum failed. Expected: 9823, Got: 11a6
Checksum failed. Expected: 2e3b, Got: cab9
Checksum failed. Expected: 5555, Got: 4d76
Checksum failed. Expected: 15cb, Got: 9002
Checksum failed. Expected: 98eb, Got: cedb
Checksum failed. Expected: a0be, Got: 5129
Checksum failed. Expected: 0084, Got: 1685
Checksum failed. Expected: 5e8b, Got: 47e1
Checksum failed. Expected: 0df4, Got: 4e9b
Checksum failed. Expected: 236c, Got: d033
Checksum failed. Expected: 2c0f, Got: 0b9b
Checksum failed. Expected: 6f5d, Got: 85f2
Checksum failed. Expected: b318, Got: 84ad
Checksum failed. Expected: 65a5, Got: 8d1c
Checksum failed. Expected: d5dc, Got: 0db7
Checksum failed. Expected: 7d7c, Got: 1280
Checksum failed. Expected: 080b, Got: 112b
Checksum failed. Expected: 9c4a, Got: 1807
Checksum failed. Expected: dfa0, Got: 0cbc
Checksum failed. Expected: 9268, Got: 80d8
Checksum failed. Expected: 2a45, Got: 01cc
Checksum failed. Expected: cd62, Got: 8559
Checksum failed. Expected: a14e, Got: 8d6d
Checksum failed. Expected: d36b, Got: 8c02
Checksum failed. Expected: 4a7f, Got: 005d
Checksum failed. Expected: 5f64, Got: 06e0
Checksum failed. Expected: 49fc, Got: 0db6
Checksum failed. Expected: 180a, Got: 8e50
Checksum failed. Expected: 402f, Got: 93ec
Checksum failed. Expected: a1fa, Got: 8bca
Checksum failed. Expected: 36f3, Got: 0979
