
#################################################################
Log started at 2025-06-12_16-20-05 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 0951, Got: 374c
Checksum failed. Expected: c8ec, Got: a5e4
Checksum failed. Expected: 63a4, Got: 147b
Checksum failed. Expected: 2ccb, Got: 8313
Checksum failed. Expected: a5a0, Got: f1aa
Checksum failed. Expected: 8417, Got: 6042
Checksum failed. Expected: 69bf, Got: ced9
Checksum failed. Expected: 0efe, Got: 3d71
Checksum failed. Expected: 07a8, Got: ac09
Checksum failed. Expected: ed5a, Got: 1aa0
Checksum failed. Expected: 5553, Got: 8938
Checksum failed. Expected: 2d4e, Got: f7cf
Checksum failed. Expected: 89a7, Got: 6667
Checksum failed. Expected: d09f, Got: d4fe
Checksum failed. Expected: 51fe, Got: 4396
Checksum failed. Expected: 7c6e, Got: b22d
Checksum failed. Expected: 91d1, Got: 20c5
Checksum failed. Expected: 4a19, Got: 8f5d
Checksum failed. Expected: b854, Got: fdf4
Checksum failed. Expected: 1177, Got: 6c8c
Checksum failed. Expected: 9909, Got: db23
Checksum failed. Expected: 643d, Got: 49bb
Checksum failed. Expected: 3187, Got: b852
Checksum failed. Expected: 7144, Got: 26ea
Checksum failed. Expected: 3526, Got: 9581
Checksum failed. Expected: b347, Got: 0419
Checksum failed. Expected: 3795, Got: 72b0
Checksum failed. Expected: 3b2b, Got: e148
Checksum failed. Expected: ce53, Got: 4fe0
Checksum failed. Expected: d3cf, Got: be77
Checksum failed. Expected: 6f88, Got: 2d0f
Checksum failed. Expected: 0f6a, Got: 9ba6
Checksum failed. Expected: 171f, Got: 0a3e
Checksum failed. Expected: 1d95, Got: 78d5
Checksum failed. Expected: 3429, Got: e76d
Checksum failed. Expected: c751, Got: 5604
Checksum failed. Expected: 7e66, Got: c49c
Checksum failed. Expected: ac28, Got: 3334
Checksum failed. Expected: 1a42, Got: a1cb
Checksum failed. Expected: c2c3, Got: 1063
Checksum failed. Expected: cf8f, Got: 7efa
Checksum failed. Expected: 303b, Got: ed92
Checksum failed. Expected: 2d2f, Got: 5c29
Checksum failed. Expected: f22a, Got: cac1
Checksum failed. Expected: 1654, Got: 3958
Checksum failed. Expected: 7f47, Got: a7f0
Checksum failed. Expected: b67b, Got: 1688
Checksum failed. Expected: c67d, Got: 851f
Checksum failed. Expected: da5f, Got: ae15
Checksum failed. Expected: 6651, Got: 1cac
Checksum failed. Expected: f01a, Got: 8b44
Checksum failed. Expected: 67d3, Got: f9db
Checksum failed. Expected: 40f6, Got: 6873
Checksum failed. Expected: 5430, Got: d70b
Checksum failed. Expected: 26ca, Got: 45a2
Checksum failed. Expected: 6585, Got: b43a
Checksum failed. Expected: 0563, Got: 22d1
Checksum failed. Expected: 2026, Got: 9169
Checksum failed. Expected: 3ba7, Got: 0000
Checksum failed. Expected: d2fc, Got: 6e98
Checksum failed. Expected: 93d5, Got: dd2f
Checksum failed. Expected: eac8, Got: 4bc7
Checksum failed. Expected: a31c, Got: ba5f
Checksum failed. Expected: 98a0, Got: 28f6
Checksum failed. Expected: 26ad, Got: 978e
Checksum failed. Expected: 6321, Got: 0625
Checksum failed. Expected: a3d6, Got: 74bd
Checksum failed. Expected: ef3d, Got: e354
Checksum failed. Expected: 8e2c, Got: 51ec
Checksum failed. Expected: 7b4c, Got: c083
Checksum failed. Expected: ad45, Got: 2f1b
Checksum failed. Expected: 93ef, Got: 9db3
Checksum failed. Expected: ca23, Got: 0c4a
