
#################################################################
Log started at 2025-06-13_16-13-08 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=-0.097193, Y=-0.636407, Z=9.784169 m/s^2 Time of Week: 461608.192000, Week Number: 2370, Difference: 18.075794000039117 s
Acceleration: X=-0.099581, Y=-0.631665, Z=9.784767 m/s^2 Time of Week: 461608.193000, Week Number: 2370, Difference: 18.075801000028406 s
Acceleration: X=-0.094777, Y=-0.628063, Z=9.790141 m/s^2 Time of Week: 461608.194000, Week Number: 2370, Difference: 18.075788000017695 s
Acceleration: X=-0.095969, Y=-0.629816, Z=9.794934 m/s^2 Time of Week: 461608.195000, Week Number: 2370, Difference: 18.075790000006982 s
Acceleration: X=-0.100718, Y=-0.627935, Z=9.794943 m/s^2 Time of Week: 461608.196000, Week Number: 2370, Difference: 18.075790000054482 s
Acceleration: X=-0.100102, Y=-0.629162, Z=9.792545 m/s^2 Time of Week: 461608.197000, Week Number: 2370, Difference: 18.07567900004377 s
Acceleration: X=-0.096536, Y=-0.631610, Z=9.790155 m/s^2 Time of Week: 461608.198000, Week Number: 2370, Difference: 18.075762000033063 s
Acceleration: X=-0.096527, Y=-0.634001, Z=9.794947 m/s^2 Time of Week: 461608.199000, Week Number: 2370, Difference: 18.07578800002235 s
Acceleration: X=-0.097701, Y=-0.626803, Z=9.796744 m/s^2 Time of Week: 461608.200000, Week Number: 2370, Difference: 18.07579100001164 s
Acceleration: X=-0.098935, Y=-0.626218, Z=9.786549 m/s^2 Time of Week: 461608.201000, Week Number: 2370, Difference: 18.07578200000093 s
Acceleration: X=-0.098338, Y=-0.628651, Z=9.781778 m/s^2 Time of Week: 461608.202000, Week Number: 2370, Difference: 18.07578000004843 s
Acceleration: X=-0.105538, Y=-0.631587, Z=9.783582 m/s^2 Time of Week: 461608.203000, Week Number: 2370, Difference: 18.07579500003772 s
Acceleration: X=-0.103751, Y=-0.632150, Z=9.790128 m/s^2 Time of Week: 461608.204000, Week Number: 2370, Difference: 18.07579400002701 s
Acceleration: X=-0.103730, Y=-0.630369, Z=9.792489 m/s^2 Time of Week: 461608.205000, Week Number: 2370, Difference: 18.075804000016298 s
Acceleration: X=-0.110295, Y=-0.629732, Z=9.790122 m/s^2 Time of Week: 461608.206000, Week Number: 2370, Difference: 18.075785000005588 s
Acceleration: X=-0.112715, Y=-0.633994, Z=9.779368 m/s^2 Time of Week: 461608.207000, Week Number: 2370, Difference: 18.075778000053084 s
Acceleration: X=-0.107940, Y=-0.629218, Z=9.784154 m/s^2 Time of Week: 461608.208000, Week Number: 2370, Difference: 18.075793000042374 s
Acceleration: X=-0.103093, Y=-0.627418, Z=9.784767 m/s^2 Time of Week: 461608.209000, Week Number: 2370, Difference: 18.075792000031665 s
Acceleration: X=-0.100076, Y=-0.631008, Z=9.782982 m/s^2 Time of Week: 461608.210000, Week Number: 2370, Difference: 18.075795000020953 s
Acceleration: X=-0.104873, Y=-0.629179, Z=9.781172 m/s^2 Time of Week: 461608.211000, Week Number: 2370, Difference: 18.075798000010245 s
Acceleration: X=-0.106031, Y=-0.619550, Z=9.769172 m/s^2 Time of Week: 461608.212000, Week Number: 2370, Difference: 18.075792000057742 s
Acceleration: X=-0.100026, Y=-0.617172, Z=9.770370 m/s^2 Time of Week: 461608.213000, Week Number: 2370, Difference: 18.07567500004703 s
Acceleration: X=-0.101818, Y=-0.618344, Z=9.773975 m/s^2 Time of Week: 461608.214000, Week Number: 2370, Difference: 18.075778000036323 s
Acceleration: X=-0.100052, Y=-0.622012, Z=9.770387 m/s^2 Time of Week: 461608.215000, Week Number: 2370, Difference: 18.07578600002561 s
Acceleration: X=-0.100087, Y=-0.622617, Z=9.772160 m/s^2 Time of Week: 461608.216000, Week Number: 2370, Difference: 18.0757900000149 s
Acceleration: X=-0.097112, Y=-0.627435, Z=9.774575 m/s^2 Time of Week: 461608.217000, Week Number: 2370, Difference: 18.07579000000419 s
Acceleration: X=-0.098280, Y=-0.626789, Z=9.781770 m/s^2 Time of Week: 461608.218000, Week Number: 2370, Difference: 18.07578200005169 s
Acceleration: X=-0.099493, Y=-0.626796, Z=9.781763 m/s^2 Time of Week: 461608.219000, Week Number: 2370, Difference: 18.07578300004098 s
Acceleration: X=-0.101304, Y=-0.630395, Z=9.782965 m/s^2 Time of Week: 461608.220000, Week Number: 2370, Difference: 18.075787000030267 s
Acceleration: X=-0.100704, Y=-0.630374, Z=9.778774 m/s^2 Time of Week: 461608.221000, Week Number: 2370, Difference: 18.07579300001956 s
Acceleration: X=-0.101338, Y=-0.631010, Z=9.770971 m/s^2 Time of Week: 461608.222000, Week Number: 2370, Difference: 18.075797000008848 s
Acceleration: X=-0.106122, Y=-0.625587, Z=9.768550 m/s^2 Time of Week: 461608.223000, Week Number: 2370, Difference: 18.075799000056342 s
Acceleration: X=-0.107265, Y=-0.623132, Z=9.776957 m/s^2 Time of Week: 461608.224000, Week Number: 2370, Difference: 18.075776000045636 s
Acceleration: X=-0.107255, Y=-0.625533, Z=9.778777 m/s^2 Time of Week: 461608.225000, Week Number: 2370, Difference: 18.075787000034925 s
Acceleration: X=-0.101865, Y=-0.621394, Z=9.784137 m/s^2 Time of Week: 461608.226000, Week Number: 2370, Difference: 18.075793000024213 s
Acceleration: X=-0.106044, Y=-0.621371, Z=9.784127 m/s^2 Time of Week: 461608.227000, Week Number: 2370, Difference: 18.075794000013502 s
Acceleration: X=-0.100045, Y=-0.626788, Z=9.778774 m/s^2 Time of Week: 461608.228000, Week Number: 2370, Difference: 18.075800000002793 s
Acceleration: X=-0.095292, Y=-0.629236, Z=9.772774 m/s^2 Time of Week: 461608.229000, Week Number: 2370, Difference: 18.07578700005029 s
Acceleration: X=-0.097084, Y=-0.625003, Z=9.781734 m/s^2 Time of Week: 461608.230000, Week Number: 2370, Difference: 18.075525000039583 s
Acceleration: X=-0.105476, Y=-0.627404, Z=9.785953 m/s^2 Time of Week: 461608.231000, Week Number: 2370, Difference: 18.07578000002887 s
Acceleration: X=-0.100149, Y=-0.626855, Z=9.787129 m/s^2 Time of Week: 461608.232000, Week Number: 2370, Difference: 18.07577900001816 s
Acceleration: X=-0.095355, Y=-0.626855, Z=9.784741 m/s^2 Time of Week: 461608.233000, Week Number: 2370, Difference: 18.07579400000745 s
Acceleration: X=-0.104920, Y=-0.631632, Z=9.789529 m/s^2 Time of Week: 461608.234000, Week Number: 2370, Difference: 18.07579100005495 s
Acceleration: X=-0.104306, Y=-0.628634, Z=9.795520 m/s^2 Time of Week: 461608.235000, Week Number: 2370, Difference: 18.07579400004424 s
Acceleration: X=-0.103664, Y=-0.625010, Z=9.795543 m/s^2 Time of Week: 461608.236000, Week Number: 2370, Difference: 18.075685000033527 s
Acceleration: X=-0.100673, Y=-0.625022, Z=9.790156 m/s^2 Time of Week: 461608.237000, Week Number: 2370, Difference: 18.07578500002282 s
