
#################################################################
Log started at 2025-06-13_14-52-58 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 237e, Got: 000e
Checksum failed. Expected: 6532, Got: 000e
Checksum failed. Expected: 1fbf, Got: 000e
Checksum failed. Expected: 14a9, Got: 000e
Checksum failed. Expected: da29, Got: 000e
Checksum failed. Expected: de51, Got: 000e
Checksum failed. Expected: e8e4, Got: 000e
Checksum failed. Expected: b5c5, Got: 000e
Checksum failed. Expected: d6f3, Got: 000e
Checksum failed. Expected: 2265, Got: 000e
Checksum failed. Expected: 2233, Got: 000e
Checksum failed. Expected: d437, Got: 000e
Checksum failed. Expected: 780d, Got: 000e
Checksum failed. Expected: 7000, Got: 000e
Checksum failed. Expected: 8338, Got: 000e
Checksum failed. Expected: 004d, Got: 000e
Checksum failed. Expected: b9d6, Got: 000e
Checksum failed. Expected: d904, Got: 000e
Checksum failed. Expected: 2ac6, Got: 000e
Checksum failed. Expected: d0c6, Got: 000e
Checksum failed. Expected: 67c2, Got: 000e
Checksum failed. Expected: d3a8, Got: 000e
Checksum failed. Expected: 9e87, Got: 000e
Checksum failed. Expected: 47d1, Got: 000e
Checksum failed. Expected: 782f, Got: 000e
Checksum failed. Expected: 90c5, Got: 000e
Checksum failed. Expected: b31f, Got: 000e
Checksum failed. Expected: 1ed7, Got: 000e
Checksum failed. Expected: 9b00, Got: 000e
Checksum failed. Expected: 64aa, Got: 000e
Checksum failed. Expected: 8f96, Got: 000e
Checksum failed. Expected: c89f, Got: 000e
Checksum failed. Expected: b1b8, Got: 000e
Checksum failed. Expected: 5046, Got: 000e
Checksum failed. Expected: 82a6, Got: 000e
Checksum failed. Expected: 8e53, Got: 000e
Checksum failed. Expected: 916e, Got: 000e
Checksum failed. Expected: 6d90, Got: 000e
Checksum failed. Expected: bb28, Got: 000e
Checksum failed. Expected: e960, Got: 000e
Checksum failed. Expected: 0b98, Got: 000e
Checksum failed. Expected: d429, Got: 000e
Checksum failed. Expected: 261b, Got: 000e
Checksum failed. Expected: 30bb, Got: 000e
Checksum failed. Expected: 77ce, Got: 000e
Checksum failed. Expected: d13b, Got: 000e
Checksum failed. Expected: 682b, Got: 000e
Checksum failed. Expected: f563, Got: 000e
Checksum failed. Expected: d5bc, Got: 000e
Checksum failed. Expected: 676e, Got: 000e
Checksum failed. Expected: f18e, Got: 000e
Checksum failed. Expected: 3892, Got: 000e
Checksum failed. Expected: 4657, Got: 000e
Checksum failed. Expected: 4a71, Got: 000e
Checksum failed. Expected: 45c7, Got: 000e
Checksum failed. Expected: a02b, Got: 000e
Checksum failed. Expected: b8b2, Got: 000e
Checksum failed. Expected: c013, Got: 000e
Checksum failed. Expected: 29c0, Got: 000e
Checksum failed. Expected: c2e9, Got: 000e
Checksum failed. Expected: 3879, Got: 000e
Checksum failed. Expected: e3dc, Got: 000e
Checksum failed. Expected: a6fb, Got: 000e
Checksum failed. Expected: 8f14, Got: 000e
Checksum failed. Expected: 30e3, Got: 000e
Checksum failed. Expected: b9f0, Got: 000e
Checksum failed. Expected: a87b, Got: 000e
Checksum failed. Expected: cce6, Got: 000e
Checksum failed. Expected: 04bc, Got: 000e
Checksum failed. Expected: 0ae7, Got: 000e
Checksum failed. Expected: 85d6, Got: 000e
Checksum failed. Expected: f4ef, Got: 000e
Checksum failed. Expected: 1ee0, Got: 000e
Checksum failed. Expected: 8cc5, Got: 000e
Checksum failed. Expected: d94a, Got: 000e
Checksum failed. Expected: fb91, Got: 000e
Checksum failed. Expected: 9c3d, Got: 000e
Checksum failed. Expected: 11ba, Got: 000e
Checksum failed. Expected: 2608, Got: 000e
Checksum failed. Expected: 6132, Got: 000e
Checksum failed. Expected: 237a, Got: 000e
Checksum failed. Expected: 61e2, Got: 000e
Checksum failed. Expected: 5060, Got: 000e
Checksum failed. Expected: 9dc1, Got: 000e
Checksum failed. Expected: 7ae3, Got: 000e
Checksum failed. Expected: c1f6, Got: 000e
Checksum failed. Expected: 7a8d, Got: 000e
Checksum failed. Expected: 6f9e, Got: 000e
Checksum failed. Expected: 9764, Got: 000e
Checksum failed. Expected: cf3e, Got: 000e
Checksum failed. Expected: 220d, Got: 000e
Checksum failed. Expected: a481, Got: 000e
Checksum failed. Expected: 986b, Got: 000e
Checksum failed. Expected: 84cb, Got: 000e
Checksum failed. Expected: 2258, Got: 000e
Checksum failed. Expected: 265f, Got: 000e
Checksum failed. Expected: dfcf, Got: 000e
Checksum failed. Expected: fc99, Got: 000e
Checksum failed. Expected: 9289, Got: 000e
Checksum failed. Expected: dcd5, Got: 000e
Checksum failed. Expected: ca3e, Got: 000e
Checksum failed. Expected: 90b9, Got: 000e
Checksum failed. Expected: cd22, Got: 000e
Checksum failed. Expected: bfd9, Got: 000e
Checksum failed. Expected: 71c8, Got: 000e
Checksum failed. Expected: aac2, Got: 000e
Checksum failed. Expected: 8398, Got: 000e
Checksum failed. Expected: c100, Got: 000e
Checksum failed. Expected: 7cbd, Got: 000e
Checksum failed. Expected: 901b, Got: 000e
Checksum failed. Expected: 69e8, Got: 000e
Checksum failed. Expected: d592, Got: 000e
Checksum failed. Expected: 47d6, Got: 000e
Checksum failed. Expected: ab10, Got: 000e
Checksum failed. Expected: b9e8, Got: 000e
Checksum failed. Expected: 6bfa, Got: 000e
Checksum failed. Expected: 1aca, Got: 000e
